Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-13T01:08:01Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brayden Schenn,Winner,St. Louis Blues,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:09:46Z,1,01:03,18:57,Shot,Wrist Shot,-86.0,-22.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:10:28Z,1,01:05,18:55,Blocked Shot,n/a,-80.0,5.0,Tyler Bozak,Blocker,St. Louis Blues,Nate Schmidt,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:10:28Z,1,01:46,18:14,Missed Shot,n/a,81.0,17.0,Oskar Sundqvist,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:10:37Z,1,01:54,18:06,Hit,n/a,68.0,-41.0,Nick Holden,Hitter,Vegas Golden Knights,Mackenzie MacEachern,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:10:46Z,1,02:03,17:57,Blocked Shot,n/a,-59.0,-18.0,Oskar Sundqvist,Blocker,St. Louis Blues,Nick Holden,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:08Z,1,02:26,17:34,Shot,Wrap-around,91.0,-8.0,Ivan Barbashev,Shooter,St. Louis Blues,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:33Z,1,02:50,17:10,Blocked Shot,n/a,-72.0,4.0,Ivan Barbashev,Blocker,St. Louis Blues,Shea Theodore,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:55Z,1,03:05,16:55,Shot,Backhand,-63.0,-1.0,Ryan Reaves,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:12:02Z,1,03:07,16:53,Shot,Wrist Shot,-80.0,2.0,William Carrier,Shooter,Vegas Golden Knights,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
