Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-13T00:07:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Cedric Paquette,Winner,Tampa Bay Lightning,Chris Wagner,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:09:06Z,1,00:13,19:47,Hit,n/a,91.0,19.0,Pat Maroon,Hitter,Tampa Bay Lightning,Charlie McAvoy,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:09:13Z,1,00:20,19:40,Missed Shot,n/a,38.0,-23.0,Jan Rutta,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:10:04Z,1,00:27,19:33,Penalty,Fighting,7.0,1.0,Pat Maroon,PenaltyOn,Tampa Bay Lightning,Zdeno Chara,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:10:24Z,1,00:27,19:33,Penalty,Fighting,26.0,-15.0,Zdeno Chara,PenaltyOn,Boston Bruins,Pat Maroon,DrewBy,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:10:57Z,1,00:27,19:33,Faceoff,n/a,-20.0,-22.0,Brayden Point,Winner,Tampa Bay Lightning,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:11:29Z,1,00:54,19:06,Shot,Wrist Shot,55.0,-21.0,Nikita Kucherov,Shooter,Tampa Bay Lightning,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:11:44Z,1,00:54,19:06,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:11:54Z,1,01:02,18:58,Hit,n/a,92.0,-24.0,Ondrej Palat,Hitter,Tampa Bay Lightning,Torey Krug,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:12:40Z,1,01:38,18:22,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Steven Stamkos,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:13:19Z,1,02:00,18:00,Giveaway,n/a,71.0,-35.0,Matt Grzelcyk,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:13:28Z,1,02:04,17:56,Hit,n/a,-9.0,35.0,Mikhail Sergachev,Hitter,Tampa Bay Lightning,Brett Ritchie,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:13:29Z,1,02:10,17:50,Missed Shot,n/a,-79.0,-18.0,Jake DeBrusk,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:13:38Z,1,02:19,17:41,Hit,n/a,-81.0,-28.0,Brett Ritchie,Hitter,Boston Bruins,Kevin Shattenkirk,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:13:42Z,1,02:22,17:38,Blocked Shot,n/a,-47.0,-11.0,Anthony Cirelli,Blocker,Tampa Bay Lightning,John Moore,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:13:56Z,1,02:35,17:25,Shot,Wrist Shot,52.0,22.0,Mitchell Stephens,Shooter,Tampa Bay Lightning,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:14:14Z,1,02:36,17:24,Faceoff,n/a,69.0,22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Charlie Coyle,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:15:08Z,1,03:04,16:56,Hit,n/a,70.0,-36.0,Mitchell Stephens,Hitter,Tampa Bay Lightning,Anders Bjork,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:15:17Z,1,03:26,16:34,Hit,n/a,-38.0,-37.0,Jan Rutta,Hitter,Tampa Bay Lightning,John Moore,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:15:38Z,1,03:47,16:13,Missed Shot,n/a,68.0,-8.0,Cedric Paquette,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:15:53Z,1,04:02,15:58,Hit,n/a,87.0,29.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Brandon Carlo,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:16:03Z,1,04:12,15:48,Hit,n/a,59.0,37.0,Yanni Gourde,Hitter,Tampa Bay Lightning,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:16:10Z,1,04:14,15:46,Hit,n/a,21.0,31.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Chris Wagner,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:20:20Z,1,04:25,15:35,Missed Shot,n/a,-79.0,10.0,Brad Marchand,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
