Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-13T03:12:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jordan Staal,Winner,Carolina Hurricanes,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:14Z,1,00:51,19:09,Missed Shot,n/a,-67.0,-19.0,J.T. Miller,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:38Z,1,01:15,18:45,Shot,Wrist Shot,31.0,2.0,Jaccob Slavin,Shooter,Carolina Hurricanes,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:14:02Z,1,01:39,18:21,Takeaway,n/a,97.0,3.0,Sebastian Aho,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:14:25Z,1,02:02,17:58,Hit,n/a,-91.0,-34.0,Adam Gaudette,Hitter,Vancouver Canucks,Jake Gardiner,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:14:47Z,1,02:10,17:50,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:11Z,1,02:20,17:40,Hit,n/a,-96.0,6.0,Bo Horvat,Hitter,Vancouver Canucks,Lucas Wallmark,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:32Z,1,02:41,17:19,Missed Shot,n/a,-83.0,-9.0,Bo Horvat,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:16:06Z,1,02:57,17:03,Faceoff,n/a,-69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:16:33Z,1,03:08,16:52,Blocked Shot,n/a,55.0,-24.0,Oscar Fantenberg,Blocker,Vancouver Canucks,Brock McGinn,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:16:46Z,1,03:21,16:39,Hit,n/a,39.0,-32.0,Tim Schaller,Hitter,Vancouver Canucks,Brock McGinn,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:02Z,1,03:37,16:23,Hit,n/a,-84.0,-35.0,Zack MacEwen,Hitter,Vancouver Canucks,Jordan Martinook,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:13Z,1,03:42,16:18,Shot,Wrist Shot,59.0,11.0,Warren Foegele,Shooter,Carolina Hurricanes,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:33Z,1,03:42,16:18,Faceoff,n/a,69.0,22.0,Bo Horvat,Winner,Vancouver Canucks,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:53Z,1,04:00,16:00,Shot,Wrist Shot,-76.0,-1.0,Bo Horvat,Shooter,Vancouver Canucks,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:18:17Z,1,04:21,15:39,Penalty,Tripping,-96.0,-23.0,Dougie Hamilton,PenaltyOn,Carolina Hurricanes,Josh Leivo,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:18:47Z,1,04:21,15:39,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:19:10Z,1,04:34,15:26,Missed Shot,n/a,-80.0,-3.0,J.T. Miller,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:19:37Z,1,05:01,14:59,Giveaway,n/a,43.0,-33.0,Sebastian Aho,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:20:34Z,1,05:39,14:21,Faceoff,n/a,-20.0,22.0,Jordan Staal,Winner,Carolina Hurricanes,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:20:55Z,1,05:43,14:17,Faceoff,n/a,-69.0,22.0,Jordan Staal,Winner,Carolina Hurricanes,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:21:37Z,1,06:10,13:50,Blocked Shot,n/a,-78.0,8.0,Brett Pesce,Blocker,Carolina Hurricanes,Tyler Myers,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:21:37Z,1,06:10,13:50,Shot,Slap Shot,-45.0,24.0,Tyler Myers,Shooter,Vancouver Canucks,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:22:13Z,1,06:18,13:42,Faceoff,n/a,-20.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:22:54Z,1,06:53,13:07,Hit,n/a,88.0,-30.0,Jordie Benn,Hitter,Vancouver Canucks,Lucas Wallmark,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:23:09Z,1,07:08,12:52,Takeaway,n/a,-60.0,27.0,Brock Boeser,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:23:39Z,1,07:38,12:22,Takeaway,n/a,81.0,-36.0,Quinn Hughes,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:25:39Z,1,07:55,12:05,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:26:15Z,1,08:00,12:00,Faceoff,n/a,-20.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:27:38Z,1,09:09,10:51,Shot,Wrist Shot,79.0,-1.0,Julien Gauthier,Shooter,Carolina Hurricanes,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:28:09Z,1,09:09,10:51,Faceoff,n/a,69.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:28:29Z,1,09:14,10:46,Missed Shot,n/a,32.0,-13.0,Ryan Dzingel,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
