Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-14T02:07:53Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nathan MacKinnon,Winner,Colorado Avalanche,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:09:04Z,1,00:11,19:49,Takeaway,n/a,-96.0,2.0,Joonas Donskoi,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:09:33Z,1,00:34,19:26,Faceoff,n/a,69.0,-22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:10:18Z,1,01:01,18:59,Blocked Shot,n/a,38.0,-28.0,Gabriel Landeskog,Blocker,Colorado Avalanche,Sami Vatanen,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:10:30Z,1,01:06,18:54,Giveaway,n/a,43.0,33.0,Nazem Kadri,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:10:26Z,1,01:10,18:50,Shot,Wrist Shot,51.0,2.0,Nikita Gusev,Shooter,New Jersey Devils,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:10:30Z,1,01:11,18:49,Shot,Wrist Shot,85.0,4.0,Travis Zajac,Shooter,New Jersey Devils,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:11:07Z,1,01:23,18:37,Faceoff,n/a,-20.0,22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:11:24Z,1,01:42,18:18,Missed Shot,n/a,-65.0,7.0,Valeri Nichushkin,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:11:37Z,1,01:46,18:14,Faceoff,n/a,-20.0,22.0,Jack Hughes,Winner,New Jersey Devils,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:11:58Z,1,01:54,18:06,Takeaway,n/a,-52.0,-38.0,Valeri Nichushkin,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:12:01Z,1,01:57,18:03,Blocked Shot,n/a,-73.0,-10.0,Mirco Mueller,Blocker,New Jersey Devils,Pierre-Edouard Bellemare,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:12:08Z,1,02:04,17:56,Shot,Wrist Shot,-51.0,-35.0,Calle Rosen,Shooter,Colorado Avalanche,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:12:18Z,1,02:13,17:47,Shot,Wrist Shot,38.0,-35.0,Jack Hughes,Shooter,New Jersey Devils,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:12:41Z,1,02:13,17:47,Faceoff,n/a,69.0,-22.0,Tyson Jost,Winner,Colorado Avalanche,Jesper Boqvist,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:13:01Z,1,02:24,17:36,Hit,n/a,-27.0,-40.0,Michael McLeod,Hitter,New Jersey Devils,Matt Nieto,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:13:15Z,1,02:39,17:21,Hit,n/a,-98.0,4.0,Will Butcher,Hitter,New Jersey Devils,Tyson Jost,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:13:39Z,1,02:53,17:07,Penalty,Delaying Game - Puck over glass,-35.0,40.0,Jesper Boqvist,PenaltyOn,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:14:13Z,1,02:53,17:07,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:15:03Z,1,03:50,16:10,Blocked Shot,n/a,-68.0,-15.0,Pavel Zacha,Blocker,New Jersey Devils,Nazem Kadri,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:15:31Z,1,04:18,15:42,Shot,Slap Shot,-66.0,17.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:16:15Z,1,05:01,14:59,Shot,Wrist Shot,58.0,27.0,Jesper Boqvist,Shooter,New Jersey Devils,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:17:03Z,1,05:01,14:59,Faceoff,n/a,69.0,22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Kyle Palmieri,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:17:58Z,1,05:59,14:01,Missed Shot,n/a,32.0,16.0,Andy Greene,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:18:10Z,1,06:10,13:50,Hit,n/a,68.0,-37.0,Wayne Simmonds,Hitter,New Jersey Devils,Andre Burakovsky,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:18:37Z,1,06:37,13:23,Hit,n/a,-10.0,-35.0,Gabriel Landeskog,Hitter,Colorado Avalanche,Blake Coleman,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:19:16Z,1,07:17,12:43,Takeaway,n/a,-64.0,-26.0,Mikko Rantanen,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:19:21Z,1,07:22,12:38,Hit,n/a,-91.0,-32.0,Michael McLeod,Hitter,New Jersey Devils,Gabriel Landeskog,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:19:27Z,1,07:28,12:32,Takeaway,n/a,-54.0,21.0,Michael McLeod,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:19:44Z,1,07:45,12:15,Giveaway,n/a,99.0,-14.0,Calle Rosen,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:21:58Z,1,08:06,11:54,Faceoff,n/a,-20.0,22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:22:45Z,1,08:40,11:20,Missed Shot,n/a,70.0,2.0,Jesper Bratt,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:23:14Z,1,08:40,11:20,Faceoff,n/a,69.0,22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:23:38Z,1,09:03,10:57,Giveaway,n/a,62.0,-11.0,Jack Hughes,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:23:44Z,1,09:08,10:52,Shot,Wrist Shot,-61.0,-25.0,Valeri Nichushkin,Shooter,Colorado Avalanche,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:24:14Z,1,09:09,10:51,Faceoff,n/a,-69.0,-22.0,Travis Zajac,Winner,New Jersey Devils,Matt Calvert,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:24:47Z,1,09:18,10:42,Shot,Wrist Shot,-39.0,-33.0,Ryan Graves,Shooter,Colorado Avalanche,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:25:39Z,1,09:51,10:09,Faceoff,n/a,0.0,0.0,Michael McLeod,Winner,New Jersey Devils,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:26:23Z,1,10:27,09:33,Missed Shot,n/a,38.0,-13.0,Jesper Boqvist,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:26:29Z,1,10:31,09:29,Shot,Backhand,86.0,-10.0,Miles Wood,Shooter,New Jersey Devils,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:26:39Z,1,10:31,09:29,Penalty,Interference,80.0,-1.0,Michael McLeod,PenaltyOn,New Jersey Devils,Mark Barberio,DrewBy,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:28:48Z,1,10:31,09:29,Faceoff,n/a,-69.0,-22.0,Travis Zajac,Winner,New Jersey Devils,Gabriel Landeskog,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:29:38Z,1,11:06,08:54,Giveaway,n/a,-32.0,41.0,Gabriel Landeskog,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:30:07Z,1,11:37,08:23,Goal,Slap Shot,-58.0,-8.0,Gabriel Landeskog,Scorer,Colorado Avalanche,Nathan MacKinnon,Assist,Colorado Avalanche,Samuel Girard,Assist,Colorado Avalanche,Louis Domingue,Goalie,New Jersey Devils
2019-12-14T02:30:52Z,1,11:37,08:23,Faceoff,n/a,0.0,0.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:31:11Z,1,11:54,08:06,Takeaway,n/a,-37.0,40.0,Jack Hughes,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:31:17Z,1,12:03,07:57,Takeaway,n/a,53.0,-35.0,Pierre-Edouard Bellemare,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:31:39Z,1,12:21,07:39,Hit,n/a,32.0,-40.0,Wayne Simmonds,Hitter,New Jersey Devils,Nikita Zadorov,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:32:11Z,1,12:56,07:04,Hit,n/a,99.0,-6.0,Ian Cole,Hitter,Colorado Avalanche,Nico Hischier,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:32:21Z,1,13:05,06:55,Giveaway,n/a,-97.0,1.0,Louis Domingue,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:32:57Z,1,13:19,06:41,Faceoff,n/a,69.0,-22.0,Michael McLeod,Winner,New Jersey Devils,Tyson Jost,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T02:33:09Z,1,13:24,06:36,Shot,Wrist Shot,58.0,-30.0,Miles Wood,Shooter,New Jersey Devils,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
