Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-14T23:37:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Matt Duchene,Winner,Nashville Predators,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:39:10Z,1,00:19,19:41,Missed Shot,n/a,35.0,-31.0,Yannick Weber,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:39:33Z,1,00:25,19:35,Faceoff,n/a,69.0,22.0,Ryan Johansen,Winner,Nashville Predators,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:39:50Z,1,00:31,19:29,Blocked Shot,n/a,74.0,-5.0,Jamie Oleksiak,Blocker,Dallas Stars,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:40:55Z,1,01:36,18:24,Giveaway,n/a,-35.0,-13.0,Nick Bonino,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:41:10Z,1,01:46,18:14,Faceoff,n/a,-69.0,-22.0,Roope Hintz,Winner,Dallas Stars,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:41:45Z,1,02:03,17:57,Missed Shot,n/a,-44.0,-26.0,Andrej Sekera,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:41:50Z,1,02:08,17:52,Hit,n/a,-87.0,35.0,Roope Hintz,Hitter,Dallas Stars,Dante Fabbro,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:41:58Z,1,02:16,17:44,Shot,Wrist Shot,-58.0,13.0,Jason Dickinson,Shooter,Dallas Stars,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:42:19Z,1,02:16,17:44,Faceoff,n/a,-69.0,22.0,Colin Blackwell,Winner,Nashville Predators,Corey Perry,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:42:47Z,1,02:24,17:36,Hit,n/a,-40.0,-39.0,Jason Dickinson,Hitter,Dallas Stars,Austin Watson,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:43:46Z,1,03:23,16:37,Giveaway,n/a,32.0,-31.0,Esa Lindell,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:43:49Z,1,03:26,16:34,Blocked Shot,n/a,75.0,3.0,John Klingberg,Blocker,Dallas Stars,Matt Duchene,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:44:29Z,1,03:47,16:13,Faceoff,n/a,20.0,22.0,Ryan Johansen,Winner,Nashville Predators,Tyler Seguin,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:44:54Z,1,04:05,15:55,Giveaway,n/a,-30.0,3.0,Dante Fabbro,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:45:20Z,1,04:30,15:30,Hit,n/a,41.0,-39.0,Calle Jarnkrok,Hitter,Nashville Predators,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:45:44Z,1,04:38,15:22,Faceoff,n/a,20.0,22.0,Joe Pavelski,Winner,Dallas Stars,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:46:12Z,1,04:52,15:08,Hit,n/a,-42.0,-41.0,Justin Dowling,Hitter,Dallas Stars,Ryan Ellis,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:46:29Z,1,05:10,14:50,Shot,Backhand,-72.0,-20.0,John Klingberg,Shooter,Dallas Stars,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:47:41Z,1,06:11,13:49,Faceoff,n/a,-69.0,-22.0,Kyle Turris,Winner,Nashville Predators,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:48:12Z,1,06:28,13:32,Blocked Shot,n/a,-75.0,4.0,Yannick Weber,Blocker,Nashville Predators,Jamie Oleksiak,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:48:17Z,1,06:33,13:27,Takeaway,n/a,-39.0,19.0,Radek Faksa,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:48:30Z,1,06:46,13:14,Shot,Wrist Shot,-82.0,12.0,Miro Heiskanen,Shooter,Dallas Stars,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:50:30Z,1,06:47,13:13,Faceoff,n/a,-69.0,22.0,Nick Bonino,Winner,Nashville Predators,Jamie Benn,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:51:51Z,1,07:23,12:37,Faceoff,n/a,69.0,-22.0,Jamie Benn,Winner,Dallas Stars,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:52:27Z,1,07:43,12:17,Shot,Wrist Shot,66.0,-33.0,Calle Jarnkrok,Shooter,Nashville Predators,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:52:39Z,1,07:56,12:04,Shot,Wrist Shot,60.0,24.0,Calle Jarnkrok,Shooter,Nashville Predators,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:52:45Z,1,08:02,11:58,Hit,n/a,94.0,9.0,Ryan Johansen,Hitter,Nashville Predators,John Klingberg,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:52:47Z,1,08:04,11:56,Blocked Shot,n/a,65.0,5.0,John Klingberg,Blocker,Dallas Stars,Filip Forsberg,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:52:57Z,1,08:14,11:46,Hit,n/a,50.0,37.0,Filip Forsberg,Hitter,Nashville Predators,Justin Dowling,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:53:07Z,1,08:24,11:36,Blocked Shot,n/a,87.0,-15.0,Esa Lindell,Blocker,Dallas Stars,Filip Forsberg,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:53:14Z,1,08:30,11:30,Giveaway,n/a,62.0,38.0,John Klingberg,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:53:27Z,1,08:39,11:21,Shot,Wrist Shot,75.0,3.0,Ryan Johansen,Shooter,Nashville Predators,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:53:33Z,1,08:49,11:11,Penalty,Hi-sticking,94.0,17.0,Craig Smith,PenaltyOn,Nashville Predators,Esa Lindell,DrewBy,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-14T23:54:24Z,1,08:49,11:11,Faceoff,n/a,-69.0,-22.0,Jamie Benn,Winner,Dallas Stars,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
