Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-15T03:10:19Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:10:30Z,1,00:09,19:51,Takeaway,n/a,-31.0,38.0,Marc-Edouard Vlasic,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:10:38Z,1,00:17,19:43,Hit,n/a,98.0,18.0,Joachim Blichfeld,Hitter,San Jose Sharks,Troy Stecher,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:10:41Z,1,00:20,19:40,Missed Shot,n/a,32.0,37.0,Marc-Edouard Vlasic,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:11:17Z,1,00:56,19:04,Shot,Wrist Shot,81.0,12.0,Timo Meier,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:11:56Z,1,01:36,18:24,Hit,n/a,99.0,-17.0,Oscar Fantenberg,Hitter,Vancouver Canucks,Kevin Labanc,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:12:18Z,1,01:57,18:03,Shot,Wrist Shot,5.0,34.0,Mario Ferraro,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:12:29Z,1,02:08,17:52,Blocked Shot,n/a,-54.0,16.0,Tomas Hertl,Blocker,San Jose Sharks,Tyler Myers,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:13:06Z,1,02:22,17:38,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,Logan Couture,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:13:42Z,1,02:49,17:11,Takeaway,n/a,35.0,34.0,Troy Stecher,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:14:02Z,1,03:10,16:50,Shot,Wrist Shot,44.0,-30.0,Evander Kane,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:14:23Z,1,03:13,16:47,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Noah Gregor,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:14:48Z,1,03:29,16:31,Giveaway,n/a,-99.0,6.0,Aaron Dell,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:14:53Z,1,03:34,16:26,Shot,Wrist Shot,-63.0,-5.0,Jay Beagle,Shooter,Vancouver Canucks,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:15:10Z,1,03:51,16:09,Missed Shot,n/a,59.0,-1.0,Melker Karlsson,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:15:48Z,1,04:29,15:31,Missed Shot,n/a,74.0,-4.0,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:16:08Z,1,04:29,15:31,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:16:25Z,1,04:32,15:28,Penalty,Interference,73.0,-19.0,Troy Stecher,PenaltyOn,Vancouver Canucks,Kevin Labanc,DrewBy,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:17:05Z,1,04:32,15:28,Faceoff,n/a,69.0,22.0,Evander Kane,Winner,San Jose Sharks,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:17:04Z,1,04:39,15:21,Shot,Wrist Shot,37.0,30.0,Brent Burns,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:17:09Z,1,04:45,15:15,Missed Shot,n/a,37.0,-26.0,Erik Karlsson,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:17:27Z,1,05:02,14:58,Shot,Wrist Shot,51.0,-5.0,Erik Karlsson,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:18:08Z,1,05:02,14:58,Faceoff,n/a,69.0,-22.0,Jay Beagle,Winner,Vancouver Canucks,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:18:12Z,1,05:13,14:47,Shot,Wrist Shot,86.0,-16.0,Christopher Tanev,Shooter,Vancouver Canucks,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:18:53Z,1,05:54,14:06,Shot,Slap Shot,34.0,8.0,Brent Burns,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:19:33Z,1,06:34,13:26,Shot,Wrist Shot,85.0,8.0,Kevin Labanc,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:19:46Z,1,06:47,13:13,Shot,Wrist Shot,54.0,-25.0,Evander Kane,Shooter,San Jose Sharks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:19:50Z,1,06:51,13:09,Hit,n/a,76.0,-42.0,Oscar Fantenberg,Hitter,Vancouver Canucks,Logan Couture,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:20:02Z,1,06:57,13:03,Takeaway,n/a,-37.0,-9.0,Adam Gaudette,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:20:02Z,1,06:59,13:01,Missed Shot,n/a,-39.0,-5.0,Adam Gaudette,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:20:51Z,1,07:53,12:07,Hit,n/a,-98.0,-14.0,Jake Virtanen,Hitter,Vancouver Canucks,Brenden Dillon,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:21:08Z,1,08:09,11:51,Missed Shot,n/a,-77.0,9.0,Jake Virtanen,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:21:15Z,1,08:16,11:44,Missed Shot,n/a,-64.0,-4.0,Jake Virtanen,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:21:27Z,1,08:29,11:31,Giveaway,n/a,-36.0,-36.0,J.T. Miller,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T03:21:31Z,1,08:32,11:28,Missed Shot,n/a,-66.0,13.0,Josh Leivo,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
