Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-15T01:07:47Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:09:07Z,1,00:20,19:40,Takeaway,n/a,20.0,-4.0,Jonathan Toews,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:09:36Z,1,00:49,19:11,Hit,n/a,54.0,-39.0,Brayden Schenn,Hitter,St. Louis Blues,Erik Gustafsson,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:09:58Z,1,01:06,18:54,Faceoff,n/a,20.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Dylan Strome,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:11:06Z,1,01:59,18:01,Blocked Shot,n/a,-74.0,-8.0,Alex Pietrangelo,Blocker,St. Louis Blues,Olli Maatta,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:11:44Z,1,02:33,17:27,Blocked Shot,n/a,76.0,5.0,Connor Murphy,Blocker,Chicago Blackhawks,Vince Dunn,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:11:54Z,1,02:34,17:26,Faceoff,n/a,69.0,22.0,Kirby Dach,Winner,Chicago Blackhawks,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:12:38Z,1,03:05,16:55,Takeaway,n/a,97.0,23.0,Erik Gustafsson,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:13:02Z,1,03:23,16:37,Penalty,Delaying Game - Puck over glass,87.0,25.0,Brent Seabrook,PenaltyOn,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:13:38Z,1,03:23,16:37,Faceoff,n/a,69.0,22.0,Ryan Carpenter,Winner,Chicago Blackhawks,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:14:06Z,1,03:55,16:05,Shot,Slap Shot,37.0,-8.0,Alex Pietrangelo,Shooter,St. Louis Blues,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:14:26Z,1,04:15,15:45,Takeaway,n/a,60.0,16.0,Brandon Saad,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:15:05Z,1,04:52,15:08,Blocked Shot,n/a,71.0,-1.0,Connor Murphy,Blocker,Chicago Blackhawks,Ivan Barbashev,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:15:05Z,1,04:54,15:06,Shot,Wrist Shot,66.0,-1.0,Ivan Barbashev,Shooter,St. Louis Blues,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:15:10Z,1,04:58,15:02,Blocked Shot,n/a,82.0,-9.0,Olli Maatta,Blocker,Chicago Blackhawks,Ivan Barbashev,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:15:24Z,1,05:13,14:47,Hit,n/a,54.0,40.0,Dennis Gilbert,Hitter,Chicago Blackhawks,Robert Thomas,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:15:24Z,1,05:15,14:45,Giveaway,n/a,84.0,12.0,Zack Smith,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:15:59Z,1,05:49,14:11,Giveaway,n/a,-34.0,-34.0,Alexander Steen,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:16:48Z,1,06:37,13:23,Takeaway,n/a,-68.0,37.0,Vince Dunn,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:17:04Z,1,06:53,13:07,Shot,Wrist Shot,70.0,0.0,Robert Bortuzzo,Shooter,St. Louis Blues,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T01:18:48Z,1,06:54,13:06,Faceoff,n/a,69.0,-22.0,Jonathan Toews,Winner,Chicago Blackhawks,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
