Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-15T00:07:45Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brayden Point,Winner,Tampa Bay Lightning,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:09:18Z,1,00:25,19:35,Blocked Shot,n/a,-52.0,19.0,Ondrej Palat,Blocker,Tampa Bay Lightning,Michal Kempny,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:09:33Z,1,00:36,19:24,Faceoff,n/a,-69.0,-22.0,Brayden Point,Winner,Tampa Bay Lightning,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:10:20Z,1,01:09,18:51,Shot,Wrist Shot,57.0,21.0,Alex Killorn,Shooter,Tampa Bay Lightning,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:10:41Z,1,01:10,18:50,Faceoff,n/a,69.0,22.0,Lars Eller,Winner,Washington Capitals,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:10:55Z,1,01:19,18:41,Shot,Wrist Shot,80.0,5.0,Anthony Cirelli,Shooter,Tampa Bay Lightning,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:11:15Z,1,01:20,18:40,Faceoff,n/a,69.0,22.0,Lars Eller,Winner,Washington Capitals,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:12:09Z,1,02:06,17:54,Hit,n/a,-73.0,-26.0,Kevin Shattenkirk,Hitter,Tampa Bay Lightning,Richard Panik,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:12:47Z,1,02:30,17:30,Faceoff,n/a,69.0,-22.0,Brayden Point,Winner,Tampa Bay Lightning,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:13:09Z,1,02:36,17:24,Blocked Shot,n/a,67.0,9.0,Richard Panik,Blocker,Washington Capitals,Nikita Kucherov,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:13:18Z,1,02:45,17:15,Shot,Backhand,79.0,3.0,Mikhail Sergachev,Shooter,Tampa Bay Lightning,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:13:36Z,1,03:03,16:57,Shot,Wrist Shot,63.0,-22.0,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:13:42Z,1,03:10,16:50,Hit,n/a,96.0,20.0,Jonas Siegenthaler,Hitter,Washington Capitals,Nikita Kucherov,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:13:54Z,1,03:18,16:42,Hit,n/a,60.0,36.0,Garnet Hathaway,Hitter,Washington Capitals,Brayden Point,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:14:25Z,1,03:52,16:08,Shot,Slap Shot,-56.0,18.0,Nick Jensen,Shooter,Washington Capitals,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:14:33Z,1,03:56,16:04,Blocked Shot,n/a,-65.0,22.0,Ryan McDonagh,Blocker,Tampa Bay Lightning,Nick Jensen,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:14:36Z,1,04:03,15:57,Shot,Slap Shot,-53.0,-27.0,Alex Ovechkin,Shooter,Washington Capitals,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:15:08Z,1,04:30,15:30,Takeaway,n/a,-62.0,5.0,Anthony Cirelli,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:15:14Z,1,04:30,15:30,Giveaway,n/a,-54.0,-16.0,Evgeny Kuznetsov,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:15:14Z,1,04:40,15:20,Blocked Shot,n/a,76.0,-3.0,John Carlson,Blocker,Washington Capitals,Steven Stamkos,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:16:30Z,1,05:32,14:28,Faceoff,n/a,-69.0,-22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Brendan Leipsic,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:16:54Z,1,05:40,14:20,Shot,Backhand,-81.0,4.0,Brendan Leipsic,Shooter,Washington Capitals,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:17:04Z,1,05:47,14:13,Shot,Wrist Shot,-57.0,-18.0,Brendan Leipsic,Shooter,Washington Capitals,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:17:24Z,1,05:48,14:12,Faceoff,n/a,20.0,22.0,Nic Dowd,Winner,Washington Capitals,Mitchell Stephens,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:17:43Z,1,06:03,13:57,Hit,n/a,-71.0,-35.0,Garnet Hathaway,Hitter,Washington Capitals,Jan Rutta,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:17:50Z,1,06:10,13:50,Hit,n/a,-89.0,22.0,Nic Dowd,Hitter,Washington Capitals,Victor Hedman,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:17:56Z,1,06:16,13:44,Hit,n/a,-12.0,-37.0,Mathieu Joseph,Hitter,Tampa Bay Lightning,Garnet Hathaway,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:18:07Z,1,06:27,13:33,Shot,Wrist Shot,-41.0,26.0,Radko Gudas,Shooter,Washington Capitals,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:18:24Z,1,06:41,13:19,Giveaway,n/a,-78.0,4.0,Jan Rutta,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:19:59Z,1,06:42,13:18,Goal,Wrist Shot,-75.0,1.0,Nicklas Backstrom,Scorer,Washington Capitals,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-15T00:20:20Z,1,06:42,13:18,Faceoff,n/a,0.0,0.0,Nicklas Backstrom,Winner,Washington Capitals,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
