Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-17T00:12:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:13:49Z,1,00:33,19:27,Missed Shot,n/a,-78.0,8.0,Jacob Trouba,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:13:59Z,1,00:42,19:18,Hit,n/a,-99.0,-12.0,Chris Kreider,Hitter,New York Rangers,Ryan Johansen,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:14:28Z,1,01:04,18:56,Faceoff,n/a,20.0,22.0,Matt Duchene,Winner,Nashville Predators,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:14:57Z,1,01:16,18:44,Takeaway,n/a,71.0,-36.0,Colton Sissons,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:15:02Z,1,01:22,18:38,Hit,n/a,62.0,40.0,Brendan Lemieux,Hitter,New York Rangers,Mattias Ekholm,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:15:15Z,1,01:31,18:29,Giveaway,n/a,-84.0,-29.0,Brendan Lemieux,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:15:21Z,1,01:41,18:19,Blocked Shot,n/a,73.0,9.0,Tony DeAngelo,Blocker,New York Rangers,Rocco Grimaldi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:15:28Z,1,01:43,18:17,Shot,Wrist Shot,73.0,-16.0,Rocco Grimaldi,Shooter,Nashville Predators,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:15:38Z,1,01:44,18:16,Faceoff,n/a,69.0,-22.0,Filip Chytil,Winner,New York Rangers,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:16:32Z,1,02:23,17:37,Shot,Backhand,-5.0,33.0,Pavel Buchnevich,Shooter,New York Rangers,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:16:45Z,1,02:34,17:26,Hit,n/a,-96.0,20.0,Greg McKegg,Hitter,New York Rangers,Colin Blackwell,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:16:47Z,1,02:36,17:24,Shot,Backhand,86.0,-10.0,Yakov Trenin,Shooter,Nashville Predators,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:16:54Z,1,02:37,17:23,Missed Shot,n/a,83.0,10.0,Colin Blackwell,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:17:10Z,1,02:38,17:22,Faceoff,n/a,20.0,-22.0,Brett Howden,Winner,New York Rangers,Colin Blackwell,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:18:13Z,1,03:15,16:45,Blocked Shot,n/a,78.0,7.0,Ryan Lindgren,Blocker,New York Rangers,Ryan Johansen,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:18:19Z,1,03:17,16:43,Blocked Shot,n/a,74.0,8.0,Ryan Lindgren,Blocker,New York Rangers,Ryan Johansen,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:18:28Z,1,03:31,16:29,Takeaway,n/a,71.0,-5.0,Brett Howden,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T00:18:50Z,1,03:53,16:07,Hit,n/a,88.0,-34.0,Jesper Fast,Hitter,New York Rangers,Calle Jarnkrok,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
