Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-17T01:07:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:08:43Z,1,00:22,19:38,Giveaway,n/a,88.0,33.0,Nathan MacKinnon,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:09:09Z,1,00:42,19:18,Hit,n/a,-30.0,-27.0,Colton Parayko,Hitter,St. Louis Blues,Andre Burakovsky,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:09:17Z,1,00:56,19:04,Takeaway,n/a,65.0,18.0,Ryan O'Reilly,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:09:18Z,1,00:56,19:04,Shot,Tip-In,71.0,6.0,Jaden Schwartz,Shooter,St. Louis Blues,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:09:29Z,1,01:06,18:54,Blocked Shot,n/a,73.0,-9.0,Samuel Girard,Blocker,Colorado Avalanche,Jaden Schwartz,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:10:39Z,1,01:08,18:52,Faceoff,n/a,69.0,22.0,Nazem Kadri,Winner,Colorado Avalanche,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:11:41Z,1,01:20,18:40,Faceoff,n/a,69.0,-22.0,Tyler Bozak,Winner,St. Louis Blues,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:11:59Z,1,01:27,18:33,Shot,Wrap-around,88.0,7.0,Robert Thomas,Shooter,St. Louis Blues,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:12:33Z,1,02:01,17:59,Missed Shot,n/a,31.0,-24.0,Robert Bortuzzo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:12:37Z,1,02:05,17:55,Hit,n/a,-29.0,-39.0,Jacob de la Rose,Hitter,St. Louis Blues,Matt Calvert,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:12:44Z,1,02:12,17:48,Hit,n/a,-97.0,-2.0,Robert Bortuzzo,Hitter,St. Louis Blues,Matt Calvert,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:13:18Z,1,02:45,17:15,Hit,n/a,29.0,-42.0,Valeri Nichushkin,Hitter,Colorado Avalanche,Colton Parayko,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:13:23Z,1,02:51,17:09,Hit,n/a,34.0,40.0,Mackenzie MacEachern,Hitter,St. Louis Blues,Mark Barberio,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:13:44Z,1,02:58,17:02,Penalty,Hooking,70.0,12.0,Mark Barberio,PenaltyOn,Colorado Avalanche,Jordan Kyrou,DrewBy,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:14:18Z,1,02:58,17:02,Faceoff,n/a,69.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:14:13Z,1,03:10,16:50,Blocked Shot,n/a,68.0,9.0,Ian Cole,Blocker,Colorado Avalanche,David Perron,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:15:25Z,1,04:21,15:39,Shot,Wrist Shot,59.0,10.0,Vince Dunn,Shooter,St. Louis Blues,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-17T01:15:55Z,1,04:22,15:38,Faceoff,n/a,69.0,22.0,J.T. Compher,Winner,Colorado Avalanche,Tyler Bozak,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
