Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-18T02:07:41Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:08:46Z,1,00:20,19:40,Shot,Snap Shot,73.0,-12.0,Bryan Rust,Shooter,Pittsburgh Penguins,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:09:07Z,1,00:41,19:19,Giveaway,n/a,-68.0,34.0,Bryan Rust,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:09:14Z,1,00:47,19:13,Giveaway,n/a,-91.0,-26.0,Kris Letang,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:09:38Z,1,01:10,18:50,Hit,n/a,-31.0,40.0,Jack Johnson,Hitter,Pittsburgh Penguins,Mikael Backlund,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:09:43Z,1,01:16,18:44,Blocked Shot,n/a,-64.0,10.0,Alex Galchenyuk,Blocker,Pittsburgh Penguins,Travis Hamonic,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:09:55Z,1,01:29,18:31,Blocked Shot,n/a,54.0,17.0,Travis Hamonic,Blocker,Calgary Flames,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:09:57Z,1,01:31,18:29,Giveaway,n/a,54.0,30.0,Johnny Gaudreau,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:10:25Z,1,01:55,18:05,Takeaway,n/a,-25.0,13.0,Zach Aston-Reese,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:11:09Z,1,02:20,17:40,Faceoff,n/a,69.0,22.0,Joseph Blandisi,Winner,Pittsburgh Penguins,Tobias Rieder,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:11:24Z,1,02:25,17:35,Shot,Wrist Shot,38.0,21.0,John Marino,Shooter,Pittsburgh Penguins,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:11:27Z,1,02:28,17:32,Hit,n/a,52.0,-40.0,Sam Bennett,Hitter,Calgary Flames,Kris Letang,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:11:31Z,1,02:31,17:29,Blocked Shot,n/a,50.0,18.0,Michael Frolik,Blocker,Calgary Flames,John Marino,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:12:00Z,1,02:42,17:18,Faceoff,n/a,-20.0,22.0,Elias Lindholm,Winner,Calgary Flames,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:12:26Z,1,02:54,17:06,Faceoff,n/a,69.0,22.0,Elias Lindholm,Winner,Calgary Flames,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:12:54Z,1,03:04,16:56,Giveaway,n/a,80.0,-33.0,Matthew Tkachuk,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:12:56Z,1,03:08,16:52,Blocked Shot,n/a,66.0,2.0,Mark Giordano,Blocker,Calgary Flames,Bryan Rust,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:13:17Z,1,03:30,16:30,Giveaway,n/a,-46.0,-38.0,Kris Letang,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:13:26Z,1,03:38,16:22,Missed Shot,n/a,-65.0,-5.0,Andrew Mangiapane,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:14:33Z,1,04:04,15:56,Shot,Wrap-around,-92.0,5.0,Johnny Gaudreau,Shooter,Calgary Flames,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:13:54Z,1,04:06,15:54,Missed Shot,n/a,-73.0,-9.0,Mikael Backlund,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:13:56Z,1,04:08,15:52,Takeaway,n/a,-56.0,39.0,Sean Monahan,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:14:05Z,1,04:10,15:50,Shot,Wrist Shot,-48.0,21.0,Sean Monahan,Shooter,Calgary Flames,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:14:14Z,1,04:27,15:33,Shot,Wrist Shot,-72.0,-37.0,Johnny Gaudreau,Shooter,Calgary Flames,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:14:32Z,1,04:44,15:16,Hit,n/a,-41.0,39.0,Marcus Pettersson,Hitter,Pittsburgh Penguins,Dillon Dube,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T02:14:43Z,1,04:50,15:10,Shot,Wrist Shot,-33.0,27.0,Dominik Kahun,Shooter,Pittsburgh Penguins,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
