Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-18T00:38:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Luke Glendening,Winner,Detroit Red Wings,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:39:03Z,1,00:23,19:37,Hit,n/a,-99.0,-12.0,Luke Glendening,Hitter,Detroit Red Wings,Seth Jones,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:39:31Z,1,00:51,19:09,Shot,Wrist Shot,33.0,-32.0,David Savard,Shooter,Columbus Blue Jackets,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:39:57Z,1,01:17,18:43,Giveaway,n/a,63.0,-34.0,Nick Foligno,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:40:27Z,1,01:47,18:13,Shot,Backhand,-85.0,16.0,Robby Fabbri,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:40:56Z,1,01:49,18:11,Faceoff,n/a,-69.0,22.0,Riley Nash,Winner,Columbus Blue Jackets,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:41:15Z,1,02:03,17:57,Hit,n/a,80.0,-37.0,Marko Dano,Hitter,Columbus Blue Jackets,Alex Biega,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:41:24Z,1,02:14,17:46,Hit,n/a,-54.0,41.0,Marko Dano,Hitter,Columbus Blue Jackets,Madison Bowey,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:41:34Z,1,02:17,17:43,Giveaway,n/a,-37.0,-29.0,Kevin Stenlund,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:41:57Z,1,02:47,17:13,Shot,Wrist Shot,-45.0,12.0,Filip Hronek,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:42:17Z,1,02:49,17:11,Faceoff,n/a,-69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Anthony Mantha,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:43:13Z,1,03:33,16:27,Missed Shot,n/a,45.0,4.0,Oliver Bjorkstrand,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:43:23Z,1,03:43,16:17,Missed Shot,n/a,69.0,-23.0,Nick Foligno,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:44:49Z,1,05:11,14:49,Goal,Slap Shot,-65.0,19.0,Adam Erne,Scorer,Detroit Red Wings,Frans Nielsen,Assist,Detroit Red Wings,Brendan Perlini,Assist,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets
2019-12-18T00:45:34Z,1,05:11,14:49,Faceoff,n/a,0.0,0.0,Luke Glendening,Winner,Detroit Red Wings,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:45:44Z,1,05:19,14:41,Hit,n/a,-97.0,14.0,Darren Helm,Hitter,Detroit Red Wings,David Savard,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:46:10Z,1,05:45,14:15,Hit,n/a,73.0,33.0,Darren Helm,Hitter,Detroit Red Wings,Alexandre Texier,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:46:51Z,1,06:20,13:40,Faceoff,n/a,69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:47:12Z,1,06:22,13:38,Blocked Shot,n/a,65.0,9.0,Tyler Bertuzzi,Blocker,Detroit Red Wings,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:47:49Z,1,06:41,13:19,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:48:24Z,1,06:49,13:11,Faceoff,n/a,69.0,22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:48:56Z,1,07:20,12:40,Shot,Wrist Shot,83.0,-14.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-18T00:51:21Z,1,07:42,12:18,Faceoff,n/a,69.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
