Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-19T00:08:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Getzlaf,Winner,Anaheim Ducks,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:10:00Z,1,00:20,19:40,Hit,n/a,-93.0,-28.0,Adam Henrique,Hitter,Anaheim Ducks,P.K. Subban,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:10:07Z,1,00:28,19:32,Shot,Backhand,86.0,9.0,Blake Coleman,Shooter,New Jersey Devils,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:10:14Z,1,00:34,19:26,Takeaway,n/a,8.0,-36.0,Blake Coleman,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:11:08Z,1,01:27,18:33,Hit,n/a,-35.0,-40.0,Michael Del Zotto,Hitter,Anaheim Ducks,Jesper Bratt,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:11:31Z,1,01:51,18:09,Missed Shot,n/a,-64.0,-30.0,Sam Steel,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:11:50Z,1,02:10,17:50,Shot,Snap Shot,57.0,14.0,Jack Hughes,Shooter,New Jersey Devils,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:11:56Z,1,02:12,17:48,Shot,Snap Shot,72.0,1.0,Pavel Zacha,Shooter,New Jersey Devils,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:12:23Z,1,02:21,17:39,Faceoff,n/a,20.0,22.0,Sam Carrick,Winner,Anaheim Ducks,Michael McLeod,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:12:47Z,1,02:46,17:14,Shot,Snap Shot,65.0,20.0,Jesper Boqvist,Shooter,New Jersey Devils,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:12:57Z,1,02:56,17:04,Hit,n/a,98.0,8.0,Josh Manson,Hitter,Anaheim Ducks,Michael McLeod,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:13:05Z,1,03:04,16:56,Hit,n/a,98.0,-12.0,Nicolas Deslauriers,Hitter,Anaheim Ducks,Miles Wood,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:13:21Z,1,03:18,16:42,Blocked Shot,n/a,66.0,12.0,Nicolas Deslauriers,Blocker,Anaheim Ducks,Jesper Boqvist,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:13:36Z,1,03:33,16:27,Goal,Snap Shot,-71.0,17.0,Adam Henrique,Scorer,Anaheim Ducks,Ondrej Kase,Assist,Anaheim Ducks,Cam Fowler,Assist,Anaheim Ducks,Mackenzie Blackwood,Goalie,New Jersey Devils
2019-12-19T00:15:06Z,1,03:33,16:27,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:14:36Z,1,03:55,16:05,Hit,n/a,18.0,39.0,Adam Henrique,Hitter,Anaheim Ducks,Kyle Palmieri,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:15:17Z,1,04:13,15:47,Faceoff,n/a,69.0,22.0,Jack Hughes,Winner,New Jersey Devils,Jakob Silfverberg,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:16:12Z,1,04:38,15:22,Faceoff,n/a,20.0,-22.0,Sam Steel,Winner,Anaheim Ducks,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:16:29Z,1,04:53,15:07,Giveaway,n/a,-83.0,6.0,Jack Hughes,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:16:31Z,1,04:55,15:05,Shot,Snap Shot,-68.0,-5.0,Max Comtois,Shooter,Anaheim Ducks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:17:05Z,1,05:27,14:33,Missed Shot,n/a,-72.0,7.0,Max Comtois,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:17:34Z,1,05:58,14:02,Takeaway,n/a,-10.0,22.0,Carter Rowney,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:17:56Z,1,06:20,13:40,Shot,Snap Shot,-57.0,3.0,Adam Henrique,Shooter,Anaheim Ducks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:18:02Z,1,06:24,13:36,Hit,n/a,-52.0,-38.0,Travis Zajac,Hitter,New Jersey Devils,Ryan Getzlaf,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:18:15Z,1,06:39,13:21,Shot,Snap Shot,-77.0,-19.0,Ryan Getzlaf,Shooter,Anaheim Ducks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:18:25Z,1,06:49,13:11,Blocked Shot,n/a,-75.0,12.0,Travis Zajac,Blocker,New Jersey Devils,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:18:37Z,1,07:00,13:00,Hit,n/a,85.0,35.0,Blake Coleman,Hitter,New Jersey Devils,Korbinian Holzer,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:19:13Z,1,07:35,12:25,Blocked Shot,n/a,57.0,8.0,Max Comtois,Blocker,Anaheim Ducks,Wayne Simmonds,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:21:17Z,1,07:35,12:25,Faceoff,n/a,69.0,22.0,Sam Carrick,Winner,Anaheim Ducks,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:21:36Z,1,07:43,12:17,Shot,Backhand,83.0,9.0,Jack Hughes,Shooter,New Jersey Devils,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:21:36Z,1,07:47,12:13,Blocked Shot,n/a,71.0,-3.0,Erik Gudbranson,Blocker,Anaheim Ducks,Jack Hughes,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-19T00:21:40Z,1,07:52,12:08,Hit,n/a,73.0,-39.0,Pavel Zacha,Hitter,New Jersey Devils,Cam Fowler,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
