Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-20T00:38:33Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Colton Sissons,Winner,Nashville Predators,Logan Brown,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:38:50Z,1,00:14,19:46,Hit,n/a,68.0,-38.0,J.C. Beaudin,Hitter,Ottawa Senators,Roman Josi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:38:57Z,1,00:21,19:39,Missed Shot,n/a,-21.0,32.0,Mark Borowiecki,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:39:04Z,1,00:29,19:31,Giveaway,n/a,68.0,34.0,Colin Blackwell,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:39:08Z,1,00:32,19:28,Hit,n/a,51.0,-39.0,Brady Tkachuk,Hitter,Ottawa Senators,Roman Josi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:39:16Z,1,00:40,19:20,Hit,n/a,-52.0,39.0,Brady Tkachuk,Hitter,Ottawa Senators,Dante Fabbro,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:39:31Z,1,00:49,19:11,Giveaway,n/a,-93.0,23.0,Thomas Chabot,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:39:55Z,1,01:19,18:41,Shot,Wrist Shot,-65.0,-40.0,Yakov Trenin,Shooter,Nashville Predators,Marcus Hogberg,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:39:57Z,1,01:21,18:39,Blocked Shot,n/a,-82.0,4.0,Erik Brannstrom,Blocker,Ottawa Senators,Matt Irwin,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:40:12Z,1,01:30,18:30,Blocked Shot,n/a,77.0,1.0,Matt Irwin,Blocker,Nashville Predators,Nick Paul,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:40:33Z,1,01:31,18:29,Faceoff,n/a,69.0,22.0,Colton Sissons,Winner,Nashville Predators,Chris Tierney,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:41:17Z,1,02:10,17:50,Shot,Wrist Shot,-85.0,30.0,Colton Sissons,Shooter,Nashville Predators,Marcus Hogberg,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:41:31Z,1,02:10,17:50,Hit,n/a,-85.0,35.0,Andreas Englund,Hitter,Ottawa Senators,Colton Sissons,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:41:36Z,1,02:11,17:49,Faceoff,n/a,-69.0,22.0,Matt Duchene,Winner,Nashville Predators,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:42:02Z,1,02:20,17:40,Faceoff,n/a,69.0,-22.0,Matt Duchene,Winner,Nashville Predators,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:42:37Z,1,02:25,17:35,Faceoff,n/a,69.0,-22.0,Matt Duchene,Winner,Nashville Predators,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:42:47Z,1,02:35,17:25,Shot,Wrist Shot,-39.0,-32.0,Filip Forsberg,Shooter,Nashville Predators,Marcus Hogberg,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:43:06Z,1,02:36,17:24,Faceoff,n/a,-69.0,-22.0,Artem Anisimov,Winner,Ottawa Senators,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:43:22Z,1,02:44,17:16,Takeaway,n/a,-50.0,-41.0,Kyle Turris,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:43:30Z,1,02:52,17:08,Blocked Shot,n/a,-78.0,11.0,Tyler Ennis,Blocker,Ottawa Senators,Dante Fabbro,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:43:46Z,1,02:55,17:05,Shot,Wrist Shot,-79.0,9.0,Craig Smith,Shooter,Nashville Predators,Marcus Hogberg,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:43:54Z,1,02:56,17:04,Faceoff,n/a,-69.0,22.0,Matt Duchene,Winner,Nashville Predators,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:44:37Z,1,03:13,16:47,Faceoff,n/a,-20.0,22.0,Ryan Johansen,Winner,Nashville Predators,Logan Brown,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:44:53Z,1,03:24,16:36,Missed Shot,n/a,-66.0,1.0,Calle Jarnkrok,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:00Z,1,03:31,16:29,Takeaway,n/a,-94.0,23.0,Yakov Trenin,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:17Z,1,03:47,16:13,Hit,n/a,94.0,-13.0,Ryan Ellis,Hitter,Nashville Predators,J.C. Beaudin,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:21Z,1,03:52,16:08,Blocked Shot,n/a,72.0,6.0,Ryan Johansen,Blocker,Nashville Predators,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:31Z,1,04:00,16:00,Blocked Shot,n/a,79.0,-8.0,Roman Josi,Blocker,Nashville Predators,Colin White,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:31Z,1,04:02,15:58,Blocked Shot,n/a,79.0,-8.0,Mattias Ekholm,Blocker,Nashville Predators,Colin White,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:42Z,1,04:12,15:48,Shot,Wrist Shot,38.0,27.0,Colin White,Shooter,Ottawa Senators,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:45:55Z,1,04:26,15:34,Takeaway,n/a,-83.0,-26.0,Nick Paul,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:46:01Z,1,04:31,15:29,Hit,n/a,-62.0,-39.0,Austin Watson,Hitter,Nashville Predators,Nick Paul,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T00:46:37Z,1,04:48,15:12,Faceoff,n/a,20.0,-22.0,Artem Anisimov,Winner,Ottawa Senators,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
