Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-21T18:07:57Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:08:43Z,1,00:21,19:39,Hit,n/a,-98.0,11.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Alex Iafallo,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:08:49Z,1,00:27,19:33,Hit,n/a,-92.0,-29.0,Dustin Brown,Hitter,Los Angeles Kings,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:09:37Z,1,01:15,18:45,Hit,n/a,99.0,-6.0,Rasmus Asplund,Hitter,Buffalo Sabres,Matt Roy,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:10:02Z,1,01:31,18:29,Hit,n/a,46.0,-41.0,Rasmus Asplund,Hitter,Buffalo Sabres,Trevor Lewis,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:11:06Z,1,01:31,18:29,Faceoff,n/a,69.0,-22.0,Nikolai Prokhorkin,Winner,Los Angeles Kings,Kyle Okposo,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:11:22Z,1,01:38,18:22,Hit,n/a,99.0,0.0,Curtis Lazar,Hitter,Buffalo Sabres,Sean Walker,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:11:33Z,1,01:48,18:12,Shot,Snap Shot,59.0,11.0,Kyle Okposo,Shooter,Buffalo Sabres,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:11:55Z,1,02:11,17:49,Hit,n/a,25.0,-37.0,Henri Jokiharju,Hitter,Buffalo Sabres,Sean Walker,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:13:30Z,1,02:39,17:21,Takeaway,n/a,-43.0,6.0,Austin Wagner,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:12:42Z,1,02:41,17:19,Shot,Slap Shot,-37.0,26.0,Dustin Brown,Shooter,Los Angeles Kings,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:13:52Z,1,02:42,17:18,Faceoff,n/a,-69.0,22.0,Blake Lizotte,Winner,Los Angeles Kings,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:13:22Z,1,02:51,17:09,Shot,Wrap-around,-87.0,7.0,Blake Lizotte,Shooter,Los Angeles Kings,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:13:39Z,1,03:03,16:57,Shot,Slap Shot,-40.0,-27.0,Ben Hutton,Shooter,Los Angeles Kings,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:13:48Z,1,03:15,16:45,Blocked Shot,n/a,57.0,7.0,Jack Eichel,Blocker,Buffalo Sabres,Ben Hutton,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:14:30Z,1,04:42,15:18,Shot,Wrist Shot,54.0,30.0,Jeff Skinner,Shooter,Buffalo Sabres,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:15:19Z,1,05:03,14:57,Shot,Wrist Shot,35.0,-29.0,Henri Jokiharju,Shooter,Buffalo Sabres,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:15:58Z,1,05:04,14:56,Faceoff,n/a,69.0,-22.0,Evan Rodrigues,Winner,Buffalo Sabres,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:16:09Z,1,05:10,14:50,Faceoff,n/a,69.0,22.0,Dustin Brown,Winner,Los Angeles Kings,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:17:12Z,1,05:44,14:16,Blocked Shot,n/a,37.0,-15.0,Anze Kopitar,Blocker,Los Angeles Kings,Evan Rodrigues,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:20:13Z,1,06:26,13:34,Faceoff,n/a,-69.0,22.0,Marcus Johansson,Winner,Buffalo Sabres,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T18:21:53Z,1,07:37,12:23,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Curtis Lazar,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
