Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-21T00:08:00Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,John Tavares,Winner,Toronto Maple Leafs,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:08:33Z,1,00:18,19:42,Hit,n/a,80.0,37.0,Zach Hyman,Hitter,Toronto Maple Leafs,Jacob Trouba,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:08:53Z,1,00:20,19:40,Faceoff,n/a,69.0,22.0,Auston Matthews,Winner,Toronto Maple Leafs,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:09:10Z,1,00:31,19:29,Takeaway,n/a,-36.0,38.0,Tyson Barrie,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:09:25Z,1,00:35,19:25,Faceoff,n/a,-69.0,22.0,Auston Matthews,Winner,Toronto Maple Leafs,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:09:40Z,1,00:39,19:21,Hit,n/a,-97.0,-9.0,Jesper Fast,Hitter,New York Rangers,Tyson Barrie,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:09:48Z,1,00:46,19:14,Penalty,Tripping,-87.0,22.0,Morgan Rielly,PenaltyOn,Toronto Maple Leafs,Jesper Fast,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:10:14Z,1,00:46,19:14,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Zach Hyman,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:10:20Z,1,00:52,19:08,Missed Shot,n/a,-49.0,-22.0,Artemi Panarin,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:10:33Z,1,00:54,19:06,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Zach Hyman,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:10:47Z,1,01:00,19:00,Blocked Shot,n/a,-59.0,-9.0,Mitchell Marner,Blocker,Toronto Maple Leafs,Artemi Panarin,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-21T00:10:59Z,1,01:12,18:48,Shot,Wrist Shot,-36.0,-5.0,Tony DeAngelo,Shooter,New York Rangers,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
