Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-22T00:08:15Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:09:21Z,1,00:26,19:34,Goal,Snap Shot,58.0,1.0,Oliver Bjorkstrand,Scorer,Columbus Blue Jackets,Boone Jenner,Assist,Columbus Blue Jackets,Seth Jones,Assist,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils
2019-12-22T00:09:58Z,1,00:26,19:34,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:10:39Z,1,00:51,19:09,Faceoff,n/a,-20.0,22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Blake Coleman,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:11:07Z,1,00:58,19:02,Hit,n/a,14.0,-36.0,Mirco Mueller,Hitter,New Jersey Devils,Eric Robinson,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:11:30Z,1,01:25,18:35,Takeaway,n/a,22.0,29.0,Pierre-Luc Dubois,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:11:45Z,1,01:41,18:19,Shot,Tip-In,77.0,-2.0,Alexander Wennberg,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:12:24Z,1,02:19,17:41,Giveaway,n/a,-95.0,21.0,Gabriel Carlsson,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:12:57Z,1,02:31,17:29,Faceoff,n/a,-69.0,-22.0,Riley Nash,Winner,Columbus Blue Jackets,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:13:17Z,1,02:46,17:14,Hit,n/a,-92.0,-25.0,John Hayden,Hitter,New Jersey Devils,Seth Jones,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:13:29Z,1,02:58,17:02,Shot,Backhand,-71.0,2.0,Jack Hughes,Shooter,New Jersey Devils,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:13:34Z,1,02:59,17:01,Penalty,Hooking,-37.0,-23.0,Jakob Lilja,PenaltyOn,Columbus Blue Jackets,Andy Greene,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:14:16Z,1,02:59,17:01,Faceoff,n/a,-69.0,-22.0,Nico Hischier,Winner,New Jersey Devils,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:14:48Z,1,03:38,16:22,Hit,n/a,-98.0,15.0,Kyle Palmieri,Hitter,New Jersey Devils,Scott Harrington,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:14:58Z,1,03:48,16:12,Shot,Slap Shot,-42.0,19.0,P.K. Subban,Shooter,New Jersey Devils,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:16:18Z,1,05:08,14:52,Blocked Shot,n/a,-68.0,8.0,Vladislav Gavrikov,Blocker,Columbus Blue Jackets,Damon Severson,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:16:20Z,1,05:10,14:50,Hit,n/a,-53.0,37.0,Blake Coleman,Hitter,New Jersey Devils,Alexander Wennberg,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:16:31Z,1,05:17,14:43,Hit,n/a,57.0,40.0,Miles Wood,Hitter,New Jersey Devils,Vladislav Gavrikov,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:16:31Z,1,05:19,14:41,Missed Shot,n/a,57.0,-6.0,Jakob Lilja,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:17:15Z,1,05:48,14:12,Penalty,Too many men on the ice,-20.0,41.0,Eric Robinson,PenaltyOn,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:17:52Z,1,05:48,14:12,Faceoff,n/a,-69.0,-22.0,Boone Jenner,Winner,Columbus Blue Jackets,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:18:19Z,1,06:07,13:53,Giveaway,n/a,97.0,-4.0,Boone Jenner,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:18:33Z,1,06:21,13:39,Missed Shot,n/a,-76.0,16.0,P.K. Subban,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:18:42Z,1,06:30,13:30,Blocked Shot,n/a,-66.0,7.0,Zach Werenski,Blocker,Columbus Blue Jackets,Jack Hughes,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:18:51Z,1,06:38,13:22,Blocked Shot,n/a,-81.0,-5.0,Seth Jones,Blocker,Columbus Blue Jackets,Kyle Palmieri,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:18:57Z,1,06:45,13:15,Shot,Snap Shot,-66.0,-1.0,Jack Hughes,Shooter,New Jersey Devils,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:19:02Z,1,06:49,13:11,Shot,Wrist Shot,-78.0,-3.0,Kyle Palmieri,Shooter,New Jersey Devils,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:19:35Z,1,07:23,12:37,Giveaway,n/a,-60.0,-28.0,Nikita Gusev,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:20:12Z,1,07:59,12:01,Shot,Wrist Shot,84.0,10.0,Eric Robinson,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:20:20Z,1,08:06,11:54,Goal,Snap Shot,65.0,-10.0,Oliver Bjorkstrand,Scorer,Columbus Blue Jackets,Pierre-Luc Dubois,Assist,Columbus Blue Jackets,Dean Kukan,Assist,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils
2019-12-22T00:21:08Z,1,08:06,11:54,Faceoff,n/a,0.0,0.0,Blake Coleman,Winner,New Jersey Devils,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:22:24Z,1,09:24,10:36,Shot,Snap Shot,-58.0,18.0,Kyle Palmieri,Shooter,New Jersey Devils,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:23:04Z,1,10:04,09:56,Giveaway,n/a,96.0,-9.0,Damon Severson,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:23:19Z,1,10:18,09:42,Shot,Wrist Shot,74.0,-2.0,Nick Foligno,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:23:28Z,1,10:28,09:32,Shot,Slap Shot,42.0,25.0,Seth Jones,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:26:17Z,1,10:34,09:26,Faceoff,n/a,0.0,0.0,Boone Jenner,Winner,Columbus Blue Jackets,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:26:17Z,1,10:37,09:23,Shot,Wrist Shot,11.0,24.0,Boone Jenner,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:27:03Z,1,10:45,09:15,Faceoff,n/a,69.0,22.0,Pavel Zacha,Winner,New Jersey Devils,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:27:26Z,1,11:14,08:46,Shot,Tip-In,-61.0,5.0,Jack Hughes,Shooter,New Jersey Devils,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:27:42Z,1,11:30,08:30,Shot,Backhand,66.0,1.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:28:06Z,1,11:32,08:28,Faceoff,n/a,69.0,22.0,Ryan MacInnis,Winner,Columbus Blue Jackets,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:28:17Z,1,11:39,08:21,Shot,Wrist Shot,75.0,5.0,Jakob Lilja,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:28:24Z,1,11:39,08:21,Shot,Wrist Shot,79.0,1.0,Ryan MacInnis,Shooter,Columbus Blue Jackets,Gilles Senn,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:30:17Z,1,11:40,08:20,Faceoff,n/a,69.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:30:44Z,1,11:54,08:06,Hit,n/a,97.0,11.0,Eric Robinson,Hitter,Columbus Blue Jackets,Damon Severson,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:30:58Z,1,12:04,07:56,Hit,n/a,22.0,0.0,Damon Severson,Hitter,New Jersey Devils,Eric Robinson,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:31:37Z,1,12:45,07:15,Hit,n/a,94.0,-28.0,Riley Nash,Hitter,Columbus Blue Jackets,Will Butcher,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:32:37Z,1,13:15,06:45,Faceoff,n/a,20.0,-22.0,Kevin Stenlund,Winner,Columbus Blue Jackets,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T00:33:20Z,1,14:04,05:56,Blocked Shot,n/a,53.0,-12.0,Andy Greene,Blocker,New Jersey Devils,Kevin Stenlund,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
