Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-22T03:10:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:10:26Z,1,00:16,19:44,Blocked Shot,n/a,-49.0,-29.0,Kris Letang,Blocker,Pittsburgh Penguins,Bo Horvat,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:10:58Z,1,00:48,19:12,Giveaway,n/a,10.0,6.0,Brandon Tanev,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:11:16Z,1,01:06,18:54,Hit,n/a,-63.0,40.0,Marcus Pettersson,Hitter,Pittsburgh Penguins,J.T. Miller,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:11:23Z,1,01:13,18:47,Missed Shot,n/a,-35.0,32.0,Tyler Myers,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:11:40Z,1,01:26,18:34,Hit,n/a,-47.0,38.0,Antoine Roussel,Hitter,Vancouver Canucks,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:12:05Z,1,01:37,18:23,Faceoff,n/a,69.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:12:18Z,1,01:47,18:13,Missed Shot,n/a,33.0,-14.0,Juuso Riikola,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:12:57Z,1,02:03,17:57,Faceoff,n/a,0.0,0.0,Dominik Kahun,Winner,Pittsburgh Penguins,Tyler Motte,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:13:44Z,1,02:23,17:37,Faceoff,n/a,0.0,0.0,Joseph Blandisi,Winner,Pittsburgh Penguins,Elias Pettersson,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:14:07Z,1,02:32,17:28,Blocked Shot,n/a,82.0,16.0,Troy Stecher,Blocker,Vancouver Canucks,Sam Lafferty,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:15:18Z,1,03:27,16:33,Faceoff,n/a,69.0,22.0,Adam Gaudette,Winner,Vancouver Canucks,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:15:52Z,1,03:52,16:08,Blocked Shot,n/a,-77.0,-28.0,Jake Guentzel,Blocker,Pittsburgh Penguins,Loui Eriksson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:16:14Z,1,04:14,15:46,Hit,n/a,-71.0,39.0,Bo Horvat,Hitter,Vancouver Canucks,Evgeni Malkin,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:16:55Z,1,04:25,15:35,Faceoff,n/a,-20.0,22.0,Dominik Kahun,Winner,Pittsburgh Penguins,Tyler Motte,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:18:01Z,1,04:50,15:10,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,Dominik Kahun,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:19:07Z,1,05:50,14:10,Takeaway,n/a,40.0,13.0,Tanner Pearson,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:19:23Z,1,06:06,13:54,Hit,n/a,-68.0,40.0,Chad Ruhwedel,Hitter,Pittsburgh Penguins,Bo Horvat,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:19:26Z,1,06:08,13:52,Missed Shot,n/a,-39.0,-24.0,Jordie Benn,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:20:06Z,1,06:49,13:11,Blocked Shot,n/a,-69.0,25.0,Teddy Blueger,Blocker,Pittsburgh Penguins,Jake Virtanen,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:20:25Z,1,07:06,12:54,Hit,n/a,-30.0,39.0,Tyler Myers,Hitter,Vancouver Canucks,Brandon Tanev,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:20:43Z,1,07:08,12:52,Faceoff,n/a,-69.0,22.0,J.T. Miller,Winner,Vancouver Canucks,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:21:24Z,1,07:33,12:27,Takeaway,n/a,-64.0,29.0,J.T. Miller,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:21:44Z,1,07:53,12:07,Hit,n/a,-92.0,-28.0,Jared McCann,Hitter,Pittsburgh Penguins,Jay Beagle,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:21:53Z,1,08:00,12:00,Hit,n/a,-89.0,32.0,Tim Schaller,Hitter,Vancouver Canucks,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:23:59Z,1,08:31,11:29,Faceoff,n/a,20.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:25:04Z,1,09:03,10:57,Takeaway,n/a,-33.0,40.0,Jake Guentzel,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:25:48Z,1,09:47,10:13,Blocked Shot,n/a,-75.0,10.0,John Marino,Blocker,Pittsburgh Penguins,Elias Pettersson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:26:25Z,1,10:24,09:36,Shot,Deflected,-63.0,-4.0,Antoine Roussel,Shooter,Vancouver Canucks,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:26:44Z,1,10:43,09:17,Missed Shot,n/a,-47.0,-30.0,Oscar Fantenberg,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:26:53Z,1,10:52,09:08,Blocked Shot,n/a,56.0,-26.0,Oscar Fantenberg,Blocker,Vancouver Canucks,Dominik Kahun,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:27:54Z,1,11:52,08:08,Hit,n/a,-94.0,27.0,Bo Horvat,Hitter,Vancouver Canucks,Kris Letang,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:29:52Z,1,11:56,08:04,Faceoff,n/a,-20.0,22.0,Adam Gaudette,Winner,Vancouver Canucks,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:30:29Z,1,12:11,07:49,Hit,n/a,16.0,11.0,Jordie Benn,Hitter,Vancouver Canucks,Brandon Tanev,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:32:00Z,1,12:24,07:36,Penalty,Hi stick - double minor,83.0,-12.0,Dominik Simon,PenaltyOn,Pittsburgh Penguins,Adam Gaudette,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:32:27Z,1,12:24,07:36,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:32:44Z,1,12:31,07:29,Missed Shot,n/a,-53.0,17.0,Elias Pettersson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:33:22Z,1,13:05,06:55,Penalty,Holding,30.0,31.0,Brandon Tanev,PenaltyOn,Pittsburgh Penguins,Quinn Hughes,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:33:56Z,1,13:05,06:55,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:34:44Z,1,13:20,06:40,Blocked Shot,n/a,-68.0,13.0,Jack Johnson,Blocker,Pittsburgh Penguins,Elias Pettersson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:35:00Z,1,13:35,06:25,Giveaway,n/a,-27.0,4.0,J.T. Miller,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:38:39Z,1,13:43,06:17,Faceoff,n/a,-20.0,22.0,Teddy Blueger,Winner,Pittsburgh Penguins,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:38:54Z,1,13:51,06:09,Penalty,Tripping,-46.0,-21.0,Jack Johnson,PenaltyOn,Pittsburgh Penguins,Brock Boeser,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:39:28Z,1,13:51,06:09,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-22T03:39:49Z,1,14:11,05:49,Missed Shot,n/a,-42.0,12.0,Elias Pettersson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
