Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-23T00:08:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Carl Soderberg,Winner,Arizona Coyotes,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:09:08Z,1,00:28,19:32,Shot,Wrist Shot,78.0,-6.0,Clayton Keller,Shooter,Arizona Coyotes,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:09:30Z,1,00:29,19:31,Faceoff,n/a,69.0,-22.0,Christian Dvorak,Winner,Arizona Coyotes,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:09:55Z,1,00:49,19:11,Blocked Shot,n/a,62.0,-11.0,Luke Glendening,Blocker,Detroit Red Wings,Jordan Gross,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:10:02Z,1,00:59,19:01,Giveaway,n/a,34.0,16.0,Christian Dvorak,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:10:21Z,1,01:14,18:46,Missed Shot,n/a,-59.0,12.0,Luke Glendening,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:10:30Z,1,01:20,18:40,Shot,Wrist Shot,-41.0,26.0,Madison Bowey,Shooter,Detroit Red Wings,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:10:45Z,1,01:21,18:39,Faceoff,n/a,-69.0,22.0,Brad Richardson,Winner,Arizona Coyotes,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:11:24Z,1,01:51,18:09,Takeaway,n/a,-55.0,39.0,Robby Fabbri,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:11:27Z,1,01:52,18:08,Blocked Shot,n/a,-77.0,11.0,Ilya Lyubushkin,Blocker,Arizona Coyotes,Robby Fabbri,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:11:52Z,1,02:10,17:50,Hit,n/a,11.0,38.0,Brendan Perlini,Hitter,Detroit Red Wings,Vinnie Hinostroza,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:12:34Z,1,02:24,17:36,Faceoff,n/a,-69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T00:12:32Z,1,02:27,17:33,Shot,Wrist Shot,-53.0,5.0,Dylan Larkin,Shooter,Detroit Red Wings,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
