Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-23T03:08:12Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,William Karlsson,Winner,Vegas Golden Knights,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:08:48Z,1,00:19,19:41,Blocked Shot,n/a,-73.0,-6.0,Barclay Goodrow,Blocker,San Jose Sharks,Jon Merrill,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:08:58Z,1,00:24,19:36,Shot,Wrist Shot,48.0,29.0,Brent Burns,Shooter,San Jose Sharks,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:09:05Z,1,00:26,19:34,Missed Shot,n/a,90.0,5.0,Marcus Sorensen,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:09:13Z,1,00:30,19:30,Shot,Wrist Shot,41.0,37.0,Brent Burns,Shooter,San Jose Sharks,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:09:18Z,1,00:49,19:11,Shot,Wrist Shot,-66.0,22.0,Mark Stone,Shooter,Vegas Golden Knights,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:09:34Z,1,00:49,19:11,Faceoff,n/a,-69.0,22.0,Logan Couture,Winner,San Jose Sharks,Chandler Stephenson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:10:07Z,1,01:20,18:40,Giveaway,n/a,-49.0,-21.0,Max Pacioretty,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:10:20Z,1,01:30,18:30,Penalty,Tripping,49.0,32.0,Evander Kane,PenaltyOn,San Jose Sharks,Mark Stone,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:10:49Z,1,01:30,18:30,Faceoff,n/a,-69.0,-22.0,Barclay Goodrow,Winner,San Jose Sharks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:11:11Z,1,01:48,18:12,Takeaway,n/a,-19.0,13.0,Barclay Goodrow,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:11:29Z,1,02:05,17:55,Takeaway,n/a,-34.0,-33.0,Barclay Goodrow,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:11:45Z,1,02:21,17:39,Missed Shot,n/a,-83.0,-7.0,Alex Tuch,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:12:26Z,1,03:02,16:58,Blocked Shot,n/a,-78.0,-4.0,Brenden Dillon,Blocker,San Jose Sharks,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-23T03:12:34Z,1,03:11,16:49,Shot,Tip-In,-81.0,0.0,Max Pacioretty,Shooter,Vegas Golden Knights,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
