Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-24T00:08:36Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:18Z,1,00:10,19:50,Shot,Wrist Shot,49.0,-26.0,Brad Marchand,Shooter,Boston Bruins,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:26Z,1,00:10,19:50,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:40Z,1,00:14,19:46,Missed Shot,n/a,37.0,-24.0,Charlie McAvoy,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:10:08Z,1,00:43,19:17,Hit,n/a,50.0,10.0,Alex Ovechkin,Hitter,Washington Capitals,David Pastrnak,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:10:51Z,1,00:56,19:04,Faceoff,n/a,69.0,-22.0,Charlie Coyle,Winner,Boston Bruins,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:11:29Z,1,01:08,18:52,Faceoff,n/a,20.0,-22.0,Sean Kuraly,Winner,Boston Bruins,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:11:52Z,1,01:21,18:39,Takeaway,n/a,55.0,-35.0,Brandon Carlo,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:11:55Z,1,01:24,18:36,Shot,Wrist Shot,64.0,-30.0,Brandon Carlo,Shooter,Boston Bruins,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:12:05Z,1,01:30,18:30,Penalty,Hi-sticking,91.0,17.0,Nick Jensen,PenaltyOn,Washington Capitals,Sean Kuraly,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:12:45Z,1,01:30,18:30,Faceoff,n/a,69.0,-22.0,Lars Eller,Winner,Washington Capitals,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:13:37Z,1,01:54,18:06,Faceoff,n/a,20.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:13:52Z,1,02:14,17:46,Giveaway,n/a,61.0,-35.0,David Pastrnak,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:13:55Z,1,02:17,17:43,Hit,n/a,55.0,-37.0,Dmitry Orlov,Hitter,Washington Capitals,David Pastrnak,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:14:21Z,1,02:43,17:17,Blocked Shot,n/a,73.0,-4.0,Radko Gudas,Blocker,Washington Capitals,Patrice Bergeron,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
