Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-24T00:06:38Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:07:41Z,1,00:31,19:29,Missed Shot,n/a,-56.0,32.0,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:07:55Z,1,00:45,19:15,Hit,n/a,79.0,37.0,Seth Jones,Hitter,Columbus Blue Jackets,Brock Nelson,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:08:02Z,1,00:52,19:08,Missed Shot,n/a,52.0,-32.0,Ryan Pulock,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:08:10Z,1,01:00,19:00,Hit,n/a,-87.0,-36.0,Ryan Pulock,Hitter,New York Islanders,Eric Robinson,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:08:19Z,1,01:08,18:52,Hit,n/a,-81.0,38.0,Adam Pelech,Hitter,New York Islanders,Pierre-Luc Dubois,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:08:43Z,1,01:10,18:50,Faceoff,n/a,-69.0,22.0,Anders Lee,Winner,New York Islanders,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:00Z,1,01:24,18:36,Shot,Wrist Shot,-85.0,2.0,Nathan Gerbe,Shooter,Columbus Blue Jackets,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:16Z,1,01:25,18:35,Penalty,Tripping,-69.0,38.0,Nathan Gerbe,PenaltyOn,Columbus Blue Jackets,Mathew Barzal,DrewBy,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:51Z,1,01:25,18:35,Faceoff,n/a,69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:09:49Z,1,01:33,18:27,Giveaway,n/a,98.0,-7.0,Zach Werenski,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:10:01Z,1,01:46,18:14,Missed Shot,n/a,57.0,4.0,Anthony Beauvillier,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:10:14Z,1,01:57,18:03,Shot,Wrist Shot,47.0,-17.0,Derick Brassard,Shooter,New York Islanders,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:10:47Z,1,01:57,18:03,Faceoff,n/a,69.0,-22.0,Brock Nelson,Winner,New York Islanders,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:10:51Z,1,02:07,17:53,Shot,Wrist Shot,60.0,21.0,Anthony Beauvillier,Shooter,New York Islanders,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
