Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-24T00:38:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:38:45Z,1,00:16,19:44,Missed Shot,n/a,-84.0,8.0,Sam Reinhart,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:39:03Z,1,00:34,19:26,Hit,n/a,23.0,33.0,Brady Tkachuk,Hitter,Ottawa Senators,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:39:28Z,1,00:49,19:11,Faceoff,n/a,-69.0,22.0,Chris Tierney,Winner,Ottawa Senators,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:40:38Z,1,01:19,18:41,Faceoff,n/a,-20.0,22.0,Artem Anisimov,Winner,Ottawa Senators,Curtis Lazar,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:40:50Z,1,01:26,18:34,Takeaway,n/a,-12.0,-37.0,Rasmus Dahlin,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:40:56Z,1,01:33,18:27,Hit,n/a,-64.0,39.0,Andreas Englund,Hitter,Ottawa Senators,Rasmus Asplund,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:41:30Z,1,02:07,17:53,Hit,n/a,-24.0,-38.0,Logan Brown,Hitter,Ottawa Senators,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:41:33Z,1,02:10,17:50,Giveaway,n/a,-99.0,-1.0,Craig Anderson,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:41:40Z,1,02:16,17:44,Missed Shot,n/a,-40.0,-15.0,Jake McCabe,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:41:47Z,1,02:23,17:37,Missed Shot,n/a,-42.0,-14.0,Brandon Montour,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:42:34Z,1,03:11,16:49,Hit,n/a,-95.0,-16.0,Brady Tkachuk,Hitter,Ottawa Senators,Victor Olofsson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:42:43Z,1,03:19,16:41,Hit,n/a,-94.0,23.0,Victor Olofsson,Hitter,Buffalo Sabres,Brady Tkachuk,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:43:00Z,1,03:36,16:24,Shot,Wrist Shot,-51.0,26.0,Jeff Skinner,Shooter,Buffalo Sabres,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:43:21Z,1,03:58,16:02,Takeaway,n/a,40.0,3.0,Chris Tierney,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:43:26Z,1,04:02,15:58,Hit,n/a,83.0,35.0,Henri Jokiharju,Hitter,Buffalo Sabres,Chris Tierney,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:43:59Z,1,04:36,15:24,Blocked Shot,n/a,56.0,-9.0,Zach Bogosian,Blocker,Buffalo Sabres,Artem Anisimov,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:04Z,1,04:40,15:20,Hit,n/a,92.0,-24.0,Zach Bogosian,Hitter,Buffalo Sabres,Artem Anisimov,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:10Z,1,04:43,15:17,Shot,Wrist Shot,33.0,13.0,Thomas Chabot,Shooter,Ottawa Senators,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:38Z,1,04:44,15:16,Faceoff,n/a,69.0,22.0,Artem Anisimov,Winner,Ottawa Senators,Evan Rodrigues,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:39Z,1,04:49,15:11,Blocked Shot,n/a,70.0,0.0,Jake McCabe,Blocker,Buffalo Sabres,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:44Z,1,04:54,15:06,Hit,n/a,-40.0,40.0,Thomas Chabot,Hitter,Ottawa Senators,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:50Z,1,05:01,14:59,Takeaway,n/a,0.0,40.0,Jake McCabe,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:44:56Z,1,05:06,14:54,Hit,n/a,-30.0,-36.0,Mark Borowiecki,Hitter,Ottawa Senators,Jimmy Vesey,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:45:05Z,1,05:15,14:45,Giveaway,n/a,-98.0,8.0,Thomas Chabot,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:45:09Z,1,05:19,14:41,Hit,n/a,-40.0,-37.0,Nick Paul,Hitter,Ottawa Senators,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:45:10Z,1,05:20,14:40,Blocked Shot,n/a,-77.0,-8.0,Thomas Chabot,Blocker,Ottawa Senators,Jake McCabe,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:45:57Z,1,05:41,14:19,Faceoff,n/a,69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:46:51Z,1,06:31,13:29,Takeaway,n/a,-59.0,42.0,Nick Paul,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:46:54Z,1,06:34,13:26,Giveaway,n/a,-71.0,42.0,Nick Paul,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:46:57Z,1,06:35,13:25,Blocked Shot,n/a,-81.0,-5.0,Cody Goloubef,Blocker,Ottawa Senators,Rasmus Dahlin,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:47:15Z,1,06:38,13:22,Hit,n/a,-63.0,-36.0,Cody Goloubef,Hitter,Ottawa Senators,Jimmy Vesey,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:48:27Z,1,08:08,11:52,Hit,n/a,-96.0,18.0,Andreas Englund,Hitter,Ottawa Senators,Evan Rodrigues,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:49:49Z,1,09:06,10:54,Faceoff,n/a,69.0,-22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:49:58Z,1,09:10,10:50,Shot,Wrist Shot,32.0,-24.0,Thomas Chabot,Shooter,Ottawa Senators,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-24T00:50:20Z,1,09:14,10:46,Blocked Shot,n/a,87.0,-9.0,Jack Eichel,Blocker,Buffalo Sabres,Jean-Gabriel Pageau,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
