Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-28T03:08:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,William Karlsson,Winner,Vegas Golden Knights,Sam Steel,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:08:52Z,1,00:21,19:39,Blocked Shot,n/a,85.0,-11.0,Nicolas Hague,Blocker,Vegas Golden Knights,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:09:09Z,1,00:37,19:23,Shot,Wrist Shot,79.0,-4.0,Max Jones,Shooter,Anaheim Ducks,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:09:35Z,1,00:43,19:17,Faceoff,n/a,69.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:09:56Z,1,01:03,18:57,Hit,n/a,58.0,-38.0,Nicolas Hague,Hitter,Vegas Golden Knights,Sam Carrick,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:17Z,1,01:07,18:53,Hit,n/a,32.0,-39.0,Brayden McNabb,Hitter,Vegas Golden Knights,Adam Henrique,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:20Z,1,01:26,18:34,Giveaway,n/a,96.0,12.0,Mark Stone,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:11:08Z,1,02:14,17:46,Giveaway,n/a,81.0,20.0,Jacob Larsson,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:11:52Z,1,02:20,17:40,Faceoff,n/a,-20.0,22.0,Tomas Nosek,Winner,Vegas Golden Knights,Devin Shore,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:12:12Z,1,02:39,17:21,Hit,n/a,33.0,-38.0,Nick Holden,Hitter,Vegas Golden Knights,Erik Gudbranson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:12:27Z,1,02:54,17:06,Shot,Wrist Shot,-78.0,-4.0,Ryan Reaves,Shooter,Vegas Golden Knights,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:12:36Z,1,03:03,16:57,Blocked Shot,n/a,-83.0,12.0,Devin Shore,Blocker,Anaheim Ducks,Ryan Reaves,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:04Z,1,03:22,16:38,Faceoff,n/a,20.0,-22.0,Sam Steel,Winner,Anaheim Ducks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:24Z,1,03:32,16:28,Hit,n/a,52.0,39.0,Max Jones,Hitter,Anaheim Ducks,Shea Theodore,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:53Z,1,03:36,16:24,Faceoff,n/a,-20.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:14:05Z,1,03:41,16:19,Shot,Tip-In,-63.0,2.0,Reilly Smith,Shooter,Vegas Golden Knights,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:14:22Z,1,03:42,16:18,Faceoff,n/a,-69.0,22.0,Adam Henrique,Winner,Anaheim Ducks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:15:06Z,1,04:00,16:00,Faceoff,n/a,-20.0,22.0,Sam Steel,Winner,Anaheim Ducks,Chandler Stephenson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
