Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-28T03:08:25Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Logan Couture,Winner,San Jose Sharks,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:08:54Z,1,00:29,19:31,Giveaway,n/a,92.0,-18.0,Joakim Ryan,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:09:03Z,1,00:33,19:27,Blocked Shot,n/a,62.0,-6.0,Anze Kopitar,Blocker,Los Angeles Kings,Logan Couture,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:03Z,1,01:38,18:22,Takeaway,n/a,-58.0,-34.0,Nikolai Prokhorkin,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:08Z,1,01:43,18:17,Missed Shot,n/a,-62.0,11.0,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:16Z,1,01:51,18:09,Blocked Shot,n/a,-75.0,-6.0,Mario Ferraro,Blocker,San Jose Sharks,Kurtis MacDermid,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:35Z,1,02:10,17:50,Shot,Slap Shot,-48.0,7.0,Nikolai Prokhorkin,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:10:58Z,1,02:33,17:27,Giveaway,n/a,-35.0,26.0,Melker Karlsson,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:11:13Z,1,02:48,17:12,Shot,Wrist Shot,-62.0,29.0,Drew Doughty,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:11:42Z,1,03:17,16:43,Hit,n/a,-40.0,-22.0,Evander Kane,Hitter,San Jose Sharks,Alex Iafallo,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:11:48Z,1,03:23,16:37,Hit,n/a,24.0,-7.0,Ben Hutton,Hitter,Los Angeles Kings,Barclay Goodrow,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:12:01Z,1,03:36,16:24,Giveaway,n/a,43.0,-40.0,Logan Couture,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:12:36Z,1,04:11,15:49,Blocked Shot,n/a,-51.0,6.0,Timo Meier,Blocker,San Jose Sharks,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:12:41Z,1,04:16,15:44,Takeaway,n/a,-31.0,-5.0,Timo Meier,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:10Z,1,04:45,15:15,Hit,n/a,-37.0,-32.0,Mario Ferraro,Hitter,San Jose Sharks,Martin Frk,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:15Z,1,04:50,15:10,Shot,Wrist Shot,-84.0,-11.0,Nikolai Prokhorkin,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:23Z,1,04:58,15:02,Shot,Wrist Shot,-82.0,1.0,Jeff Carter,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:26Z,1,05:01,14:59,Shot,Deflected,-84.0,-3.0,Jeff Carter,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:50Z,1,05:25,14:35,Blocked Shot,n/a,64.0,-22.0,Matt Luff,Blocker,Los Angeles Kings,Erik Karlsson,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:13:59Z,1,05:34,14:26,Hit,n/a,79.0,22.0,Kyle Clifford,Hitter,Los Angeles Kings,Joel Kellman,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:14:03Z,1,05:38,14:22,Hit,n/a,90.0,19.0,Joel Kellman,Hitter,San Jose Sharks,Kyle Clifford,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:14:36Z,1,05:46,14:14,Penalty,Interference,73.0,4.0,Stefan Noesen,PenaltyOn,San Jose Sharks,Ben Hutton,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:15:00Z,1,05:46,14:14,Faceoff,n/a,-69.0,-22.0,Anze Kopitar,Winner,Los Angeles Kings,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:15:53Z,1,06:29,13:31,Shot,Tip-In,-71.0,3.0,Adrian Kempe,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:16:01Z,1,06:48,13:12,Missed Shot,n/a,-81.0,8.0,Adrian Kempe,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:16:15Z,1,07:01,12:59,Shot,Wrist Shot,-83.0,-10.0,Martin Frk,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:16:28Z,1,07:02,12:58,Faceoff,n/a,-69.0,-22.0,Blake Lizotte,Winner,Los Angeles Kings,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:16:49Z,1,07:11,12:49,Missed Shot,n/a,-32.0,-29.0,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:17:20Z,1,07:41,12:19,Missed Shot,n/a,-48.0,-13.0,Martin Frk,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:17:43Z,1,08:02,11:58,Hit,n/a,-60.0,33.0,Radim Simek,Hitter,San Jose Sharks,Kyle Clifford,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:17:53Z,1,08:11,11:49,Shot,Backhand,77.0,-17.0,Joe Thornton,Shooter,San Jose Sharks,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:19:58Z,1,08:12,11:48,Faceoff,n/a,69.0,-22.0,Anze Kopitar,Winner,Los Angeles Kings,Logan Couture,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:21:28Z,1,09:06,10:54,Faceoff,n/a,-69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:21:58Z,1,09:28,10:32,Hit,n/a,34.0,39.0,Blake Lizotte,Hitter,Los Angeles Kings,Marc-Edouard Vlasic,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:22:15Z,1,09:47,10:13,Shot,Wrist Shot,55.0,-24.0,Brent Burns,Shooter,San Jose Sharks,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:22:20Z,1,09:52,10:08,Missed Shot,n/a,70.0,8.0,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:22:23Z,1,09:55,10:05,Hit,n/a,43.0,-37.0,Brenden Dillon,Hitter,San Jose Sharks,Nikolai Prokhorkin,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:22:31Z,1,10:04,09:56,Giveaway,n/a,-18.0,-22.0,Kevin Labanc,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:22:49Z,1,10:21,09:39,Hit,n/a,53.0,21.0,Jeff Carter,Hitter,Los Angeles Kings,Patrick Marleau,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:22:52Z,1,10:24,09:36,Blocked Shot,n/a,43.0,-8.0,Ben Hutton,Blocker,Los Angeles Kings,Mario Ferraro,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:23:07Z,1,10:39,09:21,Missed Shot,n/a,34.0,-33.0,Mario Ferraro,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:23:07Z,1,10:39,09:21,Takeaway,n/a,37.0,-35.0,Mario Ferraro,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:23:16Z,1,10:48,09:12,Shot,Snap Shot,57.0,3.0,Marcus Sorensen,Shooter,San Jose Sharks,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:23:41Z,1,11:07,08:53,Shot,Wrist Shot,-53.0,-9.0,Michael Amadio,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:23:54Z,1,11:13,08:47,Blocked Shot,n/a,-72.0,-1.0,Joel Kellman,Blocker,San Jose Sharks,Matt Luff,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:23:54Z,1,11:25,08:35,Shot,Wrist Shot,52.0,1.0,Joel Kellman,Shooter,San Jose Sharks,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:25:54Z,1,11:26,08:34,Faceoff,n/a,69.0,22.0,Evander Kane,Winner,San Jose Sharks,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:26:29Z,1,11:32,08:28,Takeaway,n/a,59.0,18.0,Tyler Toffoli,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:26:45Z,1,11:44,08:16,Shot,Tip-In,-82.0,2.0,Tyler Toffoli,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:26:53Z,1,11:45,08:15,Faceoff,n/a,-69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Evander Kane,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T03:27:14Z,1,11:47,08:13,Shot,Slap Shot,-53.0,6.0,Tyler Toffoli,Shooter,Los Angeles Kings,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
