Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-28T01:08:10Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:08:48Z,1,00:16,19:44,Blocked Shot,n/a,78.0,-5.0,Tucker Poolman,Blocker,Winnipeg Jets,Colton Parayko,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:08:56Z,1,00:23,19:37,Giveaway,n/a,-78.0,32.0,Jay Bouwmeester,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:09:47Z,1,01:10,18:50,Goal,Slap Shot,35.0,3.0,Justin Faulk,Scorer,St. Louis Blues,Jaden Schwartz,Assist,St. Louis Blues,Brayden Schenn,Assist,St. Louis Blues,Connor Hellebuyck,Goalie,Winnipeg Jets
2019-12-28T01:10:21Z,1,01:10,18:50,Faceoff,n/a,0.0,0.0,Adam Lowry,Winner,Winnipeg Jets,Robert Thomas,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:10:55Z,1,01:39,18:21,Missed Shot,n/a,-57.0,-24.0,Gabriel Bourque,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:11:04Z,1,01:47,18:13,Shot,Wrist Shot,-35.0,25.0,Nathan Beaulieu,Shooter,Winnipeg Jets,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:11:22Z,1,01:48,18:12,Faceoff,n/a,-69.0,22.0,Nicholas Shore,Winner,Winnipeg Jets,Jacob de la Rose,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:11:39Z,1,01:51,18:09,Shot,Wrist Shot,-37.0,-2.0,Nathan Beaulieu,Shooter,Winnipeg Jets,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:11:50Z,1,01:52,18:08,Faceoff,n/a,-69.0,22.0,Jacob de la Rose,Winner,St. Louis Blues,Nicholas Shore,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:12:19Z,1,02:06,17:54,Hit,n/a,97.0,18.0,Anthony Bitetto,Hitter,Winnipeg Jets,Jacob de la Rose,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:12:19Z,1,02:11,17:49,Giveaway,n/a,41.0,-37.0,Nathan Beaulieu,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:12:22Z,1,02:12,17:48,Blocked Shot,n/a,49.0,-8.0,Jansen Harkins,Blocker,Winnipeg Jets,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:12:22Z,1,02:15,17:45,Hit,n/a,50.0,40.0,Ivan Barbashev,Hitter,St. Louis Blues,Logan Shaw,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:13:19Z,1,03:10,16:50,Takeaway,n/a,69.0,-15.0,Mark Scheifele,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:14:03Z,1,03:55,16:05,Takeaway,n/a,55.0,-25.0,Nikolaj Ehlers,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-28T01:14:18Z,1,04:09,15:51,Shot,Wrist Shot,65.0,24.0,Alex Pietrangelo,Shooter,St. Louis Blues,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
