Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-29T22:08:06Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:09:08Z,1,00:25,19:35,Missed Shot,n/a,37.0,-9.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:09:42Z,1,00:58,19:02,Hit,n/a,96.0,-20.0,Boone Jenner,Hitter,Columbus Blue Jackets,Duncan Keith,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:10:46Z,1,02:03,17:57,Hit,n/a,97.0,17.0,Slater Koekkoek,Hitter,Chicago Blackhawks,Nathan Gerbe,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:10:53Z,1,02:09,17:51,Shot,Wrist Shot,-4.0,-18.0,Dennis Gilbert,Shooter,Chicago Blackhawks,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:11:19Z,1,02:28,17:32,Penalty,Hooking,72.0,3.0,Connor Murphy,PenaltyOn,Chicago Blackhawks,Alexander Wennberg,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:11:54Z,1,02:28,17:32,Faceoff,n/a,69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Ryan Carpenter,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:12:46Z,1,03:29,16:31,Missed Shot,n/a,39.0,15.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:13:44Z,1,04:27,15:33,Missed Shot,n/a,48.0,19.0,Alexander Wennberg,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T22:14:02Z,1,04:43,15:17,Blocked Shot,n/a,55.0,-12.0,Duncan Keith,Blocker,Chicago Blackhawks,Alexandre Texier,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
