Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-29T03:38:10Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Claude Giroux,Winner,Philadelphia Flyers,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:38:41Z,1,00:11,19:49,Giveaway,n/a,-96.0,-18.0,Erik Karlsson,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:38:53Z,1,00:22,19:38,Hit,n/a,96.0,5.0,Logan Couture,Hitter,San Jose Sharks,Justin Braun,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:39:34Z,1,01:03,18:57,Hit,n/a,96.0,-4.0,Joel Farabee,Hitter,Philadelphia Flyers,Joe Thornton,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:39:44Z,1,01:10,18:50,Hit,n/a,85.0,33.0,Marcus Sorensen,Hitter,San Jose Sharks,Matt Niskanen,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:39:52Z,1,01:21,18:39,Hit,n/a,-96.0,14.0,Brenden Dillon,Hitter,San Jose Sharks,Kevin Hayes,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:40:00Z,1,01:29,18:31,Hit,n/a,-97.0,0.0,Brent Burns,Hitter,San Jose Sharks,James van Riemsdyk,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:48:28Z,1,01:35,18:25,Takeaway,n/a,-84.0,-10.0,James van Riemsdyk,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:40:22Z,1,01:52,18:08,Hit,n/a,55.0,-41.0,Timo Meier,Hitter,San Jose Sharks,Tyler Pitlick,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:40:29Z,1,01:58,18:02,Hit,n/a,66.0,41.0,Barclay Goodrow,Hitter,San Jose Sharks,Philippe Myers,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:40:41Z,1,02:10,17:50,Takeaway,n/a,25.0,-26.0,Jakub Voracek,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:40:43Z,1,02:13,17:47,Shot,Wrist Shot,-67.0,-18.0,Nicolas Aube-Kubel,Shooter,Philadelphia Flyers,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:41:11Z,1,02:13,17:47,Faceoff,n/a,-69.0,-22.0,Mikhail Vorobyev,Winner,Philadelphia Flyers,Joel Kellman,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:41:23Z,1,02:25,17:35,Blocked Shot,n/a,-67.0,1.0,Brent Burns,Blocker,San Jose Sharks,Travis Sanheim,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:41:32Z,1,02:29,17:31,Missed Shot,n/a,-34.0,5.0,Justin Braun,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:41:55Z,1,02:57,17:03,Hit,n/a,-71.0,-41.0,Brenden Dillon,Hitter,San Jose Sharks,Ivan Provorov,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:42:16Z,1,03:00,17:00,Takeaway,n/a,-48.0,34.0,Claude Giroux,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:42:02Z,1,03:04,16:56,Hit,n/a,-94.0,15.0,Melker Karlsson,Hitter,San Jose Sharks,Claude Giroux,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:42:33Z,1,03:35,16:25,Blocked Shot,n/a,75.0,-19.0,Ivan Provorov,Blocker,Philadelphia Flyers,Tomas Hertl,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:44:14Z,1,04:59,15:01,Faceoff,n/a,69.0,22.0,Kevin Hayes,Winner,Philadelphia Flyers,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:44:54Z,1,05:34,14:26,Hit,n/a,95.0,14.0,Evander Kane,Hitter,San Jose Sharks,Shayne Gostisbehere,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:45:06Z,1,05:44,14:16,Hit,n/a,-74.0,-40.0,Brent Burns,Hitter,San Jose Sharks,Travis Sanheim,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:45:30Z,1,06:07,13:53,Hit,n/a,79.0,-42.0,Melker Karlsson,Hitter,San Jose Sharks,Justin Braun,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:46:05Z,1,06:26,13:34,Faceoff,n/a,69.0,22.0,Logan Couture,Winner,San Jose Sharks,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:46:29Z,1,06:35,13:25,Shot,Backhand,-82.0,-20.0,Nicolas Aube-Kubel,Shooter,Philadelphia Flyers,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:46:57Z,1,06:47,13:13,Giveaway,n/a,98.0,-4.0,Ivan Provorov,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:46:45Z,1,06:50,13:10,Shot,Snap Shot,61.0,-10.0,Kevin Labanc,Shooter,San Jose Sharks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:48:42Z,1,06:50,13:10,Faceoff,n/a,69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:49:18Z,1,06:58,13:02,Faceoff,n/a,69.0,22.0,Claude Giroux,Winner,Philadelphia Flyers,Logan Couture,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:49:58Z,1,07:23,12:37,Takeaway,n/a,-57.0,-40.0,Kevin Labanc,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:50:16Z,1,07:42,12:18,Missed Shot,n/a,-57.0,-13.0,Ivan Provorov,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:50:33Z,1,07:59,12:01,Takeaway,n/a,97.0,19.0,Patrick Marleau,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:51:29Z,1,08:54,11:06,Hit,n/a,53.0,-42.0,Justin Braun,Hitter,Philadelphia Flyers,Evander Kane,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:51:43Z,1,09:09,10:51,Takeaway,n/a,3.0,-37.0,Morgan Frost,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:51:52Z,1,09:15,10:45,Goal,Snap Shot,62.0,2.0,Mario Ferraro,Scorer,San Jose Sharks,Barclay Goodrow,Assist,San Jose Sharks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a
2019-12-29T03:52:26Z,1,09:15,10:45,Faceoff,n/a,0.0,0.0,Mikhail Vorobyev,Winner,Philadelphia Flyers,Joel Kellman,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:52:44Z,1,09:32,10:28,Hit,n/a,84.0,-38.0,Stefan Noesen,Hitter,San Jose Sharks,Ivan Provorov,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:53:00Z,1,09:45,10:15,Shot,Wrist Shot,34.0,-10.0,Brent Burns,Shooter,San Jose Sharks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:53:17Z,1,09:45,10:15,Faceoff,n/a,69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:53:32Z,1,09:52,10:08,Shot,Backhand,82.0,-5.0,Tomas Hertl,Shooter,San Jose Sharks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T03:53:46Z,1,09:53,10:07,Shot,Backhand,82.0,-4.0,Tomas Hertl,Shooter,San Jose Sharks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
