Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-29T21:01:44Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mark Scheifele,Winner,Winnipeg Jets,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:08:41Z,1,00:35,19:25,Missed Shot,n/a,53.0,9.0,David Perron,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:09:02Z,1,00:57,19:03,Shot,Wrist Shot,-46.0,0.0,Kyle Connor,Shooter,Winnipeg Jets,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:09:22Z,1,01:17,18:43,Blocked Shot,n/a,73.0,-6.0,Luca Sbisa,Blocker,Winnipeg Jets,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:09:24Z,1,01:19,18:41,Hit,n/a,98.0,2.0,Luca Sbisa,Hitter,Winnipeg Jets,Alex Pietrangelo,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:09:31Z,1,01:20,18:40,Shot,Wrist Shot,68.0,-12.0,Alex Pietrangelo,Shooter,St. Louis Blues,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:09:40Z,1,01:22,18:38,Faceoff,n/a,69.0,-22.0,Tyler Bozak,Winner,St. Louis Blues,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:10:19Z,1,01:34,18:26,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Tyler Bozak,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:10:43Z,1,01:52,18:08,Hit,n/a,98.0,17.0,Alexander Steen,Hitter,St. Louis Blues,Anthony Bitetto,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:10:58Z,1,01:54,18:06,Missed Shot,n/a,86.0,-9.0,Robert Thomas,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:11:07Z,1,02:09,17:51,Blocked Shot,n/a,62.0,5.0,Mason Appleton,Blocker,Winnipeg Jets,Jordan Kyrou,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:11:25Z,1,02:10,17:50,Faceoff,n/a,69.0,22.0,Nicholas Shore,Winner,Winnipeg Jets,Jacob de la Rose,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:12:51Z,1,03:32,16:28,Hit,n/a,66.0,41.0,Patrik Laine,Hitter,Winnipeg Jets,Jay Bouwmeester,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T20:13:04Z,1,03:44,16:16,Hit,n/a,-98.0,-1.0,Colton Parayko,Hitter,St. Louis Blues,Mark Scheifele,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
