Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-29T00:14:20Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Auston Matthews,Winner,Toronto Maple Leafs,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:15:15Z,1,00:09,19:51,Shot,Wrist Shot,37.0,38.0,Chris Kreider,Shooter,New York Rangers,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:15:22Z,1,00:10,19:50,Faceoff,n/a,69.0,22.0,Auston Matthews,Winner,Toronto Maple Leafs,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:15:54Z,1,00:31,19:29,Shot,Wrist Shot,32.0,-20.0,Adam Fox,Shooter,New York Rangers,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:16:37Z,1,01:14,18:46,Giveaway,n/a,89.0,-17.0,Frederik Andersen,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:16:59Z,1,01:36,18:24,Missed Shot,n/a,78.0,39.0,Ryan Strome,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:17:08Z,1,01:41,18:19,Goal,Wrist Shot,68.0,-4.0,Brett Howden,Scorer,New York Rangers,Ryan Strome,Assist,New York Rangers,Jacob Trouba,Assist,New York Rangers,Frederik Andersen,Goalie,Toronto Maple Leafs
2019-12-29T00:17:39Z,1,01:41,18:19,Faceoff,n/a,0.0,0.0,Filip Chytil,Winner,New York Rangers,Pierre Engvall,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:17:58Z,1,01:50,18:10,Faceoff,n/a,-69.0,-22.0,Pierre Engvall,Winner,Toronto Maple Leafs,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:18:25Z,1,01:58,18:02,Blocked Shot,n/a,-73.0,-8.0,Jacob Trouba,Blocker,New York Rangers,Martin Marincin,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:18:37Z,1,02:11,17:49,Giveaway,n/a,-35.0,34.0,Brady Skjei,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:18:43Z,1,02:16,17:44,Giveaway,n/a,-65.0,-40.0,Jacob Trouba,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:19:00Z,1,02:23,17:37,Takeaway,n/a,-69.0,28.0,Dmytro Timashov,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:19:10Z,1,02:23,17:37,Penalty,Hi-sticking,-63.0,1.0,Jacob Trouba,PenaltyOn,New York Rangers,Dmytro Timashov,DrewBy,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:19:27Z,1,02:23,17:37,Faceoff,n/a,-69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:19:28Z,1,02:29,17:31,Shot,Slap Shot,-54.0,-17.0,Auston Matthews,Shooter,Toronto Maple Leafs,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:19:10Z,1,02:30,17:30,Giveaway,n/a,-41.0,23.0,Ryan Lindgren,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:34:14Z,1,02:37,17:23,Giveaway,n/a,-35.0,-10.0,Mika Zibanejad,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:19:46Z,1,02:47,17:13,Blocked Shot,n/a,-60.0,-6.0,Ryan Strome,Blocker,New York Rangers,Tyson Barrie,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:20:33Z,1,03:34,16:26,Shot,Wrist Shot,-34.0,-12.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:20:48Z,1,03:49,16:11,Blocked Shot,n/a,-58.0,-11.0,Jesper Fast,Blocker,New York Rangers,Tyson Barrie,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:20:55Z,1,03:56,16:04,Shot,Snap Shot,-72.0,-5.0,William Nylander,Shooter,Toronto Maple Leafs,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:21:03Z,1,04:04,15:56,Blocked Shot,n/a,-76.0,-13.0,Adam Fox,Blocker,New York Rangers,Mitchell Marner,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:21:11Z,1,04:12,15:48,Missed Shot,n/a,-37.0,22.0,Auston Matthews,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:21:19Z,1,04:20,15:40,Blocked Shot,n/a,-71.0,1.0,Adam Fox,Blocker,New York Rangers,Mitchell Marner,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-29T00:21:27Z,1,04:21,15:39,Goal,Wrist Shot,-69.0,5.0,William Nylander,Scorer,Toronto Maple Leafs,John Tavares,Assist,Toronto Maple Leafs,Auston Matthews,Assist,Toronto Maple Leafs,Alexandar Georgiev,Goalie,New York Rangers
