Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-30T00:08:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:09:58Z,1,01:02,18:58,Hit,n/a,-41.0,-38.0,Jake McCabe,Hitter,Buffalo Sabres,Jake DeBrusk,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:10:24Z,1,01:28,18:32,Giveaway,n/a,-11.0,-33.0,David Krejci,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:10:32Z,1,01:31,18:29,Shot,Snap Shot,-58.0,32.0,Evan Rodrigues,Shooter,Buffalo Sabres,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:11:21Z,1,02:25,17:35,Hit,n/a,-13.0,-38.0,Brett Ritchie,Hitter,Boston Bruins,Brandon Montour,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:11:28Z,1,02:32,17:28,Shot,Slap Shot,-36.0,32.0,Henri Jokiharju,Shooter,Buffalo Sabres,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:11:34Z,1,02:38,17:22,Blocked Shot,n/a,-69.0,-2.0,Steven Kampfer,Blocker,Boston Bruins,Brandon Montour,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:12:05Z,1,02:50,17:10,Penalty,Too many men on the ice,-59.0,30.0,Jake DeBrusk,PenaltyOn,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:12:26Z,1,02:50,17:10,Faceoff,n/a,-69.0,22.0,Jack Eichel,Winner,Buffalo Sabres,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:12:48Z,1,03:16,16:44,Blocked Shot,n/a,-70.0,13.0,Zdeno Chara,Blocker,Boston Bruins,Rasmus Dahlin,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:13:03Z,1,03:31,16:29,Blocked Shot,n/a,-54.0,1.0,Zdeno Chara,Blocker,Boston Bruins,Rasmus Dahlin,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T00:13:12Z,1,03:40,16:20,Blocked Shot,n/a,-63.0,17.0,Brandon Carlo,Blocker,Boston Bruins,Rasmus Dahlin,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
