Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-30T02:37:16Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:38:39Z,1,00:17,19:43,Missed Shot,n/a,55.0,-17.0,Bo Horvat,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:38:45Z,1,00:22,19:38,Takeaway,n/a,94.0,24.0,Travis Hamonic,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:38:57Z,1,00:33,19:27,Shot,Wrist Shot,-60.0,1.0,Travis Hamonic,Shooter,Calgary Flames,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:39:09Z,1,00:33,19:27,Faceoff,n/a,-69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:39:58Z,1,00:54,19:06,Missed Shot,n/a,90.0,4.0,Tim Schaller,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:40:02Z,1,00:58,19:02,Hit,n/a,97.0,-9.0,Tyler Motte,Hitter,Vancouver Canucks,Mark Giordano,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:40:10Z,1,01:06,18:54,Takeaway,n/a,-54.0,-41.0,Mark Jankowski,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:40:16Z,1,01:12,18:48,Hit,n/a,-91.0,32.0,Oscar Fantenberg,Hitter,Vancouver Canucks,Rasmus Andersson,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:40:19Z,1,01:15,18:45,Shot,Wrist Shot,-83.0,3.0,Mark Jankowski,Shooter,Calgary Flames,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:40:55Z,1,01:51,18:09,Missed Shot,n/a,74.0,-24.0,Adam Gaudette,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:41:00Z,1,01:53,18:07,Hit,n/a,58.0,38.0,Matthew Tkachuk,Hitter,Calgary Flames,Antoine Roussel,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-30T02:41:09Z,1,01:53,18:07,Penalty,Tripping,-98.0,-6.0,Michael Frolik,PenaltyOn,Calgary Flames,Oscar Fantenberg,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
