Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-31T23:08:23Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,John Tavares,Winner,Toronto Maple Leafs,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:08:46Z,1,00:06,19:54,Faceoff,n/a,-69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:09:22Z,1,00:18,19:42,Faceoff,n/a,-69.0,22.0,Mikko Koivu,Winner,Minnesota Wild,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:10:37Z,1,01:18,18:42,Giveaway,n/a,93.0,20.0,Eric Staal,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:10:41Z,1,01:26,18:34,Shot,Slap Shot,31.0,-16.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:10:58Z,1,01:41,18:19,Shot,Wrist Shot,55.0,-22.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:11:21Z,1,02:03,17:57,Shot,Wrist Shot,57.0,3.0,Pierre Engvall,Shooter,Toronto Maple Leafs,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:11:46Z,1,02:04,17:56,Faceoff,n/a,69.0,-22.0,Ryan Hartman,Winner,Minnesota Wild,Jason Spezza,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:12:40Z,1,02:24,17:36,Faceoff,n/a,20.0,22.0,Eric Staal,Winner,Minnesota Wild,Frederik Gauthier,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:13:33Z,1,02:56,17:04,Faceoff,n/a,69.0,22.0,John Tavares,Winner,Toronto Maple Leafs,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:13:52Z,1,03:04,16:56,Giveaway,n/a,35.0,15.0,Tyson Barrie,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:14:00Z,1,03:10,16:50,Blocked Shot,n/a,-51.0,-24.0,Tyson Barrie,Blocker,Toronto Maple Leafs,Eric Staal,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:14:19Z,1,03:31,16:29,Blocked Shot,n/a,-72.0,4.0,John Tavares,Blocker,Toronto Maple Leafs,Ryan Suter,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:14:45Z,1,03:36,16:24,Faceoff,n/a,20.0,-22.0,Zach Hyman,Winner,Toronto Maple Leafs,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:15:18Z,1,04:00,16:00,Blocked Shot,n/a,80.0,6.0,Jonas Brodin,Blocker,Minnesota Wild,Travis Dermott,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:15:26Z,1,04:08,15:52,Takeaway,n/a,12.0,12.0,Luke Kunin,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:15:30Z,1,04:13,15:47,Blocked Shot,n/a,-75.0,2.0,Cody Ceci,Blocker,Toronto Maple Leafs,Luke Kunin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:15:40Z,1,04:21,15:39,Blocked Shot,n/a,-75.0,-15.0,Travis Dermott,Blocker,Toronto Maple Leafs,Jordan Greenway,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:15:49Z,1,04:32,15:28,Takeaway,n/a,-94.0,-9.0,Jordan Greenway,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:16:17Z,1,04:35,15:25,Faceoff,n/a,-69.0,22.0,Jason Spezza,Winner,Toronto Maple Leafs,Ryan Donato,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:16:56Z,1,04:58,15:02,Takeaway,n/a,-37.0,-41.0,Eric Staal,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:16:59Z,1,05:01,14:59,Missed Shot,n/a,-70.0,13.0,Ryan Donato,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:17:18Z,1,05:18,14:42,Hit,n/a,-11.0,-38.0,Marcus Foligno,Hitter,Minnesota Wild,Tyson Barrie,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:17:39Z,1,05:25,14:35,Faceoff,n/a,-69.0,-22.0,Ryan Hartman,Winner,Minnesota Wild,Frederik Gauthier,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:18:05Z,1,05:28,14:32,Shot,Slap Shot,-31.0,-6.0,Brad Hunt,Shooter,Minnesota Wild,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:18:29Z,1,05:29,14:31,Faceoff,n/a,-69.0,-22.0,Mikko Koivu,Winner,Minnesota Wild,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T23:18:46Z,1,05:35,14:25,Missed Shot,n/a,-64.0,-34.0,Kevin Fiala,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
