Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-31T18:08:29Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Evgeny Kuznetsov,Winner,Washington Capitals,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:08:59Z,1,00:13,19:47,Hit,n/a,-63.0,40.0,Anthony Beauvillier,Hitter,New York Islanders,T.J. Oshie,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:09:25Z,1,00:40,19:20,Hit,n/a,57.0,41.0,Derick Brassard,Hitter,New York Islanders,Nick Jensen,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:09:41Z,1,00:56,19:04,Hit,n/a,59.0,-40.0,Leo Komarov,Hitter,New York Islanders,Jonas Siegenthaler,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:09:48Z,1,01:03,18:57,Hit,n/a,-95.0,8.0,Nicklas Backstrom,Hitter,Washington Capitals,Casey Cizikas,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:10:04Z,1,01:19,18:41,Hit,n/a,-49.0,-40.0,Matt Martin,Hitter,New York Islanders,Jonas Siegenthaler,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:10:09Z,1,01:25,18:35,Hit,n/a,-95.0,25.0,Leo Komarov,Hitter,New York Islanders,John Carlson,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:10:20Z,1,01:35,18:25,Hit,n/a,-64.0,27.0,Tom Wilson,Hitter,Washington Capitals,Matt Martin,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:10:29Z,1,01:44,18:16,Hit,n/a,82.0,34.0,Nick Jensen,Hitter,Washington Capitals,Tom Kuhnhackl,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:10:41Z,1,01:52,18:08,Missed Shot,n/a,60.0,13.0,Anders Lee,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:10:47Z,1,02:02,17:58,Shot,Wrist Shot,36.0,-20.0,Johnny Boychuk,Shooter,New York Islanders,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:11:18Z,1,02:33,17:27,Blocked Shot,n/a,43.0,-14.0,Carl Hagelin,Blocker,Washington Capitals,Ryan Pulock,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:12:03Z,1,02:46,17:14,Faceoff,n/a,-20.0,-22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Josh Bailey,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:12:16Z,1,03:05,16:55,Takeaway,n/a,56.0,20.0,T.J. Oshie,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:12:22Z,1,03:11,16:49,Takeaway,n/a,-37.0,-25.0,Scott Mayfield,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:00Z,1,03:49,16:11,Giveaway,n/a,2.0,7.0,Garnet Hathaway,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:10Z,1,04:00,16:00,Takeaway,n/a,64.0,39.0,Anthony Beauvillier,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:16Z,1,04:05,15:55,Takeaway,n/a,41.0,4.0,Brendan Leipsic,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:21Z,1,04:10,15:50,Hit,n/a,-92.0,31.0,Garnet Hathaway,Hitter,Washington Capitals,Nick Leddy,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:33Z,1,04:22,15:38,Hit,n/a,49.0,37.0,Leo Komarov,Hitter,New York Islanders,Tom Wilson,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:43Z,1,04:32,15:28,Shot,Wrist Shot,-86.0,24.0,Alex Ovechkin,Shooter,Washington Capitals,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:13:53Z,1,04:41,15:19,Missed Shot,n/a,77.0,4.0,Mathew Barzal,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:14:02Z,1,04:43,15:17,Penalty,Hooking,53.0,17.0,Dmitry Orlov,PenaltyOn,Washington Capitals,Mathew Barzal,DrewBy,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:14:34Z,1,04:43,15:17,Faceoff,n/a,69.0,22.0,Lars Eller,Winner,Washington Capitals,Josh Bailey,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-31T18:14:38Z,1,04:48,15:12,Shot,Wrist Shot,86.0,-25.0,Jonas Siegenthaler,Shooter,Washington Capitals,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
