Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-01T02:08:36Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:09:48Z,1,00:28,19:32,Shot,Backhand,83.0,-4.0,Claude Giroux,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:09:57Z,1,00:28,19:32,Shot,Backhand,86.0,0.0,Claude Giroux,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:10:26Z,1,00:29,19:31,Faceoff,n/a,69.0,-22.0,Blake Lizotte,Winner,Los Angeles Kings,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:10:51Z,1,01:01,18:59,Shot,Snap Shot,-74.0,27.0,Adrian Kempe,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:11:19Z,1,01:02,18:58,Faceoff,n/a,-69.0,22.0,Scott Laughton,Winner,Philadelphia Flyers,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:11:34Z,1,01:16,18:44,Hit,n/a,12.0,-38.0,Jeff Carter,Hitter,Los Angeles Kings,Tyler Pitlick,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:11:49Z,1,01:32,18:28,Hit,n/a,92.0,-21.0,Michael Raffl,Hitter,Philadelphia Flyers,Kurtis MacDermid,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:02Z,1,01:43,18:17,Hit,n/a,-13.0,-40.0,Matt Luff,Hitter,Los Angeles Kings,Robert Hagg,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:16Z,1,02:02,17:58,Blocked Shot,n/a,55.0,-22.0,Sean Walker,Blocker,Los Angeles Kings,Mikhail Vorobyev,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:27Z,1,02:08,17:52,Blocked Shot,n/a,-80.0,18.0,Ivan Provorov,Blocker,Philadelphia Flyers,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:12:45Z,1,02:25,17:35,Blocked Shot,n/a,75.0,6.0,Michael Amadio,Blocker,Los Angeles Kings,Sean Couturier,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:13:20Z,1,03:02,16:58,Hit,n/a,-88.0,-30.0,Justin Braun,Hitter,Philadelphia Flyers,Anze Kopitar,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:13:30Z,1,03:16,16:44,Giveaway,n/a,-94.0,-28.0,Sean Couturier,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:13:58Z,1,03:43,16:17,Shot,Snap Shot,-57.0,27.0,Blake Lizotte,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:14:23Z,1,04:07,15:53,Hit,n/a,94.0,-23.0,Sean Walker,Hitter,Los Angeles Kings,James van Riemsdyk,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:14:28Z,1,04:13,15:47,Shot,Wrist Shot,36.0,10.0,Robert Hagg,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:02Z,1,04:14,15:46,Faceoff,n/a,69.0,22.0,Scott Laughton,Winner,Philadelphia Flyers,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:06Z,1,04:20,15:40,Missed Shot,n/a,48.0,36.0,Ivan Provorov,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:15:35Z,1,04:32,15:28,Shot,Backhand,87.0,-16.0,Scott Laughton,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:16:01Z,1,04:33,15:27,Faceoff,n/a,69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:16:25Z,1,05:09,14:51,Hit,n/a,-18.0,-22.0,Sean Walker,Hitter,Los Angeles Kings,Jakub Voracek,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:16:48Z,1,05:31,14:29,Goal,Snap Shot,-69.0,-21.0,Kyle Clifford,Scorer,Los Angeles Kings,Matt Luff,Assist,Los Angeles Kings,Michael Amadio,Assist,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers
2020-01-01T02:17:50Z,1,05:31,14:29,Faceoff,n/a,0.0,0.0,Michael Amadio,Winner,Los Angeles Kings,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:18:02Z,1,05:58,14:02,Hit,n/a,40.0,37.0,Matt Roy,Hitter,Los Angeles Kings,Nicolas Aube-Kubel,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:19:02Z,1,06:10,13:50,Penalty,Holding,-61.0,36.0,Robert Hagg,PenaltyOn,Philadelphia Flyers,Kyle Clifford,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:22:00Z,1,06:10,13:50,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:21:25Z,1,06:57,13:03,Goal,Tip-In,-75.0,-1.0,Alex Iafallo,Scorer,Los Angeles Kings,Anze Kopitar,Assist,Los Angeles Kings,Adrian Kempe,Assist,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers
2020-01-01T02:22:35Z,1,06:57,13:03,Faceoff,n/a,0.0,0.0,Blake Lizotte,Winner,Los Angeles Kings,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:23:16Z,1,07:47,12:13,Faceoff,n/a,69.0,22.0,Scott Laughton,Winner,Philadelphia Flyers,Nikolai Prokhorkin,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:23:26Z,1,07:50,12:10,Shot,Tip-In,74.0,16.0,Scott Laughton,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:23:37Z,1,07:51,12:09,Faceoff,n/a,69.0,22.0,Scott Laughton,Winner,Philadelphia Flyers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:23:54Z,1,07:55,12:05,Shot,Snap Shot,36.0,0.0,Shayne Gostisbehere,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:24:24Z,1,08:07,11:53,Penalty,Roughing,72.0,33.0,Scott Laughton,PenaltyOn,Philadelphia Flyers,Michael Amadio,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:24:50Z,1,08:07,11:53,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:24:47Z,1,08:13,11:47,Shot,Wrist Shot,-35.0,31.0,Adrian Kempe,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:25:18Z,1,08:43,11:17,Shot,Slap Shot,-48.0,8.0,Drew Doughty,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:26:17Z,1,08:44,11:16,Shot,Backhand,-83.0,-10.0,Tyler Toffoli,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:25:24Z,1,08:45,11:15,Goal,Wrist Shot,-77.0,-7.0,Tyler Toffoli,Scorer,Los Angeles Kings,Anze Kopitar,Assist,Los Angeles Kings,Drew Doughty,Assist,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers
2020-01-01T02:26:08Z,1,08:45,11:15,Faceoff,n/a,0.0,0.0,Jeff Carter,Winner,Los Angeles Kings,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:27:08Z,1,09:18,10:42,Faceoff,n/a,-69.0,22.0,Mikhail Vorobyev,Winner,Philadelphia Flyers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:27:21Z,1,09:31,10:29,Shot,Wrist Shot,-73.0,-21.0,Kyle Clifford,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:27:53Z,1,09:31,10:29,Faceoff,n/a,-69.0,-22.0,Anze Kopitar,Winner,Los Angeles Kings,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:28:02Z,1,09:33,10:27,Shot,Wrist Shot,-53.0,-35.0,Sean Walker,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:28:13Z,1,09:34,10:26,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:29:03Z,1,10:21,09:39,Shot,Backhand,78.0,7.0,Sean Couturier,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:31:44Z,1,10:22,09:38,Faceoff,n/a,69.0,-22.0,Blake Lizotte,Winner,Los Angeles Kings,Scott Laughton,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:31:46Z,1,10:33,09:27,Hit,n/a,35.0,40.0,Austin Wagner,Hitter,Los Angeles Kings,Michael Raffl,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:32:16Z,1,11:00,09:00,Hit,n/a,-26.0,42.0,Michael Raffl,Hitter,Philadelphia Flyers,Blake Lizotte,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:33:24Z,1,12:16,07:44,Shot,Slap Shot,38.0,34.0,Ivan Provorov,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:33:32Z,1,12:18,07:42,Shot,Backhand,82.0,9.0,Nicolas Aube-Kubel,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:33:36Z,1,12:28,07:32,Shot,Backhand,-83.0,-6.0,Michael Amadio,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:33:48Z,1,12:37,07:23,Hit,n/a,-79.0,38.0,Ivan Provorov,Hitter,Philadelphia Flyers,Michael Amadio,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:34:45Z,1,13:36,06:24,Giveaway,n/a,-94.0,4.0,Brian Elliott,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:34:54Z,1,13:38,06:22,Faceoff,n/a,-69.0,22.0,Scott Laughton,Winner,Philadelphia Flyers,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:36:24Z,1,13:45,06:15,Faceoff,n/a,69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:36:22Z,1,14:11,05:49,Shot,Wrist Shot,35.0,-4.0,Shayne Gostisbehere,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:39:02Z,1,14:12,05:48,Faceoff,n/a,69.0,-22.0,Kevin Hayes,Winner,Philadelphia Flyers,Nikolai Prokhorkin,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:39:19Z,1,14:26,05:34,Giveaway,n/a,97.0,-10.0,Jeff Carter,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:39:23Z,1,14:29,05:31,Shot,Deflected,80.0,2.0,James van Riemsdyk,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:40:00Z,1,14:30,05:30,Faceoff,n/a,69.0,22.0,Mikhail Vorobyev,Winner,Philadelphia Flyers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:40:22Z,1,15:00,05:00,Blocked Shot,n/a,65.0,18.0,Kale Clague,Blocker,Los Angeles Kings,Nicolas Aube-Kubel,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:40:34Z,1,15:00,05:00,Shot,Wrist Shot,78.0,14.0,Nicolas Aube-Kubel,Shooter,Philadelphia Flyers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:41:01Z,1,15:01,04:59,Faceoff,n/a,69.0,22.0,Scott Laughton,Winner,Philadelphia Flyers,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:41:08Z,1,15:16,04:44,Giveaway,n/a,-71.0,19.0,Brian Elliott,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:41:18Z,1,15:26,04:34,Missed Shot,n/a,-67.0,-14.0,Austin Wagner,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:41:39Z,1,15:47,04:13,Blocked Shot,n/a,-57.0,5.0,Shayne Gostisbehere,Blocker,Philadelphia Flyers,Blake Lizotte,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:42:09Z,1,16:08,03:52,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:42:34Z,1,16:19,03:41,Shot,Wrap-around,-85.0,4.0,Tyler Toffoli,Shooter,Los Angeles Kings,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:42:46Z,1,16:23,03:37,Penalty,Hi-sticking,-94.0,19.0,Anze Kopitar,PenaltyOn,Los Angeles Kings,Jakub Voracek,DrewBy,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-01T02:43:38Z,1,16:23,03:37,Faceoff,n/a,69.0,-22.0,Blake Lizotte,Winner,Los Angeles Kings,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
