Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-03T00:08:35Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Boone Jenner,Winner,Columbus Blue Jackets,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:08:59Z,1,00:16,19:44,Shot,Wrist Shot,-79.0,1.0,Nick Foligno,Shooter,Columbus Blue Jackets,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:12:05Z,1,00:17,19:43,Faceoff,n/a,-20.0,-22.0,Brad Marchand,Winner,Boston Bruins,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:13:11Z,1,01:16,18:44,Blocked Shot,n/a,55.0,11.0,Eric Robinson,Blocker,Columbus Blue Jackets,John Moore,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:14:35Z,1,02:40,17:20,Blocked Shot,n/a,59.0,-14.0,Scott Harrington,Blocker,Columbus Blue Jackets,Charlie McAvoy,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:14:50Z,1,02:55,17:05,Hit,n/a,96.0,-4.0,Sean Kuraly,Hitter,Boston Bruins,Scott Harrington,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:14:55Z,1,03:00,17:00,Hit,n/a,93.0,23.0,Joakim Nordstrom,Hitter,Boston Bruins,Dean Kukan,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:15:13Z,1,03:18,16:42,Giveaway,n/a,11.0,21.0,Chris Wagner,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:15:22Z,1,03:26,16:34,Shot,Wrist Shot,29.0,-28.0,Chris Wagner,Shooter,Boston Bruins,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:15:44Z,1,03:27,16:33,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:16:25Z,1,04:00,16:00,Hit,n/a,93.0,-25.0,Vladislav Gavrikov,Hitter,Columbus Blue Jackets,David Pastrnak,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:16:29Z,1,04:04,15:56,Giveaway,n/a,27.0,-2.0,Charlie McAvoy,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:16:47Z,1,04:23,15:37,Missed Shot,n/a,-37.0,20.0,Seth Jones,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:16:53Z,1,04:25,15:35,Blocked Shot,n/a,-63.0,-10.0,Patrice Bergeron,Blocker,Boston Bruins,Nick Foligno,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:17:14Z,1,04:50,15:10,Shot,Wrist Shot,32.0,20.0,John Moore,Shooter,Boston Bruins,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:17:15Z,1,04:50,15:10,Hit,n/a,64.0,38.0,Jake DeBrusk,Hitter,Boston Bruins,Sonny Milano,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:17:32Z,1,05:07,14:53,Shot,Wrist Shot,-36.0,-11.0,Scott Harrington,Shooter,Columbus Blue Jackets,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:17:43Z,1,05:18,14:42,Missed Shot,n/a,-74.0,-1.0,Eric Robinson,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:17:54Z,1,05:29,14:31,Hit,n/a,-97.0,13.0,John Moore,Hitter,Boston Bruins,Sonny Milano,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:18:07Z,1,05:43,14:17,Hit,n/a,-34.0,37.0,Ryan MacInnis,Hitter,Columbus Blue Jackets,Anders Bjork,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:18:15Z,1,05:51,14:09,Shot,Wrist Shot,-31.0,-23.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:18:55Z,1,06:30,13:30,Giveaway,n/a,52.0,-16.0,Vladislav Gavrikov,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
