Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-03T00:07:36Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:08:28Z,1,00:07,19:53,Hit,n/a,3.0,-40.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,James Neal,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:08:48Z,1,00:24,19:36,Blocked Shot,n/a,69.0,5.0,Oscar Klefbom,Blocker,Edmonton Oilers,Jack Eichel,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:09:01Z,1,00:29,19:31,Faceoff,n/a,-69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:09:55Z,1,01:03,18:57,Missed Shot,n/a,42.0,-27.0,Jimmy Vesey,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:10:48Z,1,01:48,18:12,Missed Shot,n/a,-66.0,-7.0,Josh Archibald,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:11:13Z,1,01:50,18:10,Faceoff,n/a,-69.0,-22.0,Curtis Lazar,Winner,Buffalo Sabres,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:11:28Z,1,02:08,17:52,Shot,Tip-In,-78.0,8.0,Joakim Nygard,Shooter,Edmonton Oilers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:11:33Z,1,02:13,17:47,Hit,n/a,-86.0,37.0,Alex Chiasson,Hitter,Edmonton Oilers,Colin Miller,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:12:06Z,1,02:46,17:14,Giveaway,n/a,-57.0,-37.0,Zack Kassian,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:12:11Z,1,02:51,17:09,Takeaway,n/a,85.0,-34.0,Darnell Nurse,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:12:19Z,1,02:53,17:07,Shot,Wrist Shot,75.0,-31.0,Sam Reinhart,Shooter,Buffalo Sabres,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:12:37Z,1,02:54,17:06,Faceoff,n/a,69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:13:18Z,1,03:28,16:32,Missed Shot,n/a,-34.0,34.0,Kris Russell,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T00:13:46Z,1,03:54,16:06,Shot,Wrist Shot,-36.0,-4.0,Darnell Nurse,Shooter,Edmonton Oilers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
