Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-03T02:07:31Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:08:26Z,1,00:08,19:52,Hit,n/a,3.0,-41.0,Andrew Mangiapane,Hitter,Calgary Flames,Pavel Buchnevich,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:08:48Z,1,00:30,19:30,Hit,n/a,-19.0,-40.0,Pavel Buchnevich,Hitter,New York Rangers,Matthew Tkachuk,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:09:20Z,1,00:55,19:05,Faceoff,n/a,-69.0,-22.0,Sean Monahan,Winner,Calgary Flames,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:09:41Z,1,01:02,18:58,Missed Shot,n/a,-47.0,-38.0,Johnny Gaudreau,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:09:56Z,1,01:17,18:43,Shot,Wrist Shot,-32.0,-7.0,Mark Giordano,Shooter,Calgary Flames,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:10:34Z,1,01:55,18:05,Blocked Shot,n/a,56.0,-12.0,Oliver Kylington,Blocker,Calgary Flames,Tony DeAngelo,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:10:42Z,1,02:03,17:57,Hit,n/a,-33.0,40.0,Ryan Lindgren,Hitter,New York Rangers,Derek Ryan,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:10:56Z,1,02:14,17:46,Shot,Snap Shot,-49.0,-26.0,Dillon Dube,Shooter,Calgary Flames,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:11:38Z,1,02:58,17:02,Takeaway,n/a,12.0,-37.0,Mark Jankowski,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:12:11Z,1,03:32,16:28,Shot,Wrist Shot,-54.0,-37.0,Mark Giordano,Shooter,Calgary Flames,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:12:40Z,1,04:01,15:59,Giveaway,n/a,-73.0,-40.0,Matthew Tkachuk,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:12:49Z,1,04:08,15:52,Giveaway,n/a,85.0,30.0,Noah Hanifin,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:12:57Z,1,04:15,15:45,Goal,Backhand,-77.0,0.0,Johnny Gaudreau,Scorer,Calgary Flames,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:13:33Z,1,04:15,15:45,Faceoff,n/a,0.0,0.0,Sean Monahan,Winner,Calgary Flames,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:14:36Z,1,05:17,14:43,Takeaway,n/a,4.0,14.0,Derek Ryan,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:15:09Z,1,05:50,14:10,Blocked Shot,n/a,-38.0,-25.0,Greg McKegg,Blocker,New York Rangers,Oliver Kylington,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:15:12Z,1,05:53,14:07,Takeaway,n/a,-60.0,-33.0,Sam Bennett,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:15:27Z,1,05:59,14:01,Penalty,Hooking,-15.0,-3.0,Sam Bennett,PenaltyOn,Calgary Flames,Greg McKegg,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:15:53Z,1,05:59,14:01,Faceoff,n/a,69.0,-22.0,Mika Zibanejad,Winner,New York Rangers,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:16:04Z,1,06:08,13:52,Blocked Shot,n/a,59.0,-8.0,Elias Lindholm,Blocker,Calgary Flames,Mika Zibanejad,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:16:48Z,1,06:48,13:12,Penalty,Hooking,87.0,-30.0,Derek Ryan,PenaltyOn,Calgary Flames,Ryan Strome,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:17:09Z,1,06:48,13:12,Faceoff,n/a,69.0,-22.0,Mika Zibanejad,Winner,New York Rangers,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:17:50Z,1,07:11,12:49,Takeaway,n/a,57.0,2.0,Mikael Backlund,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:17:56Z,1,07:16,12:44,Goal,Backhand,-79.0,2.0,Mikael Backlund,Scorer,Calgary Flames,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:18:56Z,1,07:16,12:44,Faceoff,n/a,0.0,0.0,Elias Lindholm,Winner,Calgary Flames,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:19:06Z,1,07:42,12:18,Goal,Wrist Shot,52.0,7.0,Jacob Trouba,Scorer,New York Rangers,Pavel Buchnevich,Assist,New York Rangers,Adam Fox,Assist,New York Rangers,Cam Talbot,Goalie,Calgary Flames
2020-01-03T02:19:19Z,1,07:42,12:18,Faceoff,n/a,0.0,0.0,Elias Lindholm,Winner,Calgary Flames,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T02:20:09Z,1,08:06,11:54,Shot,Tip-In,81.0,5.0,Filip Chytil,Shooter,New York Rangers,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
