Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-03T03:07:47Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:08:52Z,1,00:16,19:44,Blocked Shot,n/a,67.0,14.0,Alex Tuch,Blocker,Vegas Golden Knights,Travis Sanheim,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:09:21Z,1,00:45,19:15,Blocked Shot,n/a,81.0,-2.0,Nate Schmidt,Blocker,Vegas Golden Knights,Kevin Hayes,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:09:30Z,1,00:54,19:06,Missed Shot,n/a,67.0,7.0,James van Riemsdyk,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:09:37Z,1,01:01,18:59,Shot,Wrist Shot,42.0,-22.0,Matt Niskanen,Shooter,Philadelphia Flyers,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:09:50Z,1,01:01,18:59,Faceoff,n/a,69.0,-22.0,Max Pacioretty,Winner,Vegas Golden Knights,Tyler Pitlick,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:10:37Z,1,01:24,18:36,Missed Shot,n/a,67.0,40.0,Joel Farabee,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:10:42Z,1,01:29,18:31,Shot,Snap Shot,31.0,20.0,Shayne Gostisbehere,Shooter,Philadelphia Flyers,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:11:28Z,1,02:02,17:58,Faceoff,n/a,-69.0,22.0,Nicolas Roy,Winner,Vegas Golden Knights,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:11:52Z,1,02:13,17:47,Hit,n/a,-70.0,-39.0,Matt Niskanen,Hitter,Philadelphia Flyers,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:12:15Z,1,02:36,17:24,Missed Shot,n/a,-39.0,22.0,Deryk Engelland,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:12:19Z,1,02:41,17:19,Hit,n/a,-33.0,-40.0,Chris Stewart,Hitter,Philadelphia Flyers,Nicolas Hague,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:12:19Z,1,02:45,17:15,Takeaway,n/a,-45.0,-22.0,Paul Stastny,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:12:34Z,1,02:50,17:10,Hit,n/a,-97.0,8.0,William Carrier,Hitter,Vegas Golden Knights,Ivan Provorov,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:12:29Z,1,02:51,17:09,Hit,n/a,-36.0,-40.0,Chris Stewart,Hitter,Philadelphia Flyers,Paul Stastny,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:13:03Z,1,03:14,16:46,Takeaway,n/a,82.0,38.0,Brayden McNabb,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:13:14Z,1,03:35,16:25,Takeaway,n/a,-63.0,-40.0,Philippe Myers,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:13:40Z,1,04:02,15:58,Shot,Backhand,-80.0,7.0,Shea Theodore,Shooter,Vegas Golden Knights,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:13:48Z,1,04:09,15:51,Missed Shot,n/a,-29.0,3.0,Nick Holden,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:13:54Z,1,04:16,15:44,Missed Shot,n/a,-34.0,-25.0,Nick Holden,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:14:01Z,1,04:22,15:38,Shot,Wrist Shot,54.0,-25.0,Travis Konecny,Shooter,Philadelphia Flyers,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:14:20Z,1,04:22,15:38,Faceoff,n/a,69.0,-22.0,Chandler Stephenson,Winner,Vegas Golden Knights,Tyler Pitlick,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:14:46Z,1,04:32,15:28,Hit,n/a,-30.0,9.0,Scott Laughton,Hitter,Philadelphia Flyers,Nicolas Hague,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:14:51Z,1,04:37,15:23,Shot,Wrist Shot,-73.0,-14.0,Mark Stone,Shooter,Vegas Golden Knights,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-03T03:14:57Z,1,04:38,15:22,Shot,Wrist Shot,-75.0,-7.0,Max Pacioretty,Shooter,Vegas Golden Knights,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
