Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-04T18:12:52Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:13:39Z,1,00:25,19:35,Hit,n/a,-94.0,22.0,Leon Draisaitl,Hitter,Edmonton Oilers,Brandon Carlo,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:13:44Z,1,00:28,19:32,Shot,Wrist Shot,-71.0,-33.0,Oscar Klefbom,Shooter,Edmonton Oilers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:14:08Z,1,00:28,19:32,Faceoff,n/a,-69.0,-22.0,Chris Wagner,Winner,Boston Bruins,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:14:27Z,1,00:42,19:18,Shot,Wrist Shot,41.0,-20.0,Chris Wagner,Shooter,Boston Bruins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:14:36Z,1,00:51,19:09,Hit,n/a,68.0,-35.0,Darnell Nurse,Hitter,Edmonton Oilers,Chris Wagner,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:14:37Z,1,00:52,19:08,Giveaway,n/a,88.0,-20.0,Connor McDavid,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:14:53Z,1,01:03,18:57,Shot,Wrist Shot,-15.0,18.0,James Neal,Shooter,Edmonton Oilers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:15:11Z,1,01:05,18:55,Faceoff,n/a,-69.0,22.0,David Krejci,Winner,Boston Bruins,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:16:28Z,1,01:57,18:03,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:17:00Z,1,02:18,17:42,Shot,Backhand,7.0,22.0,Steven Kampfer,Shooter,Boston Bruins,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:17:28Z,1,02:19,17:41,Hit,n/a,58.0,35.0,Patrice Bergeron,Hitter,Boston Bruins,Jujhar Khaira,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:17:06Z,1,02:24,17:36,Hit,n/a,92.0,20.0,David Pastrnak,Hitter,Boston Bruins,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T18:17:40Z,1,02:39,17:21,Blocked Shot,n/a,66.0,11.0,Adam Larsson,Blocker,Edmonton Oilers,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
