Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-04T00:38:07Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nicklas Backstrom,Winner,Washington Capitals,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:38:48Z,1,00:17,19:43,Blocked Shot,n/a,-62.0,13.0,John Carlson,Blocker,Washington Capitals,Andrei Svechnikov,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:38:50Z,1,00:20,19:40,Takeaway,n/a,-64.0,7.0,Jordan Staal,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:39:02Z,1,00:24,19:36,Shot,Wrist Shot,-83.0,-8.0,Warren Foegele,Shooter,Carolina Hurricanes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:39:12Z,1,00:25,19:35,Faceoff,n/a,-69.0,-22.0,Sebastian Aho,Winner,Carolina Hurricanes,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:39:39Z,1,00:41,19:19,Shot,Slap Shot,-41.0,20.0,Brett Pesce,Shooter,Carolina Hurricanes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:39:52Z,1,00:42,19:18,Faceoff,n/a,-69.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:40:16Z,1,00:57,19:03,Missed Shot,n/a,83.0,-5.0,Jakub Vrana,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:40:41Z,1,01:04,18:56,Faceoff,n/a,69.0,22.0,Lars Eller,Winner,Washington Capitals,Erik Haula,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:40:58Z,1,01:09,18:51,Shot,Backhand,85.0,-11.0,Carl Hagelin,Shooter,Washington Capitals,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:41:04Z,1,01:13,18:47,Shot,Snap Shot,67.0,-25.0,Carl Hagelin,Shooter,Washington Capitals,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:41:04Z,1,01:15,18:45,Giveaway,n/a,99.0,-17.0,Joel Edmundson,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:41:44Z,1,01:38,18:22,Faceoff,n/a,20.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:42:02Z,1,01:45,18:15,Faceoff,n/a,69.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:42:34Z,1,01:49,18:11,Takeaway,n/a,83.0,-36.0,Garnet Hathaway,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:42:34Z,1,01:50,18:10,Shot,Snap Shot,70.0,-39.0,Garnet Hathaway,Shooter,Washington Capitals,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:43:01Z,1,02:14,17:46,Hit,n/a,96.0,24.0,Brendan Leipsic,Hitter,Washington Capitals,Dougie Hamilton,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:43:50Z,1,02:49,17:11,Faceoff,n/a,69.0,22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:44:12Z,1,02:55,17:05,Faceoff,n/a,20.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:44:57Z,1,03:26,16:34,Shot,Snap Shot,76.0,18.0,Jakub Vrana,Shooter,Washington Capitals,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:45:09Z,1,03:36,16:24,Hit,n/a,36.0,-40.0,Dmitry Orlov,Hitter,Washington Capitals,Nino Niederreiter,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:45:11Z,1,03:40,16:20,Missed Shot,n/a,-35.0,-2.0,Dougie Hamilton,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:45:52Z,1,04:19,15:41,Hit,n/a,49.0,-41.0,Richard Panik,Hitter,Washington Capitals,Ryan Dzingel,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:46:19Z,1,04:22,15:38,Faceoff,n/a,69.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Garnet Hathaway,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:47:13Z,1,04:41,15:19,Hit,n/a,94.0,16.0,Garnet Hathaway,Hitter,Washington Capitals,Brett Pesce,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:47:46Z,1,05:11,14:49,Shot,Deflected,-1.0,40.0,Carl Hagelin,Shooter,Washington Capitals,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:48:05Z,1,05:12,14:48,Faceoff,n/a,69.0,22.0,Jordan Staal,Winner,Carolina Hurricanes,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:48:32Z,1,05:35,14:25,Shot,Snap Shot,-72.0,-2.0,Erik Haula,Shooter,Carolina Hurricanes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:48:45Z,1,05:44,14:16,Hit,n/a,-50.0,28.0,Lars Eller,Hitter,Washington Capitals,Ryan Dzingel,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:48:58Z,1,05:53,14:07,Takeaway,n/a,71.0,-11.0,Jaccob Slavin,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:49:02Z,1,06:03,13:57,Missed Shot,n/a,52.0,-16.0,Nicklas Backstrom,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-04T00:49:25Z,1,06:25,13:35,Hit,n/a,85.0,37.0,Alex Ovechkin,Hitter,Washington Capitals,Brett Pesce,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
