Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-05T00:14:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:15:17Z,1,00:14,19:46,Hit,n/a,98.0,-4.0,Matt Martin,Hitter,New York Islanders,Cody Ceci,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:15:25Z,1,00:21,19:39,Takeaway,n/a,83.0,-36.0,Casey Cizikas,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:15:26Z,1,00:22,19:38,Shot,Wrist Shot,31.0,-25.0,Scott Mayfield,Shooter,New York Islanders,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:16:01Z,1,00:53,19:07,Faceoff,n/a,69.0,22.0,John Tavares,Winner,Toronto Maple Leafs,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:16:29Z,1,01:04,18:56,Hit,n/a,51.0,40.0,Anders Lee,Hitter,New York Islanders,Cody Ceci,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:16:36Z,1,01:11,18:49,Shot,Slap Shot,-31.0,13.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:16:49Z,1,01:24,18:36,Shot,Wrist Shot,76.0,-15.0,Ryan Pulock,Shooter,New York Islanders,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:17:05Z,1,01:40,18:20,Hit,n/a,-98.0,-5.0,Zach Hyman,Hitter,Toronto Maple Leafs,Ryan Pulock,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:17:53Z,1,01:56,18:04,Faceoff,n/a,20.0,-22.0,Derick Brassard,Winner,New York Islanders,Jason Spezza,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:18:37Z,1,02:20,17:40,Faceoff,n/a,20.0,-22.0,Derick Brassard,Winner,New York Islanders,Jason Spezza,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:18:52Z,1,02:28,17:32,Giveaway,n/a,62.0,38.0,Nick Leddy,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:19:30Z,1,02:37,17:23,Faceoff,n/a,20.0,-22.0,Frederik Gauthier,Winner,Toronto Maple Leafs,Jordan Eberle,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:19:56Z,1,02:59,17:01,Takeaway,n/a,46.0,41.0,Mason Marchment,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:20:24Z,1,03:27,16:33,Giveaway,n/a,-98.0,13.0,Johnny Boychuk,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:20:47Z,1,03:50,16:10,Hit,n/a,-39.0,10.0,Auston Matthews,Hitter,Toronto Maple Leafs,Matt Martin,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:20:53Z,1,03:56,16:04,Hit,n/a,97.0,-12.0,Morgan Rielly,Hitter,Toronto Maple Leafs,Casey Cizikas,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:21:29Z,1,04:32,15:28,Shot,Backhand,-78.0,-2.0,William Nylander,Shooter,Toronto Maple Leafs,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-05T00:22:12Z,1,05:15,14:45,Hit,n/a,94.0,30.0,Michael Dal Colle,Hitter,New York Islanders,Kasperi Kapanen,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
