Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-08T00:08:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Erik Haula,Winner,Carolina Hurricanes,Michael Raffl,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:08:41Z,1,00:12,19:48,Faceoff,n/a,69.0,22.0,Sean Couturier,Winner,Philadelphia Flyers,Erik Haula,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:09:04Z,1,00:25,19:35,Hit,n/a,84.0,38.0,Joel Edmundson,Hitter,Carolina Hurricanes,Travis Konecny,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:09:13Z,1,00:37,19:23,Goal,Wrist Shot,82.0,-24.0,Travis Konecny,Scorer,Philadelphia Flyers,Robert Hagg,Assist,Philadelphia Flyers,Claude Giroux,Assist,Philadelphia Flyers,James Reimer,Goalie,Carolina Hurricanes
2020-01-08T00:10:11Z,1,00:37,19:23,Faceoff,n/a,0.0,0.0,Kevin Hayes,Winner,Philadelphia Flyers,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:10:38Z,1,01:05,18:55,Shot,Wrist Shot,-1.0,30.0,Sebastian Aho,Shooter,Carolina Hurricanes,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:11:01Z,1,01:06,18:54,Faceoff,n/a,-69.0,22.0,Jordan Staal,Winner,Carolina Hurricanes,Michael Raffl,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:11:21Z,1,01:16,18:44,Blocked Shot,n/a,-55.0,-20.0,Tyler Pitlick,Blocker,Philadelphia Flyers,Jake Gardiner,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:11:31Z,1,01:17,18:43,Faceoff,n/a,-69.0,-22.0,Jordan Staal,Winner,Carolina Hurricanes,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:11:44Z,1,01:22,18:38,Blocked Shot,n/a,-66.0,3.0,Travis Sanheim,Blocker,Philadelphia Flyers,Brett Pesce,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
