Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-08T00:09:14Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Vincent Trocheck,Winner,Florida Panthers,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:09:54Z,1,00:37,19:23,Shot,Wrist Shot,-36.0,5.0,Vincent Trocheck,Shooter,Florida Panthers,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:10:08Z,1,00:51,19:09,Missed Shot,n/a,-43.0,-18.0,Mike Matheson,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:10:42Z,1,00:52,19:08,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:10:57Z,1,01:13,18:47,Shot,Wrist Shot,71.0,-21.0,Phil Kessel,Shooter,Arizona Coyotes,Chris Driedger,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:11:24Z,1,01:14,18:46,Faceoff,n/a,69.0,-22.0,Nick Schmaltz,Winner,Arizona Coyotes,Dominic Toninato,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:11:49Z,1,01:31,18:29,Blocked Shot,n/a,65.0,4.0,Noel Acciari,Blocker,Florida Panthers,Nick Schmaltz,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:12:10Z,1,01:51,18:09,Hit,n/a,-37.0,40.0,Frank Vatrano,Hitter,Florida Panthers,Clayton Keller,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:12:21Z,1,02:02,17:58,Hit,n/a,49.0,-39.0,Frank Vatrano,Hitter,Florida Panthers,Ilya Lyubushkin,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:12:50Z,1,02:31,17:29,Hit,n/a,46.0,38.0,Christian Fischer,Hitter,Arizona Coyotes,Colton Sceviour,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T00:12:53Z,1,02:34,17:26,Shot,Wrist Shot,33.0,23.0,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,Chris Driedger,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
