Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-08T01:08:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:09:42Z,1,00:14,19:46,Shot,Wrist Shot,66.0,23.0,Vince Dunn,Shooter,St. Louis Blues,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:10:02Z,1,00:15,19:45,Faceoff,n/a,69.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:10:12Z,1,00:21,19:39,Blocked Shot,n/a,75.0,-15.0,Brenden Dillon,Blocker,San Jose Sharks,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:10:16Z,1,00:25,19:35,Hit,n/a,89.0,-34.0,Brenden Dillon,Hitter,San Jose Sharks,Zach Sanford,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:10:20Z,1,00:26,19:34,Shot,Wrist Shot,53.0,-19.0,David Perron,Shooter,St. Louis Blues,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:10:39Z,1,00:27,19:33,Faceoff,n/a,69.0,-22.0,Barclay Goodrow,Winner,San Jose Sharks,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:11:07Z,1,00:49,19:11,Hit,n/a,-98.0,8.0,Timo Meier,Hitter,San Jose Sharks,Justin Faulk,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:11:14Z,1,00:56,19:04,Shot,Wrist Shot,-37.0,28.0,Brent Burns,Shooter,San Jose Sharks,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:12:22Z,1,01:38,18:22,Faceoff,n/a,69.0,22.0,Joel Kellman,Winner,San Jose Sharks,Ivan Barbashev,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:12:40Z,1,01:45,18:15,Faceoff,n/a,69.0,-22.0,Oskar Sundqvist,Winner,St. Louis Blues,Joel Kellman,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:13:09Z,1,01:49,18:11,Blocked Shot,n/a,70.0,-12.0,Joel Kellman,Blocker,San Jose Sharks,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:13:51Z,1,02:13,17:47,Faceoff,n/a,69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:14:22Z,1,02:34,17:26,Hit,n/a,-96.0,17.0,Logan Couture,Hitter,San Jose Sharks,Jay Bouwmeester,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:14:32Z,1,02:36,17:24,Giveaway,n/a,-22.0,-25.0,Zach Sanford,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:15:11Z,1,02:50,17:10,Giveaway,n/a,-84.0,38.0,Jay Bouwmeester,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:15:11Z,1,03:07,16:53,Faceoff,n/a,-69.0,-22.0,Barclay Goodrow,Winner,San Jose Sharks,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:16:06Z,1,03:40,16:20,Hit,n/a,39.0,-42.0,Barclay Goodrow,Hitter,San Jose Sharks,Jaden Schwartz,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:16:13Z,1,03:47,16:13,Shot,Snap Shot,-38.0,-11.0,Timo Meier,Shooter,San Jose Sharks,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:16:24Z,1,03:58,16:02,Shot,Wrist Shot,69.0,-24.0,Jordan Kyrou,Shooter,St. Louis Blues,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:17:11Z,1,04:45,15:15,Hit,n/a,92.0,-22.0,Alexander Steen,Hitter,St. Louis Blues,Radim Simek,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:17:17Z,1,04:51,15:09,Shot,Wrist Shot,41.0,-22.0,Robert Bortuzzo,Shooter,St. Louis Blues,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:17:21Z,1,04:55,15:05,Hit,n/a,85.0,-39.0,Marcus Sorensen,Hitter,San Jose Sharks,Robert Thomas,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:17:27Z,1,05:01,14:59,Giveaway,n/a,60.0,-32.0,Tyler Bozak,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:18:48Z,1,06:21,13:39,Hit,n/a,96.0,5.0,Alex Pietrangelo,Hitter,St. Louis Blues,Tomas Hertl,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-08T01:18:56Z,1,06:29,13:31,Blocked Shot,n/a,74.0,-3.0,Brent Burns,Blocker,San Jose Sharks,Jaden Schwartz,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
