Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-10T00:08:16Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:09:33Z,1,00:46,19:14,Shot,Wrist Shot,-80.0,-17.0,Patrik Laine,Shooter,Winnipeg Jets,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:09:38Z,1,00:51,19:09,Blocked Shot,n/a,-74.0,-1.0,Charlie McAvoy,Blocker,Boston Bruins,Josh Morrissey,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:10:04Z,1,01:18,18:42,Hit,n/a,-92.0,25.0,Matt Grzelcyk,Hitter,Boston Bruins,Tucker Poolman,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:10:49Z,1,01:38,18:22,Blocked Shot,n/a,78.0,2.0,Josh Morrissey,Blocker,Winnipeg Jets,David Krejci,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:10:52Z,1,01:42,18:18,Faceoff,n/a,0.0,0.0,David Krejci,Winner,Boston Bruins,Adam Lowry,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:24Z,1,01:52,18:08,Faceoff,n/a,69.0,22.0,Charlie Coyle,Winner,Boston Bruins,Nicholas Shore,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:36Z,1,01:55,18:05,Shot,Wrist Shot,65.0,31.0,Danton Heinen,Shooter,Boston Bruins,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:44Z,1,01:56,18:04,Faceoff,n/a,69.0,22.0,Charlie Coyle,Winner,Boston Bruins,Nicholas Shore,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:12:22Z,1,02:27,17:33,Hit,n/a,40.0,38.0,Neal Pionk,Hitter,Winnipeg Jets,Danton Heinen,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:12:22Z,1,02:28,17:32,Shot,Wrist Shot,55.0,32.0,Danton Heinen,Shooter,Boston Bruins,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:12:54Z,1,03:00,17:00,Giveaway,n/a,5.0,7.0,Blake Wheeler,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:13:19Z,1,03:07,16:53,Giveaway,n/a,-16.0,36.0,Brandon Carlo,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:13:04Z,1,03:10,16:50,Hit,n/a,-95.0,16.0,Nikolaj Ehlers,Hitter,Winnipeg Jets,Brandon Carlo,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:13:44Z,1,03:49,16:11,Takeaway,n/a,18.0,-36.0,Joakim Nordstrom,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:14:01Z,1,04:06,15:54,Hit,n/a,-92.0,17.0,Kyle Connor,Hitter,Winnipeg Jets,Charlie McAvoy,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:14:43Z,1,04:49,15:11,Missed Shot,n/a,71.0,-32.0,Steven Kampfer,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
