Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-10T02:08:14Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Joel Eriksson Ek,Winner,Minnesota Wild,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:09:29Z,1,00:20,19:40,Shot,Wrist Shot,83.0,25.0,Jonas Brodin,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:09:38Z,1,00:29,19:31,Giveaway,n/a,-54.0,-41.0,Joel Eriksson Ek,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:09:42Z,1,00:33,19:27,Shot,Wrist Shot,66.0,15.0,Joel Eriksson Ek,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:09:54Z,1,00:33,19:27,Faceoff,n/a,69.0,22.0,Mikko Koivu,Winner,Minnesota Wild,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:10:13Z,1,00:37,19:23,Shot,Wrist Shot,46.0,28.0,Jared Spurgeon,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:10:19Z,1,00:37,19:23,Faceoff,n/a,69.0,22.0,Elias Lindholm,Winner,Calgary Flames,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:10:46Z,1,00:45,19:15,Faceoff,n/a,69.0,22.0,Elias Lindholm,Winner,Calgary Flames,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:11:15Z,1,00:57,19:03,Shot,Snap Shot,-61.0,11.0,Andrew Mangiapane,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:11:25Z,1,01:00,19:00,Shot,Wrist Shot,-93.0,8.0,Andrew Mangiapane,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:11:36Z,1,01:00,19:00,Faceoff,n/a,-69.0,22.0,Sean Monahan,Winner,Calgary Flames,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:11:52Z,1,01:07,18:53,Blocked Shot,n/a,-55.0,-17.0,Mats Zuccarello,Blocker,Minnesota Wild,Oliver Kylington,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:12:32Z,1,01:47,18:13,Shot,Wrist Shot,-43.0,27.0,Rasmus Andersson,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:12:42Z,1,01:57,18:03,Shot,Wrist Shot,24.0,2.0,Eric Staal,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:12:48Z,1,02:03,17:57,Giveaway,n/a,64.0,16.0,Mark Jankowski,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:13:36Z,1,02:45,17:15,Penalty,Too many men on the ice,-14.0,40.0,Mats Zuccarello,PenaltyOn,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:13:57Z,1,02:45,17:15,Faceoff,n/a,-69.0,-22.0,Sean Monahan,Winner,Calgary Flames,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:14:14Z,1,02:54,17:06,Shot,Wrist Shot,-72.0,20.0,Johnny Gaudreau,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:14:27Z,1,03:07,16:53,Blocked Shot,n/a,-79.0,1.0,Jared Spurgeon,Blocker,Minnesota Wild,Sean Monahan,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:14:40Z,1,03:12,16:48,Shot,Wrist Shot,23.0,-3.0,Marcus Foligno,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:14:44Z,1,03:24,16:36,Giveaway,n/a,-12.0,-3.0,Elias Lindholm,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:15:14Z,1,03:44,16:16,Faceoff,n/a,-20.0,-22.0,Derek Ryan,Winner,Calgary Flames,Luke Kunin,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:15:45Z,1,03:57,16:03,Hit,n/a,-88.0,-36.0,Carson Soucy,Hitter,Minnesota Wild,Milan Lucic,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:15:52Z,1,04:05,15:55,Shot,Wrist Shot,-80.0,13.0,Mikael Backlund,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:16:26Z,1,04:37,15:23,Shot,Wrist Shot,-85.0,14.0,Mikael Backlund,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:16:34Z,1,04:39,15:21,Goal,Tip-In,-63.0,-6.0,Derek Ryan,Scorer,Calgary Flames,Noah Hanifin,Assist,Calgary Flames,Mikael Backlund,Assist,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild
2020-01-10T02:17:09Z,1,04:39,15:21,Faceoff,n/a,0.0,0.0,Eric Staal,Winner,Minnesota Wild,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:17:57Z,1,05:19,14:41,Shot,Tip-In,-67.0,5.0,Andrew Mangiapane,Shooter,Calgary Flames,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:18:21Z,1,05:19,14:41,Faceoff,n/a,-69.0,22.0,Mikko Koivu,Winner,Minnesota Wild,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:18:40Z,1,05:30,14:30,Takeaway,n/a,60.0,21.0,Zach Parise,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:18:54Z,1,05:43,14:17,Takeaway,n/a,92.0,-11.0,Mark Giordano,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:19:04Z,1,05:53,14:07,Giveaway,n/a,-58.0,-37.0,Sean Monahan,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:19:10Z,1,06:00,14:00,Shot,Wrist Shot,51.0,21.0,Zach Parise,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:19:15Z,1,06:05,13:55,Shot,Wrist Shot,62.0,0.0,Ryan Suter,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:19:31Z,1,06:19,13:41,Shot,Wrist Shot,42.0,13.0,Ryan Suter,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:21:42Z,1,06:19,13:41,Faceoff,n/a,69.0,22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:21:50Z,1,06:24,13:36,Missed Shot,n/a,62.0,6.0,Luke Kunin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:22:18Z,1,06:53,13:07,Giveaway,n/a,59.0,-38.0,Oliver Kylington,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:22:34Z,1,07:09,12:51,Shot,Wrist Shot,52.0,-9.0,Victor Rask,Shooter,Minnesota Wild,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:22:45Z,1,07:19,12:41,Missed Shot,n/a,-64.0,22.0,Sam Bennett,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T02:23:01Z,1,07:36,12:24,Hit,n/a,98.0,-19.0,Zac Rinaldo,Hitter,Calgary Flames,Jordan Greenway,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
