Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-10T00:09:37Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brayden Point,Winner,Tampa Bay Lightning,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:09:27Z,1,00:11,19:49,Missed Shot,n/a,68.0,18.0,Steven Stamkos,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:09:37Z,1,00:23,19:37,Hit,n/a,91.0,16.0,Jason Demers,Hitter,Arizona Coyotes,Steven Stamkos,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:10:05Z,1,00:30,19:30,Faceoff,n/a,69.0,22.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:08Z,1,00:42,19:18,Hit,n/a,-77.0,-40.0,Mikhail Sergachev,Hitter,Tampa Bay Lightning,Clayton Keller,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:22Z,1,00:43,19:17,Faceoff,n/a,69.0,-22.0,Carl Soderberg,Winner,Arizona Coyotes,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:18Z,1,01:09,18:51,Giveaway,n/a,-34.0,-17.0,Alex Goligoski,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:11:42Z,1,01:34,18:26,Missed Shot,n/a,64.0,10.0,Cedric Paquette,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:12:15Z,1,02:07,17:53,Hit,n/a,-8.0,-40.0,Mitchell Stephens,Hitter,Tampa Bay Lightning,Derek Stepan,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:13:04Z,1,02:55,17:05,Hit,n/a,-93.0,20.0,Victor Hedman,Hitter,Tampa Bay Lightning,Brad Richardson,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:13:43Z,1,03:24,16:36,Shot,Wrist Shot,-66.0,-28.0,Taylor Hall,Shooter,Arizona Coyotes,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:13:48Z,1,03:24,16:36,Faceoff,n/a,-69.0,-22.0,Brayden Point,Winner,Tampa Bay Lightning,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:14:46Z,1,03:38,16:22,Faceoff,n/a,-69.0,22.0,Brayden Point,Winner,Tampa Bay Lightning,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:15:19Z,1,03:44,16:16,Faceoff,n/a,-69.0,22.0,Brayden Point,Winner,Tampa Bay Lightning,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:16:04Z,1,04:12,15:48,Blocked Shot,n/a,-70.0,20.0,Steven Stamkos,Blocker,Tampa Bay Lightning,Alex Goligoski,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:16:52Z,1,04:53,15:07,Hit,n/a,-93.0,20.0,Braydon Coburn,Hitter,Tampa Bay Lightning,Lawson Crouse,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:17:08Z,1,05:15,14:45,Hit,n/a,97.0,1.0,Tyler Johnson,Hitter,Tampa Bay Lightning,Jason Demers,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:18:25Z,1,06:29,13:31,Hit,n/a,-36.0,38.0,Christian Fischer,Hitter,Arizona Coyotes,Mikhail Sergachev,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:18:29Z,1,06:36,13:24,Blocked Shot,n/a,65.0,-15.0,Brad Richardson,Blocker,Arizona Coyotes,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:18:39Z,1,06:47,13:13,Shot,Snap Shot,49.0,-18.0,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:19:06Z,1,07:02,12:58,Shot,Wrist Shot,-51.0,-10.0,Brad Richardson,Shooter,Arizona Coyotes,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:19:39Z,1,07:21,12:39,Faceoff,n/a,-69.0,-22.0,Carl Soderberg,Winner,Arizona Coyotes,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:20:02Z,1,07:36,12:24,Shot,Wrist Shot,61.0,7.0,Brayden Point,Shooter,Tampa Bay Lightning,Adin Hill,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:21:59Z,1,07:37,12:23,Faceoff,n/a,69.0,22.0,Derek Stepan,Winner,Arizona Coyotes,Tyler Johnson,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-10T00:22:50Z,1,07:45,12:15,Faceoff,n/a,69.0,-22.0,Brayden Point,Winner,Tampa Bay Lightning,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
