Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-11T18:07:51Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:09:05Z,1,00:20,19:40,Blocked Shot,n/a,-76.0,-6.0,Brandon Montour,Blocker,Buffalo Sabres,Loui Eriksson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:09:29Z,1,00:44,19:16,Blocked Shot,n/a,65.0,1.0,Tyler Myers,Blocker,Vancouver Canucks,Jack Eichel,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:09:38Z,1,00:53,19:07,Shot,Wrist Shot,-57.0,-14.0,Brock Boeser,Shooter,Vancouver Canucks,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:09:46Z,1,01:01,18:59,Hit,n/a,-46.0,41.0,J.T. Miller,Hitter,Vancouver Canucks,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:09:52Z,1,01:07,18:53,Missed Shot,n/a,78.0,21.0,Kyle Okposo,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:09:57Z,1,01:12,18:48,Hit,n/a,82.0,-39.0,Oscar Fantenberg,Hitter,Vancouver Canucks,Kyle Okposo,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:10:04Z,1,01:18,18:42,Hit,n/a,87.0,38.0,Zemgus Girgensons,Hitter,Buffalo Sabres,Tyler Myers,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:10:43Z,1,01:58,18:02,Hit,n/a,-98.0,1.0,Tyler Motte,Hitter,Vancouver Canucks,Michael Frolik,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:11:46Z,1,02:56,17:04,Giveaway,n/a,-98.0,7.0,Carter Hutton,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:11:44Z,1,02:59,17:01,Shot,Snap Shot,-33.0,36.0,Tyler Myers,Shooter,Vancouver Canucks,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:11:55Z,1,03:10,16:50,Shot,Wrist Shot,-71.0,-25.0,Quinn Hughes,Shooter,Vancouver Canucks,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:12:02Z,1,03:12,16:48,Shot,Wrist Shot,-38.0,30.0,Tyler Myers,Shooter,Vancouver Canucks,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:12:29Z,1,03:13,16:47,Faceoff,n/a,-69.0,22.0,J.T. Miller,Winner,Vancouver Canucks,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:12:50Z,1,03:17,16:43,Penalty,Hooking,-11.0,34.0,Rasmus Ristolainen,PenaltyOn,Buffalo Sabres,Tyler Myers,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:13:24Z,1,03:17,16:43,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Curtis Lazar,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:13:24Z,1,03:25,16:35,Shot,Wrist Shot,-40.0,17.0,Brock Boeser,Shooter,Vancouver Canucks,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:13:42Z,1,03:44,16:16,Blocked Shot,n/a,-70.0,8.0,Lawrence Pilut,Blocker,Buffalo Sabres,Brock Boeser,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-11T18:13:51Z,1,03:52,16:08,Shot,Wrist Shot,-68.0,-26.0,Bo Horvat,Shooter,Vancouver Canucks,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
