Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-12T00:07:30Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:08:31Z,1,00:11,19:49,Giveaway,n/a,39.0,-40.0,Brad Marchand,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:08:36Z,1,00:16,19:44,Giveaway,n/a,-17.0,39.0,Nick Leddy,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:08:49Z,1,00:29,19:31,Missed Shot,n/a,-69.0,-8.0,Patrice Bergeron,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:08:53Z,1,00:31,19:29,Hit,n/a,-93.0,27.0,Nick Leddy,Hitter,New York Islanders,Brandon Carlo,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:09:14Z,1,00:55,19:05,Giveaway,n/a,-40.0,-29.0,Ryan Pulock,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:09:21Z,1,01:02,18:58,Giveaway,n/a,97.0,5.0,Zdeno Chara,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:09:38Z,1,01:13,18:47,Shot,Wrist Shot,71.0,0.0,Mathew Barzal,Shooter,New York Islanders,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:09:55Z,1,01:13,18:47,Faceoff,n/a,69.0,-22.0,Derick Brassard,Winner,New York Islanders,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:10:43Z,1,01:46,18:14,Hit,n/a,98.0,-9.0,Derick Brassard,Hitter,New York Islanders,John Moore,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T00:10:49Z,1,01:53,18:07,Hit,n/a,80.0,37.0,Tom Kuhnhackl,Hitter,New York Islanders,Chris Wagner,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
