Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-12T03:41:05Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Joe Pavelski,Winner,Dallas Stars,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:41:30Z,1,00:20,19:40,Blocked Shot,n/a,63.0,25.0,Esa Lindell,Blocker,Dallas Stars,Patrick Marleau,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:41:42Z,1,00:33,19:27,Blocked Shot,n/a,-49.0,-19.0,Brent Burns,Blocker,San Jose Sharks,Roope Hintz,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:41:47Z,1,00:37,19:23,Hit,n/a,-38.0,-41.0,Brent Burns,Hitter,San Jose Sharks,Miro Heiskanen,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:42:07Z,1,00:52,19:08,Penalty,Hi-sticking,39.0,-37.0,Evander Kane,PenaltyOn,San Jose Sharks,Jamie Oleksiak,DrewBy,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:42:31Z,1,00:52,19:08,Faceoff,n/a,-69.0,-22.0,Jamie Benn,Winner,Dallas Stars,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:43:07Z,1,01:18,18:42,Shot,Wrist Shot,-83.0,-7.0,Tyler Seguin,Shooter,Dallas Stars,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:43:22Z,1,01:32,18:28,Goal,Tip-In,-69.0,-1.0,Jamie Benn,Scorer,Dallas Stars,Tyler Seguin,Assist,Dallas Stars,Miro Heiskanen,Assist,Dallas Stars,Aaron Dell,Goalie,San Jose Sharks
2020-01-12T03:43:55Z,1,01:32,18:28,Faceoff,n/a,0.0,0.0,Antti Suomela,Winner,San Jose Sharks,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:44:15Z,1,01:45,18:15,Hit,n/a,99.0,20.0,Antti Suomela,Hitter,San Jose Sharks,Andrej Sekera,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:44:43Z,1,02:08,17:52,Shot,Tip-In,60.0,15.0,Antti Suomela,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:45:00Z,1,02:10,17:50,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Joel Kellman,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:45:40Z,1,02:43,17:17,Takeaway,n/a,-99.0,-17.0,Jason Dickinson,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:45:47Z,1,02:50,17:10,Missed Shot,n/a,-45.0,-33.0,Jason Dickinson,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:45:52Z,1,02:52,17:08,Shot,Wrist Shot,-35.0,25.0,Roman Polak,Shooter,Dallas Stars,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:46:16Z,1,03:19,16:41,Takeaway,n/a,-20.0,28.0,Miro Heiskanen,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:46:26Z,1,03:29,16:31,Missed Shot,n/a,-67.0,-26.0,Miro Heiskanen,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:46:47Z,1,03:50,16:10,Missed Shot,n/a,78.0,-15.0,Barclay Goodrow,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:46:54Z,1,03:57,16:03,Shot,Wrist Shot,38.0,-30.0,Brent Burns,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:46:56Z,1,03:59,16:01,Shot,Slap Shot,41.0,29.0,Brenden Dillon,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:47:38Z,1,04:41,15:19,Takeaway,n/a,98.0,4.0,Tomas Hertl,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:47:53Z,1,04:56,15:04,Missed Shot,n/a,58.0,11.0,Mario Ferraro,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:48:34Z,1,05:37,14:23,Giveaway,n/a,-53.0,31.0,Joel Kellman,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:48:41Z,1,05:44,14:16,Giveaway,n/a,-73.0,-5.0,Joel Kiviranta,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:48:59Z,1,06:02,13:58,Blocked Shot,n/a,-74.0,8.0,Erik Karlsson,Blocker,San Jose Sharks,Joe Pavelski,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:49:04Z,1,06:07,13:53,Giveaway,n/a,-66.0,34.0,Brent Burns,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:49:08Z,1,06:11,13:49,Missed Shot,n/a,-57.0,-21.0,Roope Hintz,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:49:44Z,1,06:47,13:13,Hit,n/a,-98.0,13.0,Tyler Seguin,Hitter,Dallas Stars,Brenden Dillon,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:49:52Z,1,06:55,13:05,Takeaway,n/a,-86.0,-10.0,Barclay Goodrow,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:50:14Z,1,07:04,12:56,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:51:06Z,1,07:34,12:26,Blocked Shot,n/a,-45.0,23.0,Kevin Labanc,Blocker,San Jose Sharks,Blake Comeau,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:53:05Z,1,07:35,12:25,Faceoff,n/a,-69.0,22.0,Blake Comeau,Winner,Dallas Stars,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:53:47Z,1,07:47,12:13,Faceoff,n/a,-69.0,22.0,Tomas Hertl,Winner,San Jose Sharks,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:54:30Z,1,07:57,12:03,Faceoff,n/a,20.0,-22.0,Jason Dickinson,Winner,Dallas Stars,Antti Suomela,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:55:27Z,1,08:12,11:48,Faceoff,n/a,69.0,22.0,Joel Kellman,Winner,San Jose Sharks,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:57:00Z,1,08:54,11:06,Faceoff,n/a,20.0,22.0,Barclay Goodrow,Winner,San Jose Sharks,Joe Pavelski,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:57:23Z,1,09:22,10:38,Missed Shot,n/a,45.0,-33.0,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:57:32Z,1,09:31,10:29,Missed Shot,n/a,40.0,-31.0,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:57:57Z,1,09:56,10:04,Shot,Wrist Shot,80.0,10.0,Tomas Hertl,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:58:14Z,1,10:13,09:47,Shot,Wrist Shot,52.0,-14.0,Kevin Labanc,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:58:20Z,1,10:19,09:41,Blocked Shot,n/a,76.0,4.0,Jamie Oleksiak,Blocker,Dallas Stars,Marc-Edouard Vlasic,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:58:43Z,1,10:42,09:18,Giveaway,n/a,-74.0,-31.0,Erik Karlsson,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:59:26Z,1,11:25,08:35,Missed Shot,n/a,21.0,-35.0,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:59:44Z,1,11:43,08:17,Takeaway,n/a,3.0,-32.0,Melker Karlsson,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T03:59:54Z,1,11:50,08:10,Shot,Tip-In,70.0,-1.0,Melker Karlsson,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:02:15Z,1,11:51,08:09,Faceoff,n/a,69.0,-22.0,Antti Suomela,Winner,San Jose Sharks,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:02:14Z,1,11:59,08:01,Blocked Shot,n/a,62.0,-17.0,Radek Faksa,Blocker,Dallas Stars,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:02:22Z,1,12:07,07:53,Takeaway,n/a,-17.0,-42.0,Radek Faksa,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:02:45Z,1,12:29,07:31,Hit,n/a,-94.0,29.0,Jamie Benn,Hitter,Dallas Stars,Brenden Dillon,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:02:59Z,1,12:44,07:16,Takeaway,n/a,5.0,-30.0,Jamie Benn,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:03:06Z,1,12:47,07:13,Shot,Tip-In,-69.0,0.0,Taylor Fedun,Shooter,Dallas Stars,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:03:29Z,1,12:48,07:12,Faceoff,n/a,-69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Jamie Benn,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:03:57Z,1,13:12,06:48,Hit,n/a,51.0,-41.0,Esa Lindell,Hitter,Dallas Stars,Evander Kane,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:04:20Z,1,13:14,06:46,Missed Shot,n/a,79.0,2.0,Evander Kane,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:04:36Z,1,13:25,06:35,Faceoff,n/a,-69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:04:58Z,1,13:37,06:23,Takeaway,n/a,-41.0,24.0,Tomas Hertl,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:05:23Z,1,14:00,06:00,Shot,Wrist Shot,80.0,-2.0,Marcus Sorensen,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:07:24Z,1,14:01,05:59,Faceoff,n/a,69.0,-22.0,Barclay Goodrow,Winner,San Jose Sharks,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:07:43Z,1,14:07,05:53,Blocked Shot,n/a,74.0,-4.0,Brent Burns,Blocker,San Jose Sharks,Miro Heiskanen,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:08:07Z,1,14:11,05:49,Faceoff,n/a,-69.0,-22.0,Barclay Goodrow,Winner,San Jose Sharks,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:08:32Z,1,14:28,05:32,Takeaway,n/a,91.0,33.0,Joe Thornton,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:08:51Z,1,14:46,05:14,Shot,Backhand,1.0,27.0,Tyler Seguin,Shooter,Dallas Stars,Aaron Dell,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:09:25Z,1,15:22,04:38,Takeaway,n/a,-99.0,-6.0,Marc-Edouard Vlasic,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:09:25Z,1,15:23,04:37,Hit,n/a,-70.0,-42.0,Jamie Benn,Hitter,Dallas Stars,Erik Karlsson,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:09:33Z,1,15:25,04:35,Shot,Wrist Shot,70.0,33.0,Tomas Hertl,Shooter,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:10:12Z,1,15:28,04:32,Faceoff,n/a,69.0,22.0,Antti Suomela,Winner,San Jose Sharks,Tyler Seguin,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:10:10Z,1,15:33,04:27,Goal,Tip-In,85.0,-6.0,Brent Burns,Scorer,San Jose Sharks,Timo Meier,Assist,San Jose Sharks,Erik Karlsson,Assist,San Jose Sharks,Anton Khudobin,Goalie,Dallas Stars
2020-01-12T04:11:17Z,1,15:33,04:27,Faceoff,n/a,0.0,0.0,Antti Suomela,Winner,San Jose Sharks,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:11:27Z,1,15:45,04:15,Hit,n/a,81.0,-40.0,Antti Suomela,Hitter,San Jose Sharks,Andrej Sekera,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-12T04:11:35Z,1,15:52,04:08,Hit,n/a,90.0,34.0,Timo Meier,Hitter,San Jose Sharks,Miro Heiskanen,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
