Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-13T00:08:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:08:57Z,1,00:33,19:27,Hit,n/a,-75.0,38.0,Anthony Cirelli,Hitter,Tampa Bay Lightning,Nico Hischier,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:09:29Z,1,01:05,18:55,Shot,Wrist Shot,33.0,-33.0,Nikita Gusev,Shooter,New Jersey Devils,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:09:35Z,1,01:10,18:50,Shot,Wrist Shot,72.0,8.0,Blake Coleman,Shooter,New Jersey Devils,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:09:52Z,1,01:10,18:50,Faceoff,n/a,69.0,22.0,Brayden Point,Winner,Tampa Bay Lightning,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:10:24Z,1,01:27,18:33,Shot,Wrist Shot,-78.0,-6.0,Steven Stamkos,Shooter,Tampa Bay Lightning,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:11:11Z,1,02:05,17:55,Faceoff,n/a,-69.0,22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:11:32Z,1,02:10,17:50,Shot,Snap Shot,-35.0,0.0,Erik Cernak,Shooter,Tampa Bay Lightning,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:11:49Z,1,02:17,17:43,Shot,Wrist Shot,-76.0,-7.0,Braydon Coburn,Shooter,Tampa Bay Lightning,Louis Domingue,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:12:01Z,1,02:32,17:28,Penalty,Hi-sticking,98.0,11.0,Yanni Gourde,PenaltyOn,Tampa Bay Lightning,Wayne Simmonds,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:12:25Z,1,02:32,17:28,Faceoff,n/a,69.0,22.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-13T00:13:22Z,1,03:11,16:49,Shot,Snap Shot,36.0,23.0,Sami Vatanen,Shooter,New Jersey Devils,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
