Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-14T01:05:20Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:09:11Z,1,00:14,19:46,Takeaway,n/a,97.0,-12.0,Patrice Bergeron,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:09:09Z,1,00:17,19:43,Shot,Wrist Shot,87.0,7.0,Patrice Bergeron,Shooter,Boston Bruins,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:09:15Z,1,00:23,19:37,Missed Shot,n/a,81.0,7.0,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:09:22Z,1,00:26,19:34,Shot,Wrist Shot,80.0,11.0,David Pastrnak,Shooter,Boston Bruins,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:09:45Z,1,00:29,19:31,Faceoff,n/a,69.0,-22.0,David Krejci,Winner,Boston Bruins,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:09:57Z,1,00:35,19:25,Missed Shot,n/a,75.0,-4.0,David Krejci,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:10:20Z,1,00:56,19:04,Takeaway,n/a,-8.0,32.0,Philippe Myers,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:11:15Z,1,01:47,18:13,Hit,n/a,-87.0,-28.0,Brett Ritchie,Hitter,Boston Bruins,Scott Laughton,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:12:07Z,1,02:45,17:15,Missed Shot,n/a,33.0,37.0,Zdeno Chara,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-14T00:12:13Z,1,02:51,17:09,Hit,n/a,79.0,-35.0,Chris Wagner,Hitter,Boston Bruins,Joel Farabee,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
