Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-15T00:08:25Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Boone Jenner,Winner,Columbus Blue Jackets,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:09:12Z,1,00:11,19:49,Hit,n/a,94.0,-19.0,Zdeno Chara,Hitter,Boston Bruins,Nick Foligno,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:09:39Z,1,00:38,19:22,Giveaway,n/a,-31.0,-38.0,David Pastrnak,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:12:18Z,1,01:12,18:48,Faceoff,n/a,20.0,-22.0,Sean Kuraly,Winner,Boston Bruins,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:12:47Z,1,01:28,18:32,Shot,Wrist Shot,78.0,0.0,Scott Harrington,Shooter,Columbus Blue Jackets,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:12:51Z,1,01:33,18:27,Shot,Wrist Shot,80.0,1.0,Boone Jenner,Shooter,Columbus Blue Jackets,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:12:59Z,1,01:38,18:22,Hit,n/a,94.0,-24.0,Sean Kuraly,Hitter,Boston Bruins,Boone Jenner,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:11Z,1,01:53,18:07,Hit,n/a,-37.0,38.0,Markus Nutivaara,Hitter,Columbus Blue Jackets,Steven Kampfer,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:42Z,1,02:23,17:37,Hit,n/a,-94.0,-17.0,Brett Ritchie,Hitter,Boston Bruins,Zach Werenski,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:58Z,1,02:39,17:21,Hit,n/a,32.0,-39.0,Riley Nash,Hitter,Columbus Blue Jackets,Steven Kampfer,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:14:18Z,1,02:39,17:21,Faceoff,n/a,69.0,22.0,Patrice Bergeron,Winner,Boston Bruins,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:14:42Z,1,02:46,17:14,Hit,n/a,40.0,-38.0,Nick Foligno,Hitter,Columbus Blue Jackets,Brad Marchand,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:14:55Z,1,02:58,17:02,Hit,n/a,40.0,41.0,Brad Marchand,Hitter,Boston Bruins,Gustav Nyquist,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:15:00Z,1,03:04,16:56,Shot,Wrist Shot,84.0,-8.0,Boone Jenner,Shooter,Columbus Blue Jackets,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:15:45Z,1,03:14,16:46,Faceoff,n/a,69.0,22.0,Riley Nash,Winner,Columbus Blue Jackets,David Krejci,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:15:53Z,1,03:21,16:39,Missed Shot,n/a,54.0,28.0,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:15:59Z,1,03:25,16:35,Blocked Shot,n/a,69.0,1.0,David Krejci,Blocker,Boston Bruins,Eric Robinson,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:16:15Z,1,03:38,16:22,Missed Shot,n/a,-75.0,1.0,David Krejci,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:16:45Z,1,04:13,15:47,Takeaway,n/a,19.0,39.0,Chris Wagner,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:16:51Z,1,04:17,15:43,Hit,n/a,-94.0,21.0,Chris Wagner,Hitter,Boston Bruins,Seth Jones,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:17:20Z,1,04:25,15:35,Faceoff,n/a,20.0,22.0,Charlie Coyle,Winner,Boston Bruins,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:17:51Z,1,04:43,15:17,Hit,n/a,-33.0,39.0,Brett Ritchie,Hitter,Boston Bruins,Scott Harrington,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:18:39Z,1,05:29,14:31,Hit,n/a,-58.0,-40.0,Pierre-Luc Dubois,Hitter,Columbus Blue Jackets,Patrice Bergeron,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:18:51Z,1,05:43,14:17,Hit,n/a,99.0,-18.0,Torey Krug,Hitter,Boston Bruins,Pierre-Luc Dubois,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:19:09Z,1,05:53,14:07,Penalty,Cross checking,59.0,-13.0,Pierre-Luc Dubois,PenaltyOn,Columbus Blue Jackets,Torey Krug,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:19:44Z,1,05:53,14:07,Faceoff,n/a,-69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,David Krejci,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:20:52Z,1,07:06,12:54,Shot,Snap Shot,56.0,-18.0,David Savard,Shooter,Columbus Blue Jackets,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:21:14Z,1,07:06,12:54,Faceoff,n/a,69.0,-22.0,Boone Jenner,Winner,Columbus Blue Jackets,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:21:34Z,1,07:25,12:35,Shot,Tip-In,-68.0,1.0,Patrice Bergeron,Shooter,Boston Bruins,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:21:45Z,1,07:36,12:24,Blocked Shot,n/a,-79.0,-2.0,Seth Jones,Blocker,Columbus Blue Jackets,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:21:50Z,1,07:38,12:22,Hit,n/a,-31.0,-37.0,Patrice Bergeron,Hitter,Boston Bruins,Boone Jenner,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:22:19Z,1,08:11,11:49,Shot,Snap Shot,58.0,7.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:25:40Z,1,08:11,11:49,Faceoff,n/a,20.0,22.0,David Krejci,Winner,Boston Bruins,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
