Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-15T02:09:20Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Johansen,Winner,Nashville Predators,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:09:40Z,1,00:20,19:40,Missed Shot,n/a,69.0,39.0,Leon Draisaitl,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:09:56Z,1,00:35,19:25,Shot,Wrist Shot,-51.0,31.0,Yannick Weber,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:10:27Z,1,00:35,19:25,Faceoff,n/a,-69.0,22.0,Connor McDavid,Winner,Edmonton Oilers,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:10:37Z,1,00:43,19:17,Hit,n/a,-34.0,-36.0,Mattias Ekholm,Hitter,Nashville Predators,Josh Archibald,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:10:37Z,1,00:47,19:13,Hit,n/a,-33.0,-36.0,Josh Archibald,Hitter,Edmonton Oilers,Mattias Ekholm,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:10:50Z,1,00:57,19:03,Giveaway,n/a,-95.0,-14.0,Filip Forsberg,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:11:01Z,1,01:07,18:53,Shot,Snap Shot,-57.0,21.0,Filip Forsberg,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:11:25Z,1,01:08,18:52,Faceoff,n/a,-69.0,22.0,Nick Bonino,Winner,Nashville Predators,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:11:32Z,1,01:13,18:47,Shot,Wrist Shot,-30.0,25.0,Alexandre Carrier,Shooter,Nashville Predators,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:11:39Z,1,01:13,18:47,Faceoff,n/a,-69.0,22.0,Joakim Nygard,Winner,Edmonton Oilers,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:12:27Z,1,01:45,18:15,Shot,Backhand,83.0,-2.0,Patrick Russell,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:12:36Z,1,01:46,18:14,Hit,n/a,97.0,-18.0,Alexandre Carrier,Hitter,Nashville Predators,Joakim Nygard,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:12:36Z,1,01:53,18:07,Shot,Slap Shot,31.0,-6.0,Caleb Jones,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:13:01Z,1,02:19,17:41,Shot,Wrist Shot,63.0,-38.0,Gaetan Haas,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:13:14Z,1,02:20,17:40,Faceoff,n/a,69.0,-22.0,Sam Gagner,Winner,Edmonton Oilers,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:14:03Z,1,02:48,17:12,Blocked Shot,n/a,-62.0,-9.0,Oscar Klefbom,Blocker,Edmonton Oilers,Kyle Turris,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:14:10Z,1,02:54,17:06,Blocked Shot,n/a,-38.0,-32.0,Gaetan Haas,Blocker,Edmonton Oilers,Yakov Trenin,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:14:38Z,1,03:22,16:38,Giveaway,n/a,-42.0,-41.0,Viktor Arvidsson,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:14:41Z,1,03:25,16:35,Shot,Wrist Shot,24.0,4.0,Sam Gagner,Shooter,Edmonton Oilers,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:14:59Z,1,03:33,16:27,Faceoff,n/a,69.0,22.0,Ryan Johansen,Winner,Nashville Predators,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T02:15:29Z,1,03:43,16:17,Hit,n/a,-31.0,-39.0,Darnell Nurse,Hitter,Edmonton Oilers,Ryan Johansen,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
