Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-15T00:05:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mathew Barzal,Winner,New York Islanders,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:07:24Z,1,00:36,19:24,Shot,Wrist Shot,-84.0,21.0,Luke Glendening,Shooter,Detroit Red Wings,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:07:25Z,1,00:37,19:23,Shot,Wrist Shot,-74.0,7.0,Luke Glendening,Shooter,Detroit Red Wings,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:08:11Z,1,01:23,18:37,Giveaway,n/a,21.0,33.0,Derick Brassard,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:08:30Z,1,01:30,18:30,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Josh Bailey,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:08:54Z,1,01:41,18:19,Giveaway,n/a,73.0,-33.0,Tom Kuhnhackl,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:09:18Z,1,02:04,17:56,Shot,Wrist Shot,-33.0,29.0,Adam Erne,Shooter,Detroit Red Wings,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:09:38Z,1,02:04,17:56,Faceoff,n/a,-69.0,22.0,Adam Erne,Winner,Detroit Red Wings,Otto Koivula,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:09:52Z,1,02:11,17:49,Missed Shot,n/a,-52.0,-29.0,Brian Lashoff,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:10:06Z,1,02:12,17:48,Faceoff,n/a,-69.0,-22.0,Justin Abdelkader,Winner,Detroit Red Wings,Otto Koivula,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:10:27Z,1,02:19,17:41,Missed Shot,n/a,-46.0,-16.0,Christoffer Ehn,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:10:45Z,1,02:37,17:23,Blocked Shot,n/a,77.0,6.0,Alex Biega,Blocker,Detroit Red Wings,Matt Martin,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:10:57Z,1,02:49,17:11,Shot,Tip-In,72.0,0.0,Matt Martin,Shooter,New York Islanders,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:11:36Z,1,03:11,16:49,Faceoff,n/a,20.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Mathew Barzal,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:11:53Z,1,03:23,16:37,Goal,Backhand,82.0,3.0,Jordan Eberle,Scorer,New York Islanders,Mathew Barzal,Assist,New York Islanders,Anders Lee,Assist,New York Islanders,Jimmy Howard,Goalie,Detroit Red Wings
2020-01-15T00:12:31Z,1,03:23,16:37,Faceoff,n/a,0.0,0.0,Brock Nelson,Winner,New York Islanders,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:19Z,1,03:41,16:19,Faceoff,n/a,-20.0,-22.0,Josh Bailey,Winner,New York Islanders,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:33Z,1,03:54,16:06,Hit,n/a,87.0,34.0,Michael Dal Colle,Hitter,New York Islanders,Mike Green,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:38Z,1,03:59,16:01,Shot,Slap Shot,62.0,23.0,Michael Dal Colle,Shooter,New York Islanders,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:13:47Z,1,03:59,16:01,Goal,Wrist Shot,77.0,1.0,Josh Bailey,Scorer,New York Islanders,Tom Kuhnhackl,Assist,New York Islanders,Michael Dal Colle,Assist,New York Islanders,Jimmy Howard,Goalie,Detroit Red Wings
2020-01-15T00:15:36Z,1,03:59,16:01,Faceoff,n/a,0.0,0.0,Dylan Larkin,Winner,Detroit Red Wings,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:15:26Z,1,04:20,15:40,Hit,n/a,90.0,9.0,Madison Bowey,Hitter,Detroit Red Wings,Brock Nelson,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T00:15:44Z,1,04:38,15:22,Blocked Shot,n/a,-76.0,6.0,Ryan Pulock,Blocker,New York Islanders,Madison Bowey,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
