Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-15T01:07:56Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:08:59Z,1,00:34,19:26,Shot,Wrist Shot,-63.0,10.0,Nikolaj Ehlers,Shooter,Winnipeg Jets,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:11:00Z,1,01:18,18:42,Faceoff,n/a,-69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:11:11Z,1,01:22,18:38,Goal,Snap Shot,-65.0,20.0,Kyle Connor,Scorer,Winnipeg Jets,Sami Niku,Assist,Winnipeg Jets,Patrik Laine,Assist,Winnipeg Jets,Jacob Markstrom,Goalie,Vancouver Canucks
2020-01-15T01:11:47Z,1,01:22,18:38,Faceoff,n/a,0.0,0.0,Adam Gaudette,Winner,Vancouver Canucks,Jack Roslovic,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:16:16Z,1,01:37,18:23,Faceoff,n/a,20.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Nicholas Shore,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:16:55Z,1,01:53,18:07,Hit,n/a,75.0,-40.0,Anthony Bitetto,Hitter,Winnipeg Jets,Tyler Motte,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:17:10Z,1,01:57,18:03,Penalty,Tripping,98.0,-13.0,Mason Appleton,PenaltyOn,Winnipeg Jets,Tim Schaller,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:17:36Z,1,01:57,18:03,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-15T01:17:42Z,1,02:05,17:55,Shot,Wrist Shot,36.0,-31.0,Elias Pettersson,Shooter,Vancouver Canucks,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
