Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-17T00:09:19Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:10:00Z,1,00:14,19:46,Giveaway,n/a,94.0,21.0,Chris Driedger,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:10:19Z,1,00:34,19:26,Shot,Snap Shot,-47.0,-6.0,Mike Matheson,Shooter,Florida Panthers,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:10:27Z,1,00:39,19:21,Takeaway,n/a,-37.0,-27.0,Tyler Toffoli,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:10:31Z,1,00:44,19:16,Blocked Shot,n/a,80.0,0.0,Aaron Ekblad,Blocker,Florida Panthers,Anze Kopitar,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:10:46Z,1,01:03,18:57,Hit,n/a,-19.0,-40.0,Kyle Clifford,Hitter,Los Angeles Kings,Noel Acciari,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:11:11Z,1,01:28,18:32,Hit,n/a,12.0,-41.0,Kyle Clifford,Hitter,Los Angeles Kings,Vincent Trocheck,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:11:29Z,1,01:46,18:14,Hit,n/a,-40.0,-27.0,Matt Roy,Hitter,Los Angeles Kings,Mike Hoffman,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:11:38Z,1,01:55,18:05,Hit,n/a,-85.0,-32.0,Derek Forbort,Hitter,Los Angeles Kings,Dominic Toninato,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:11:39Z,1,01:56,18:04,Missed Shot,n/a,-34.0,-34.0,Keith Yandle,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:11:57Z,1,02:00,18:00,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:12:13Z,1,02:06,17:54,Blocked Shot,n/a,-88.0,-31.0,Evgenii Dadonov,Blocker,Florida Panthers,Matt Roy,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:12:47Z,1,02:38,17:22,Shot,Wrist Shot,40.0,-35.0,Tyler Toffoli,Shooter,Los Angeles Kings,Chris Driedger,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:12:54Z,1,02:47,17:13,Shot,Snap Shot,41.0,-19.0,Alec Martinez,Shooter,Los Angeles Kings,Chris Driedger,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:13:32Z,1,03:25,16:35,Hit,n/a,-98.0,-10.0,Alec Martinez,Hitter,Los Angeles Kings,Brian Boyle,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:13:40Z,1,03:32,16:28,Takeaway,n/a,-82.0,-27.0,Brian Boyle,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:14:01Z,1,03:54,16:06,Missed Shot,n/a,-39.0,-16.0,Mike Matheson,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:14:09Z,1,04:02,15:58,Shot,Snap Shot,-56.0,26.0,Mark Pysyk,Shooter,Florida Panthers,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:14:20Z,1,04:11,15:49,Shot,Wrist Shot,-45.0,-15.0,Brian Boyle,Shooter,Florida Panthers,Jack Campbell,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:14:44Z,1,04:12,15:48,Faceoff,n/a,-69.0,-22.0,Noel Acciari,Winner,Florida Panthers,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:15:08Z,1,04:17,15:43,Blocked Shot,n/a,-47.0,-18.0,Dustin Brown,Blocker,Los Angeles Kings,Riley Stillman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:15:11Z,1,04:22,15:38,Hit,n/a,-99.0,-9.0,Noel Acciari,Hitter,Florida Panthers,Matt Roy,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:15:25Z,1,04:35,15:25,Missed Shot,n/a,65.0,22.0,Kyle Clifford,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:15:33Z,1,04:44,15:16,Hit,n/a,-30.0,-18.0,Austin Wagner,Hitter,Los Angeles Kings,Brett Connolly,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:15:59Z,1,05:09,14:51,Giveaway,n/a,55.0,-29.0,Michael Amadio,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:16:13Z,1,05:20,14:40,Takeaway,n/a,57.0,-22.0,Keith Yandle,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:16:20Z,1,05:23,14:37,Penalty,Holding,58.0,25.0,Austin Wagner,PenaltyOn,Los Angeles Kings,Josh Brown,DrewBy,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:17:07Z,1,05:23,14:37,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:17:10Z,1,05:33,14:27,Blocked Shot,n/a,-64.0,7.0,Alex Iafallo,Blocker,Los Angeles Kings,Keith Yandle,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:17:20Z,1,05:43,14:17,Blocked Shot,n/a,-67.0,-1.0,Alex Iafallo,Blocker,Los Angeles Kings,Mike Hoffman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:17:43Z,1,06:04,13:56,Goal,Snap Shot,-76.0,1.0,Evgenii Dadonov,Scorer,Florida Panthers,Jonathan Huberdeau,Assist,Florida Panthers,Aleksander Barkov,Assist,Florida Panthers,Jack Campbell,Goalie,Los Angeles Kings
2020-01-17T00:18:36Z,1,06:04,13:56,Faceoff,n/a,0.0,0.0,Jeff Carter,Winner,Los Angeles Kings,Brian Boyle,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:18:50Z,1,06:27,13:33,Shot,Snap Shot,55.0,-23.0,Kyle Clifford,Shooter,Los Angeles Kings,Chris Driedger,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T00:18:59Z,1,06:35,13:25,Hit,n/a,95.0,-16.0,Riley Stillman,Hitter,Florida Panthers,Dustin Brown,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
