Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-17T01:11:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Joel Eriksson Ek,Winner,Minnesota Wild,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:12:14Z,1,00:40,19:20,Faceoff,n/a,69.0,22.0,Eric Staal,Winner,Minnesota Wild,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:13:04Z,1,01:13,18:47,Blocked Shot,n/a,72.0,4.0,Matt Dumba,Blocker,Minnesota Wild,Anthony Cirelli,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:13:09Z,1,01:16,18:44,Shot,Wrist Shot,36.0,13.0,Mikhail Sergachev,Shooter,Tampa Bay Lightning,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:13:27Z,1,01:17,18:43,Faceoff,n/a,69.0,22.0,Victor Rask,Winner,Minnesota Wild,Cedric Paquette,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:13:53Z,1,01:31,18:29,Giveaway,n/a,37.0,-31.0,Ryan McDonagh,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:15:10Z,1,02:45,17:15,Hit,n/a,73.0,-28.0,Greg Pateryn,Hitter,Minnesota Wild,Yanni Gourde,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:15:28Z,1,02:52,17:08,Faceoff,n/a,69.0,-22.0,Ondrej Palat,Winner,Tampa Bay Lightning,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:16:12Z,1,03:12,16:48,Takeaway,n/a,88.0,-21.0,Mikko Koivu,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:16:21Z,1,03:16,16:44,Missed Shot,n/a,47.0,-8.0,Brayden Point,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-17T01:16:17Z,1,03:17,16:43,Giveaway,n/a,35.0,-35.0,Ondrej Palat,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
