Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-18T00:38:21Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sebastian Aho,Winner,Carolina Hurricanes,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:43:05Z,1,00:13,19:47,Blocked Shot,n/a,73.0,2.0,Sebastian Aho,Blocker,Carolina Hurricanes,Jakob Silfverberg,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:38:43Z,1,00:16,19:44,Takeaway,n/a,-11.0,-12.0,Josh Manson,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:38:48Z,1,00:19,19:41,Shot,Snap Shot,46.0,-27.0,Jakob Silfverberg,Shooter,Anaheim Ducks,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:42:30Z,1,00:20,19:40,Shot,Wrist Shot,83.0,-4.0,Adam Henrique,Shooter,Anaheim Ducks,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:46:22Z,1,00:23,19:37,Blocked Shot,n/a,78.0,-14.0,Warren Foegele,Blocker,Carolina Hurricanes,Josh Manson,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:38:58Z,1,00:35,19:25,Blocked Shot,n/a,48.0,-17.0,Warren Foegele,Blocker,Carolina Hurricanes,Josh Manson,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:39:32Z,1,00:36,19:24,Faceoff,n/a,69.0,-22.0,Jordan Staal,Winner,Carolina Hurricanes,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:39:44Z,1,00:47,19:13,Takeaway,n/a,62.0,-33.0,Ryan Getzlaf,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:39:42Z,1,00:48,19:12,Shot,Wrist Shot,70.0,-42.0,Ryan Getzlaf,Shooter,Anaheim Ducks,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:39:58Z,1,01:05,18:55,Giveaway,n/a,-53.0,-26.0,Erik Gudbranson,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:40:00Z,1,01:07,18:53,Blocked Shot,n/a,-60.0,9.0,Hampus Lindholm,Blocker,Anaheim Ducks,Andrei Svechnikov,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:40:05Z,1,01:08,18:52,Hit,n/a,-78.0,-36.0,Jordan Staal,Hitter,Carolina Hurricanes,Ryan Getzlaf,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:40:19Z,1,01:25,18:35,Shot,Wrist Shot,-84.0,9.0,Brock McGinn,Shooter,Carolina Hurricanes,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:40:28Z,1,01:32,18:28,Shot,Slap Shot,-33.0,31.0,Joel Edmundson,Shooter,Carolina Hurricanes,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:29Z,1,01:33,18:27,Faceoff,n/a,-69.0,22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:37Z,1,01:41,18:19,Faceoff,n/a,-69.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:42:39Z,1,02:18,17:42,Missed Shot,n/a,-34.0,-37.0,Haydn Fleury,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:43:15Z,1,02:57,17:03,Hit,n/a,-58.0,-38.0,Ondrej Kase,Hitter,Anaheim Ducks,Erik Haula,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:43:44Z,1,03:25,16:35,Shot,Backhand,-84.0,-6.0,Martin Necas,Shooter,Carolina Hurricanes,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:43:55Z,1,03:34,16:26,Missed Shot,n/a,-65.0,-7.0,Ryan Dzingel,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:44:12Z,1,03:53,16:07,Blocked Shot,n/a,-51.0,18.0,Sam Steel,Blocker,Anaheim Ducks,Brett Pesce,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:44:43Z,1,03:54,16:06,Faceoff,n/a,-69.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
