Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-18T20:11:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:13:07Z,1,00:45,19:15,Faceoff,n/a,-20.0,-22.0,Gabriel Landeskog,Winner,Colorado Avalanche,Oskar Sundqvist,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:13:42Z,1,01:09,18:51,Takeaway,n/a,-7.0,-28.0,Oskar Sundqvist,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:14:16Z,1,01:41,18:19,Giveaway,n/a,95.0,-1.0,Philipp Grubauer,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:14:33Z,1,02:00,18:00,Missed Shot,n/a,-41.0,3.0,Ian Cole,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:14:50Z,1,02:12,17:48,Hit,n/a,-60.0,-39.0,J.T. Compher,Hitter,Colorado Avalanche,Robert Thomas,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:14:54Z,1,02:21,17:39,Hit,n/a,67.0,-37.0,Nikita Zadorov,Hitter,Colorado Avalanche,Ivan Barbashev,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:15:42Z,1,02:26,17:34,Faceoff,n/a,69.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:15:35Z,1,02:31,17:29,Takeaway,n/a,6.0,-32.0,Alex Pietrangelo,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T20:15:38Z,1,02:35,17:25,Shot,Slap Shot,37.0,-33.0,Alex Pietrangelo,Shooter,St. Louis Blues,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
