Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-18T00:38:21Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sidney Crosby,Winner,Pittsburgh Penguins,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:38:54Z,1,00:06,19:54,Hit,n/a,37.0,40.0,Filip Hronek,Hitter,Detroit Red Wings,Sidney Crosby,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:39:32Z,1,00:44,19:16,Shot,Tip-In,37.0,0.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:39:49Z,1,01:03,18:57,Hit,n/a,-34.0,-39.0,Kris Letang,Hitter,Pittsburgh Penguins,Tyler Bertuzzi,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:40:07Z,1,01:20,18:40,Shot,Wrist Shot,-39.0,23.0,Madison Bowey,Shooter,Detroit Red Wings,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:40:51Z,1,02:05,17:55,Shot,Wrist Shot,-70.0,22.0,Givani Smith,Shooter,Detroit Red Wings,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:08Z,1,02:19,17:41,Takeaway,n/a,15.0,30.0,Patric Hornqvist,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:17Z,1,02:27,17:33,Missed Shot,n/a,76.0,-4.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:32Z,1,02:46,17:14,Missed Shot,n/a,67.0,-3.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:38Z,1,02:52,17:08,Blocked Shot,n/a,79.0,5.0,Valtteri Filppula,Blocker,Detroit Red Wings,Marcus Pettersson,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:46Z,1,03:00,17:00,Missed Shot,n/a,47.0,-25.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:49Z,1,03:03,16:57,Hit,n/a,72.0,-39.0,Patric Hornqvist,Hitter,Pittsburgh Penguins,Givani Smith,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:41:59Z,1,03:12,16:48,Shot,Wrist Shot,-66.0,-18.0,Frans Nielsen,Shooter,Detroit Red Wings,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:42:17Z,1,03:15,16:45,Faceoff,n/a,-69.0,-22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Adam Erne,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:42:55Z,1,03:36,16:24,Hit,n/a,-95.0,23.0,Adam Erne,Hitter,Detroit Red Wings,Jack Johnson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:43:27Z,1,04:07,15:53,Giveaway,n/a,-31.0,-37.0,Dylan Larkin,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:43:51Z,1,04:31,15:29,Hit,n/a,-20.0,-40.0,Chad Ruhwedel,Hitter,Pittsburgh Penguins,Patrik Nemeth,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:44:01Z,1,04:42,15:18,Giveaway,n/a,61.0,2.0,Bryan Rust,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:44:11Z,1,04:51,15:09,Hit,n/a,-96.0,-14.0,Tyler Bertuzzi,Hitter,Detroit Red Wings,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:44:28Z,1,05:06,14:54,Blocked Shot,n/a,-80.0,-2.0,Marcus Pettersson,Blocker,Pittsburgh Penguins,Madison Bowey,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:44:41Z,1,05:20,14:40,Shot,Slap Shot,34.0,27.0,Jack Johnson,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:45:10Z,1,05:20,14:40,Faceoff,n/a,69.0,22.0,Valtteri Filppula,Winner,Detroit Red Wings,Andrew Agozzino,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:45:34Z,1,05:37,14:23,Shot,Wrist Shot,89.0,-8.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:45:39Z,1,05:45,14:15,Blocked Shot,n/a,81.0,-5.0,Patrik Nemeth,Blocker,Detroit Red Wings,Kris Letang,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:45:47Z,1,05:52,14:08,Giveaway,n/a,38.0,-34.0,Alex Galchenyuk,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:45:53Z,1,05:57,14:03,Blocked Shot,n/a,-67.0,-6.0,Kris Letang,Blocker,Pittsburgh Penguins,Filip Zadina,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:46:07Z,1,06:12,13:48,Shot,Wrist Shot,-84.0,-22.0,Robby Fabbri,Shooter,Detroit Red Wings,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:48:24Z,1,06:14,13:46,Faceoff,n/a,-69.0,-22.0,Frans Nielsen,Winner,Detroit Red Wings,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:48:42Z,1,06:29,13:31,Giveaway,n/a,70.0,39.0,Filip Hronek,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:48:49Z,1,06:31,13:29,Penalty,Slashing,62.0,12.0,Frans Nielsen,PenaltyOn,Detroit Red Wings,Dominik Simon,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:49:17Z,1,06:31,13:29,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:49:34Z,1,06:36,13:24,Penalty,Tripping,56.0,22.0,Sidney Crosby,PenaltyOn,Pittsburgh Penguins,Luke Glendening,DrewBy,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:50:09Z,1,06:36,13:24,Faceoff,n/a,-69.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:50:29Z,1,06:48,13:12,Faceoff,n/a,20.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:51:17Z,1,07:15,12:45,Takeaway,n/a,-71.0,12.0,Bryan Rust,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:51:22Z,1,07:21,12:39,Hit,n/a,-87.0,-33.0,Dylan Larkin,Hitter,Detroit Red Wings,Juuso Riikola,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:51:49Z,1,07:47,12:13,Giveaway,n/a,-53.0,34.0,Robby Fabbri,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:52:47Z,1,08:45,11:15,Shot,Wrist Shot,70.0,-34.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:53:17Z,1,09:16,10:44,Giveaway,n/a,92.0,-26.0,Trevor Daley,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:53:31Z,1,09:30,10:30,Hit,n/a,-93.0,-10.0,Adam Erne,Hitter,Detroit Red Wings,Kris Letang,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:53:54Z,1,09:51,10:09,Blocked Shot,n/a,79.0,2.0,Mike Green,Blocker,Detroit Red Wings,Kris Letang,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:54:27Z,1,10:25,09:35,Shot,Wrist Shot,71.0,20.0,Sidney Crosby,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:56:39Z,1,10:27,09:33,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:57:04Z,1,10:39,09:21,Faceoff,n/a,0.0,0.0,Frans Nielsen,Winner,Detroit Red Wings,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:57:29Z,1,10:56,09:04,Shot,Wrist Shot,51.0,38.0,Jared McCann,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:57:39Z,1,11:06,08:54,Blocked Shot,n/a,58.0,14.0,Darren Helm,Blocker,Detroit Red Wings,Evgeni Malkin,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:58:21Z,1,11:13,08:47,Missed Shot,n/a,36.0,-6.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:57:48Z,1,11:14,08:46,Shot,Snap Shot,77.0,-34.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:57:54Z,1,11:14,08:46,Penalty,Tripping,-68.0,-29.0,Darren Helm,PenaltyOn,Detroit Red Wings,John Marino,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:58:21Z,1,11:14,08:46,Faceoff,n/a,69.0,22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:58:55Z,1,11:37,08:23,Takeaway,n/a,94.0,-19.0,Patrik Nemeth,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T00:59:14Z,1,12:02,07:58,Shot,Slap Shot,33.0,1.0,Kris Letang,Shooter,Pittsburgh Penguins,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
