Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-18T18:06:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mathew Barzal,Winner,New York Islanders,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:07:30Z,1,00:10,19:50,Giveaway,n/a,75.0,-33.0,Michal Kempny,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:06:58Z,1,00:24,19:36,Shot,Wrist Shot,66.0,-13.0,Anders Lee,Shooter,New York Islanders,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:08:09Z,1,00:25,19:35,Faceoff,n/a,69.0,-22.0,Casey Cizikas,Winner,New York Islanders,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:08:45Z,1,00:40,19:20,Faceoff,n/a,20.0,-22.0,Nicklas Backstrom,Winner,Washington Capitals,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:08:59Z,1,01:09,18:51,Missed Shot,n/a,-77.0,-1.0,Alex Ovechkin,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:09:34Z,1,01:17,18:43,Hit,n/a,-42.0,-36.0,Matt Martin,Hitter,New York Islanders,Jonas Siegenthaler,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:08:51Z,1,01:19,18:41,Shot,Wrist Shot,-69.0,22.0,Nicklas Backstrom,Shooter,Washington Capitals,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:09:57Z,1,01:19,18:41,Faceoff,n/a,-69.0,22.0,Brock Nelson,Winner,New York Islanders,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:10:40Z,1,01:57,18:03,Hit,n/a,95.0,-20.0,Anthony Beauvillier,Hitter,New York Islanders,Jakub Vrana,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T18:11:05Z,1,02:22,17:38,Hit,n/a,68.0,-38.0,Derick Brassard,Hitter,New York Islanders,John Carlson,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
