Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-18T01:13:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:14:42Z,1,00:27,19:33,Shot,Slap Shot,-44.0,-28.0,Neal Pionk,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:14:46Z,1,00:31,19:29,Giveaway,n/a,-92.0,-29.0,Ondrej Palat,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:14:51Z,1,00:36,19:24,Shot,Wrist Shot,-46.0,-28.0,Sami Niku,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:15:19Z,1,00:38,19:22,Faceoff,n/a,-69.0,-22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:15:35Z,1,00:50,19:10,Giveaway,n/a,59.0,38.0,Patrik Laine,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:16:05Z,1,01:20,18:40,Takeaway,n/a,-94.0,-27.0,Mark Scheifele,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:17:02Z,1,01:58,18:02,Faceoff,n/a,-20.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Mason Appleton,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:17:26Z,1,02:10,17:50,Hit,n/a,-19.0,-39.0,Erik Cernak,Hitter,Tampa Bay Lightning,Gabriel Bourque,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:17:31Z,1,02:17,17:43,Hit,n/a,-96.0,21.0,Gabriel Bourque,Hitter,Winnipeg Jets,Ryan McDonagh,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:18:12Z,1,02:58,17:02,Shot,Backhand,-84.0,6.0,Josh Morrissey,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:18:40Z,1,03:09,16:51,Faceoff,n/a,-69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:19:23Z,1,03:37,16:23,Giveaway,n/a,-31.0,-39.0,Victor Hedman,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:19:39Z,1,03:53,16:07,Blocked Shot,n/a,-67.0,-11.0,Jan Rutta,Blocker,Tampa Bay Lightning,Patrik Laine,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:24:11Z,1,03:55,16:05,Missed Shot,n/a,-62.0,-7.0,Kyle Connor,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:19:47Z,1,04:01,15:59,Blocked Shot,n/a,-68.0,-12.0,Victor Hedman,Blocker,Tampa Bay Lightning,Anthony Bitetto,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:20:03Z,1,04:15,15:45,Missed Shot,n/a,81.0,-1.0,Anthony Cirelli,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:20:10Z,1,04:23,15:37,Shot,Wrist Shot,34.0,12.0,Mikhail Sergachev,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:20:36Z,1,04:50,15:10,Shot,Wrist Shot,47.0,-30.0,Pat Maroon,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:20:55Z,1,05:09,14:51,Hit,n/a,-53.0,-38.0,Mathieu Perreault,Hitter,Winnipeg Jets,Erik Cernak,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:21:26Z,1,05:12,14:48,Faceoff,n/a,20.0,-22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Nicholas Shore,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:21:40Z,1,05:26,14:34,Giveaway,n/a,32.0,18.0,Mason Appleton,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:21:51Z,1,05:37,14:23,Hit,n/a,58.0,40.0,Yanni Gourde,Hitter,Tampa Bay Lightning,Luca Sbisa,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:22:00Z,1,05:46,14:14,Hit,n/a,6.0,-26.0,Nicholas Shore,Hitter,Winnipeg Jets,Mitchell Stephens,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:22:15Z,1,05:55,14:05,Missed Shot,n/a,-76.0,-4.0,Gabriel Bourque,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:22:36Z,1,06:19,13:41,Blocked Shot,n/a,-62.0,7.0,Steven Stamkos,Blocker,Tampa Bay Lightning,Blake Wheeler,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:24:43Z,1,06:21,13:39,Faceoff,n/a,-69.0,22.0,Blake Wheeler,Winner,Winnipeg Jets,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:24:53Z,1,06:27,13:33,Blocked Shot,n/a,-67.0,0.0,Anthony Cirelli,Blocker,Tampa Bay Lightning,Neal Pionk,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:25:19Z,1,06:52,13:08,Shot,Wrist Shot,81.0,4.0,Tyler Johnson,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-18T01:25:42Z,1,07:15,12:45,Giveaway,n/a,35.0,32.0,Sami Niku,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
